lane,source_board,absolute_ari,absolute_nmi,ami,arm,candidate_id,certificate_config_id,changed_from_initial,cluster_sizes_eval,cluster_sizes_full,evaluator_label_reads,failure,fmi,gearys_c_macro,homogeneity,initial_partition_sha256,k,min_cluster_size_eval,min_cluster_size_full,morans_i_macro,n_evaluated,n_total,neighbor_agreement,partition_sha256,start_id,start_index,status,v_measure,wall_seconds
MISAR_K7,p0,0.3563704112765345,0.5414957973737508,0.5390941521651887,L2_LOWPASS_MATCHED,AUTHORITY_STRONG_START__BASE__L2_LOWPASS_MATCHED,BASE,543,"[226, 240, 415, 371, 277, 148, 272]","[226, 240, 415, 371, 277, 148, 272]",1,,0.4793605954809692,0.0943914545807236,0.5754331804160737,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,148,148,0.9067661061061224,1949,1949,0.9236060295624176,36818a30ebf39a60530980ecbc6e061d5b3f426ed21be4e057c4489f97205c08,AUTHORITY_STRONG_START,0,PASS,0.5414957973737506,0.0544279292225837
MISAR_K7,p0,0.5417984659042879,0.6658418512414895,0.6640811938706853,NIGHT15F_ORIGINAL_SELF_RETURN,AUTHORITY_STRONG_START__BASE__NIGHT15F_ORIGINAL_SELF_RETURN,BASE,4,"[295, 438, 181, 267, 352, 291, 125]","[295, 438, 181, 267, 352, 291, 125]",1,,0.6333394977777734,0.0792240500707243,0.70417353829253,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.922651758430902,1949,1949,0.9373627981852772,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,AUTHORITY_STRONG_START,0,PASS,0.6658418512414895,0.0742800571024417
MISAR_K7,p0,0.5417984659042879,0.6658418512414895,0.6640811938706853,CCSR_FULL,AUTHORITY_STRONG_START__Q65_S2_KEEP1_E1E6__CCSR_FULL,Q65_S2_KEEP1_E1E6,4,"[295, 438, 181, 267, 352, 291, 125]","[295, 438, 181, 267, 352, 291, 125]",1,,0.6333394977777734,0.0792240500707243,0.70417353829253,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.922651758430902,1949,1949,0.9373627981852772,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,AUTHORITY_STRONG_START,0,PASS,0.6658418512414895,0.1171395592391491
MISAR_K7,p0,0.5417984659042879,0.6658418512414895,0.6640811938706853,CCSR_CERTIFICATE_DISABLED,AUTHORITY_STRONG_START__Q65_S2_KEEP1_E1E6__CCSR_CERTIFICATE_DISABLED,Q65_S2_KEEP1_E1E6,4,"[295, 438, 181, 267, 352, 291, 125]","[295, 438, 181, 267, 352, 291, 125]",1,,0.6333394977777734,0.0792240500707243,0.70417353829253,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.922651758430902,1949,1949,0.9373627981852772,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,AUTHORITY_STRONG_START,0,PASS,0.6658418512414895,0.1137186698615551
MISAR_K7,p0,0.5420114322041834,0.6659929948807047,0.6642332429515404,CCSR_RANDOM_MASK_COUNT_MATCHED,AUTHORITY_STRONG_START__Q65_S2_KEEP1_E1E6__CCSR_RANDOM_MASK_COUNT_MATCHED,Q65_S2_KEEP1_E1E6,3,"[295, 437, 181, 267, 352, 292, 125]","[295, 437, 181, 267, 352, 292, 125]",1,,0.6335150294377158,0.0797561028236092,0.7043744559974618,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.9221459037733328,1949,1949,0.936777403775794,21a1f12216b86eecfbc1044d0915ee336b631adfa546a79ee376af15efcb6f8d,AUTHORITY_STRONG_START,0,PASS,0.6659929948807048,0.116923427209258
MISAR_K7,p0,0.5417984659042879,0.6658418512414895,0.6640811938706853,CCSR_UNARY_MARGIN_ONLY,AUTHORITY_STRONG_START__Q65_S2_KEEP1_E1E6__CCSR_UNARY_MARGIN_ONLY,Q65_S2_KEEP1_E1E6,4,"[295, 438, 181, 267, 352, 291, 125]","[295, 438, 181, 267, 352, 291, 125]",1,,0.6333394977777734,0.0792240500707243,0.70417353829253,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.922651758430902,1949,1949,0.9373627981852772,8022356d937c8f1a8018b2c0bf03eaa105528961be9abe0e5463b690925f8696,AUTHORITY_STRONG_START,0,PASS,0.6658418512414895,0.1119288764894008
MISAR_K7,p0,0.5417571730402841,0.6665842964655063,0.664827266917494,CCSR_VIEW_SUPPORT_ONLY,AUTHORITY_STRONG_START__Q65_S2_KEEP1_E1E6__CCSR_VIEW_SUPPORT_ONLY,Q65_S2_KEEP1_E1E6,1,"[295, 437, 179, 267, 354, 292, 125]","[295, 437, 179, 267, 354, 292, 125]",1,,0.6333059869526826,0.0797114886050322,0.704863453934214,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.9222110650667402,1949,1949,0.936777403775794,df83a952ed43b177c4c6098e0cb560e9bf692f883b44a98052cae9144f2c144b,AUTHORITY_STRONG_START,0,PASS,0.6665842964655063,0.1126839909702539
MISAR_K7,p0,0.5416365903694235,0.6669488935833198,0.6651935851132982,CCSR_PROTECT_ALL,AUTHORITY_STRONG_START__Q65_S2_KEEP1_E1E6__CCSR_PROTECT_ALL,Q65_S2_KEEP1_E1E6,0,"[295, 437, 178, 267, 355, 292, 125]","[295, 437, 178, 267, 355, 292, 125]",1,,0.6332069965196186,0.0797725769119333,0.70517948377323,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,7,125,125,0.9221019057409858,1949,1949,0.936631055173423,1e7f48d5c56302ba7e728af2f70df32fe0f52f3dc49d1118ad2509ce58675829,AUTHORITY_STRONG_START,0,PASS,0.6669488935833197,0.1094612292945385
PLACENTA_K10,p0,0.351752533665932,0.5334512189737729,0.5274611084450909,NO_OP_STRONG_START,FUSED_KMEANS_S0__BASE__NO_OP_STRONG_START,BASE,0,"[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]","[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]",1,,0.4557741705764112,0.8276853872349124,0.5779230471370456,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,63,63,0.17830772783965,1662,1662,0.2457396888120523,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,FUSED_KMEANS_S0,0,PASS,0.533451218973773,2.7082860469818115e-06
PLACENTA_K10,p0,0.3690094460198729,0.5249779421342756,0.5188122624249,L2_LOWPASS_MATCHED,FUSED_KMEANS_S0__BASE__L2_LOWPASS_MATCHED,BASE,273,"[270, 100, 141, 110, 182, 379, 54, 121, 212, 93]","[270, 100, 141, 110, 182, 379, 54, 121, 212, 93]",1,,0.471893474461622,0.7500641807261278,0.5635626580746694,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,54,54,0.2661213817001982,1662,1662,0.3061249691281798,96c2d71471e3e678f3c3d9138452d95c4ae1227e39569e30be90601b098f1d74,FUSED_KMEANS_S0,0,PASS,0.5249779421342756,0.0419232249259948
PLACENTA_K10,p0,0.0305782367349945,0.123420153192064,0.1109614540021613,NIGHT15F_ORIGINAL_SELF_RETURN,FUSED_KMEANS_S0__BASE__NIGHT15F_ORIGINAL_SELF_RETURN,BASE,1141,"[6, 5, 14, 69, 171, 648, 51, 67, 509, 122]","[6, 5, 14, 69, 171, 648, 51, 67, 509, 122]",1,,0.2449433262352686,0.1684327057647618,0.1142298913988238,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,5,5,0.8412124883292277,1662,1662,0.929118300815016,b60cc6b5996254cd455d2f6e9cdab5104f17e759be33ccd7952fdd56a254cc66,FUSED_KMEANS_S0,0,PASS,0.123420153192064,0.194136407226324
PLACENTA_K10,p0,0.1151946864217895,0.210865843054705,0.2007723280638824,CCSR_FULL,FUSED_KMEANS_S0__Q65_S2_KEEP1_E1E6__CCSR_FULL,Q65_S2_KEEP1_E1E6,801,"[274, 126, 121, 135, 195, 290, 51, 116, 224, 130]","[274, 126, 121, 135, 195, 290, 51, 116, 224, 130]",1,,0.2483102866911861,0.3859048218102521,0.2289896671676604,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,51,51,0.6295465845605749,1662,1662,0.6520128426772043,7a45ea4730215d94b916aae3de7adcea9b0358dc14f556ca21ae33a8eb46f4fe,FUSED_KMEANS_S0,0,PASS,0.210865843054705,0.1844619829207658
PLACENTA_K10,p0,0.1628036909203718,0.3844688114759245,0.3762607943444312,CCSR_CERTIFICATE_DISABLED,FUSED_KMEANS_S0__Q65_S2_KEEP1_E1E6__CCSR_CERTIFICATE_DISABLED,Q65_S2_KEEP1_E1E6,458,"[157, 74, 105, 71, 94, 197, 521, 227, 141, 75]","[157, 74, 105, 71, 94, 197, 521, 227, 141, 75]",1,,0.3063137103085501,0.7629248587200099,0.4037166298056517,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,71,71,0.2302499765329208,1662,1662,0.4518399604840701,83c6bd12e4fbfc0dae37270c5724ed04187df828397ff94a85c8aff0daa859d9,FUSED_KMEANS_S0,0,PASS,0.3844688114759245,0.15221175737679
PLACENTA_K10,p0,0.112367857287478,0.1968870405898213,0.1863976887841904,CCSR_RANDOM_MASK_COUNT_MATCHED,FUSED_KMEANS_S0__Q65_S2_KEEP1_E1E6__CCSR_RANDOM_MASK_COUNT_MATCHED,Q65_S2_KEEP1_E1E6,660,"[284, 32, 101, 99, 174, 305, 60, 265, 244, 98]","[284, 32, 101, 99, 174, 305, 60, 265, 244, 98]",1,,0.2521812368104088,0.5333420683243493,0.2095842644408675,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,32,32,0.4725729182734065,1662,1662,0.5497653741664609,bb3497a55efc00e7e41573f38c67f412a580920b81aa270747c5578a09552eb0,FUSED_KMEANS_S0,0,PASS,0.1968870405898213,0.1807516925036907
PLACENTA_K10,p0,0.1157750770550703,0.2112764454756966,0.2011896785938396,CCSR_UNARY_MARGIN_ONLY,FUSED_KMEANS_S0__Q65_S2_KEEP1_E1E6__CCSR_UNARY_MARGIN_ONLY,Q65_S2_KEEP1_E1E6,799,"[274, 126, 121, 135, 196, 290, 51, 117, 222, 130]","[274, 126, 121, 135, 196, 290, 51, 117, 222, 130]",1,,0.2487759264911337,0.3871921481961825,0.2294619325742824,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,51,51,0.6281720199246655,1662,1662,0.6509014571499135,828906c0d33b00eb655a517873e4e11943e2e99a07c12492807614fcceb53277,FUSED_KMEANS_S0,0,PASS,0.2112764454756966,0.1914894450455904
PLACENTA_K10,p0,0.3277058507728518,0.457888656507272,0.4509537685649314,CCSR_VIEW_SUPPORT_ONLY,FUSED_KMEANS_S0__Q65_S2_KEEP1_E1E6__CCSR_VIEW_SUPPORT_ONLY,Q65_S2_KEEP1_E1E6,190,"[260, 100, 145, 119, 186, 275, 51, 234, 192, 100]","[260, 100, 145, 119, 186, 275, 51, 234, 192, 100]",1,,0.4344581872102195,0.7314188369051529,0.4971735606877268,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,51,51,0.2798367009854129,1662,1662,0.3132872314151642,f40639e4594cdb375ef5f9213fe4a45ca59e0591fe1de3f3821dfc907b186345,FUSED_KMEANS_S0,0,PASS,0.4578886565072721,0.1417706925421953
PLACENTA_K10,p0,0.351752533665932,0.5334512189737729,0.5274611084450909,CCSR_PROTECT_ALL,FUSED_KMEANS_S0__Q65_S2_KEEP1_E1E6__CCSR_PROTECT_ALL,Q65_S2_KEEP1_E1E6,0,"[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]","[239, 100, 137, 104, 176, 254, 63, 301, 200, 88]",1,,0.4557741705764112,0.8276853872349124,0.5779230471370456,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,10,63,63,0.17830772783965,1662,1662,0.2457396888120523,5793f8d4c49623fcc298a013ebac56221c33e55eb9aa8271b9190de8e6aff2a5,FUSED_KMEANS_S0,0,PASS,0.533451218973773,0.1372984871268272
HUMAN_HIPPOCAMPUS_K7,p0,0.1657336868947469,0.2631898402663674,0.260003643907149,NO_OP_STRONG_START,NIGHT16E_BYTE_EXACT_UNLABELED_START__BASE__NO_OP_STRONG_START,BASE,0,"[48, 502, 176, 852, 427, 395, 100]","[48, 502, 176, 852, 427, 395, 100]",1,,0.3434313465946866,0.6122018206336931,0.2583286704694661,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,48,48,0.3803900082456308,2500,2500,0.4724133508531583,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.2631898402663674,1.7080456018447876e-06
HUMAN_HIPPOCAMPUS_K7,p0,0.2397173865096601,0.3343777473383088,0.3314686243051061,L2_LOWPASS_MATCHED,NIGHT16E_BYTE_EXACT_UNLABELED_START__BASE__L2_LOWPASS_MATCHED,BASE,533,"[49, 569, 162, 825, 408, 422, 65]","[49, 569, 162, 825, 408, 422, 65]",1,,0.4030431127804738,0.5086237709286584,0.3257108094055785,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,49,49,0.4837184390906333,2500,2500,0.5813172890727203,58004e757322bfbc83811840a8b50b185c975d54a5b898b566d32413fbe7da11,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.3343777473383088,0.0605035964399576
HUMAN_HIPPOCAMPUS_K7,p0,0.1675095128890754,0.2667558803103532,0.2635933099071859,NIGHT15F_ORIGINAL_SELF_RETURN,NIGHT16E_BYTE_EXACT_UNLABELED_START__BASE__NIGHT15F_ORIGINAL_SELF_RETURN,BASE,5,"[53, 502, 176, 847, 427, 395, 100]","[53, 502, 176, 847, 427, 395, 100]",1,,0.3442976017310758,0.6061614170053469,0.2622620722424041,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,53,53,0.3872501491470867,2500,2500,0.4742985200196438,6c6c334d93ecde6865c4b5b45757ddf0a971e60dfa6f1f0ca85877dd10902159,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.2667558803103531,0.1103448327630758
HUMAN_HIPPOCAMPUS_K7,p0,0.3444635340232165,0.4289374305113309,0.4265284126119104,CCSR_FULL,NIGHT16E_BYTE_EXACT_UNLABELED_START__Q65_S2_KEEP1_E1E6__CCSR_FULL,Q65_S2_KEEP1_E1E6,875,"[51, 594, 279, 515, 474, 487, 100]","[51, 594, 279, 515, 474, 487, 100]",1,,0.4744966437070929,0.2728184907156575,0.4308422796700218,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,51,51,0.7160273993175897,2500,2500,0.7983187158381928,2ca14799ae58c8e425c70b7a26074789a95e49d4d235e04405c1f733f382d3d2,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.4289374305113309,0.2009419612586498
HUMAN_HIPPOCAMPUS_K7,p0,0.1675264171909398,0.2665886855740694,0.2634266715583109,CCSR_CERTIFICATE_DISABLED,NIGHT16E_BYTE_EXACT_UNLABELED_START__Q65_S2_KEEP1_E1E6__CCSR_CERTIFICATE_DISABLED,Q65_S2_KEEP1_E1E6,6,"[54, 502, 176, 847, 427, 394, 100]","[54, 502, 176, 847, 427, 394, 100]",1,,0.3442655262923021,0.6060703859431131,0.262158976378752,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,54,54,0.3875570636230188,2500,2500,0.4746307975256044,1c1dcb240893c217aef79b1941bcc71eb52857da8f4775cc2cbdf5f70eb21817,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.2665886855740694,0.1519337054342031
HUMAN_HIPPOCAMPUS_K7,p0,0.2770718560479919,0.3637348527226207,0.3609287524370769,CCSR_RANDOM_MASK_COUNT_MATCHED,NIGHT16E_BYTE_EXACT_UNLABELED_START__Q65_S2_KEEP1_E1E6__CCSR_RANDOM_MASK_COUNT_MATCHED,Q65_S2_KEEP1_E1E6,599,"[49, 619, 219, 892, 293, 374, 54]","[49, 619, 219, 892, 293, 374, 54]",1,,0.4369195138187715,0.404193515610903,0.3515713224414863,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,49,49,0.5859122265313031,2500,2500,0.71413352282586,201d96b87c4b9d4e53fa08ea4b5a7b767fd5270a7ba733f783a0777ebb2851bc,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.3637348527226207,0.1950092390179634
HUMAN_HIPPOCAMPUS_K7,p0,0.3264036515427618,0.4039412525808045,0.4014353507836091,CCSR_UNARY_MARGIN_ONLY,NIGHT16E_BYTE_EXACT_UNLABELED_START__Q65_S2_KEEP1_E1E6__CCSR_UNARY_MARGIN_ONLY,Q65_S2_KEEP1_E1E6,814,"[51, 575, 268, 512, 459, 517, 118]","[51, 575, 268, 512, 459, 517, 118]",1,,0.4594252451560622,0.306816192174506,0.4067897150727877,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,51,51,0.6837239181370623,2500,2500,0.7730623391754512,c82baaf85c3903869ac9dfe7ee285713153dd4d2762e102014a917cd12e4107a,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.4039412525808045,0.2117954362183809
HUMAN_HIPPOCAMPUS_K7,p0,0.2727737536414796,0.3630483255026048,0.3602941092956987,CCSR_VIEW_SUPPORT_ONLY,NIGHT16E_BYTE_EXACT_UNLABELED_START__Q65_S2_KEEP1_E1E6__CCSR_VIEW_SUPPORT_ONLY,Q65_S2_KEEP1_E1E6,436,"[51, 586, 205, 779, 345, 459, 75]","[51, 586, 205, 779, 345, 459, 75]",1,,0.4259706344270823,0.4545664205771654,0.3567087803120896,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,51,51,0.537901218395994,2500,2500,0.6455018475963347,71bcacd632cea02c58f4d0982449d316d03c8d5ac850be1a44634bd122bda000,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.3630483255026049,0.1800334081053733
HUMAN_HIPPOCAMPUS_K7,p0,0.1657336868947469,0.2631898402663674,0.260003643907149,CCSR_PROTECT_ALL,NIGHT16E_BYTE_EXACT_UNLABELED_START__Q65_S2_KEEP1_E1E6__CCSR_PROTECT_ALL,Q65_S2_KEEP1_E1E6,0,"[48, 502, 176, 852, 427, 395, 100]","[48, 502, 176, 852, 427, 395, 100]",1,,0.3434313465946866,0.6122018206336931,0.2583286704694661,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,7,48,48,0.3803900082456308,2500,2500,0.4724133508531583,88f57f0f5a8c8801cf03b0debdcf38697479b6d05777b501f02be23b4468c9ed,NIGHT16E_BYTE_EXACT_UNLABELED_START,0,PASS,0.2631898402663674,0.139940058812499
