lane,shared_config_id,best_ari,median_ari,mean_ari,min_ari,best_nmi,median_nmi,mean_nmi,min_nmi,paired_dual_gain_count,strict_independent_dual_gain_count,pareto_independent_dual_gain_count,min_cluster_size
MISAR_K7,Q50_S2_KEEP1_E1E6,0.5417984659042879,0.35912160666153,0.4199692977816163,0.3589878207790309,0.6658418512414895,0.5470655781616869,0.5861775102353416,0.5456251013028484,2,0,0,125
P22_K9,Q50_S2_KEEP1_E1E6,0.5928748557187139,0.5120604521051632,0.5312668434915343,0.4888652226507258,0.7131304490275349,0.6415174461486495,0.6601407873682432,0.6257744669285452,2,0,0,166
PLACENTA_K10,Q50_S2_KEEP1_E1E6,0.2292006421517519,0.1826012401277675,0.19175044793734994,0.1634494615325304,0.3072495097801109,0.3010872083239361,0.28840774972181404,0.2568865310613952,0,0,0,53
