lane,start_index,start_id,certificate_config_id,partition_sha256,trusted_count,trusted_fraction,certified_changed_count,noncertified_changed_count,certificate_gap_mean,certificate_gap_max,certificate_epsilon_max,mean_untrusted_original_stay,each_frozen_cycle_monotone,exact_k
P22_K9,1,KMEANS_RETAINED_S0,Q65_S3_KEEP1_E1E6,af4d7c7d0825b357bf49b4bf988ff6dc1ff40616369d98cac32c1cbd0ec59893,3063,0.3330795998260113,0,921,2.0136784485301136,9.004690307245307,6.876534830207408e-05,0.3804228745342394,1,9
P22_K9,1,KMEANS_RETAINED_S0,Q80_S2_KEEP0_E1E6,71b6a690e0a1301093370b8aa6d79931ef5a3f8d5c964ec75e6932400ba08e2e,1837,0.19976076555023922,0,1129,1.1617997127613802,9.004690417041118,6.887514411447421e-05,0.0,1,9
P22_K9,1,KMEANS_RETAINED_S0,Q80_S2_KEEP1_E1E6,502acdcd64bfb12f742c0dfe3a68d95b193bbad0a3e6c5ebfed8ee86f0ea2b93,1837,0.19976076555023922,0,921,1.1617996875319523,9.004690290742905,6.874884590110646e-05,0.45607340743743796,1,9
P22_K9,1,KMEANS_RETAINED_S0,Q80_S3_KEEP0_E1E6,9e2e0bcb7aab889bb8559ad71682445eb419005baec262fcdb92a62b5da1957f,1774,0.19290996085254458,0,1131,1.1206537492722752,9.004690417041118,6.887514411447421e-05,0.0,1,9
P22_K9,1,KMEANS_RETAINED_S0,Q80_S3_KEEP1_E1E6,28c9b54d160ba3a411c4e3e598e9dcb3e602ab2f081ab176594d0019a4ab7098,1774,0.19290996085254458,0,923,1.1206537254966085,9.004690293793637,6.875189663226895e-05,0.4598217243077729,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q50_S2_KEEP0_E1E6,bd39167f3163ed86df4bf6affe404291af0a22bacede085581fd1f0ee16f08f8,4565,0.4964114832535885,0,1126,3.440599600342796,10.699759246549146,6.885049773697934e-05,0.0,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q50_S2_KEEP1_E1E6,da7a350ced0ee4e4c348129ccf57b55319af887a0c4b400a741965ec11dc49bb,4565,0.4964114832535885,0,905,3.4405995119165906,10.699759068418285,6.867236687512934e-05,0.2822023067938062,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q50_S3_KEEP0_E1E6,1a53c2dfc5537bfcf1e6f3bb0a2489731b29c8ad10cbc20a74d4b76735029e89,4222,0.45911265767725096,0,1148,3.170866329007189,10.699759246549146,6.885049773697934e-05,0.0,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q50_S3_KEEP1_E1E6,78387a7b0513624407740b0ddabe26b4e3a0e0d0a1c74035ce80371fb3927000,4222,0.45911265767725096,0,912,3.170866254824613,10.699759084970992,6.868891958344539e-05,0.3031259836839406,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q65_S2_KEEP0_E1E6,fc166cfe59764a93016ea8b351f575bd4c84f23cd405f56de7a48e57ab014760,3206,0.3486298390604611,0,1228,2.3349157143396893,10.523872369618632,6.885049773697934e-05,0.0,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q65_S2_KEEP1_E1E6,6d6ccf5291a42bf1f21f167040c226848f4d55d8b3cb7568b497c3cb5f4af879,3206,0.3486298390604611,0,939,2.334915648710778,10.52387218137051,6.866224961647723e-05,0.36693049115359144,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q65_S3_KEEP0_E1E6,384827470b4ada61437fcde7ec21406ca9a8d5d6d5c51c0e874b28802f1d11a6,3040,0.3305785123966942,0,1237,2.207353531192892,10.523872369618632,6.885049773697934e-05,0.0,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q65_S3_KEEP1_E1E6,46aab7e9a052c301d0ade65e37aca37abef308e93cee0bb75728dd3c663ca4e0,3040,0.3305785123966942,0,971,2.20735347146381,10.52387218893816,6.866981726532619e-05,0.3768988179697295,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q80_S2_KEEP0_E1E6,2588309ea930ccec4fb58d6276e18d6846047a26a25d9f6be8ddc041e0dd54d7,1832,0.19921705089169203,0,1341,1.2690250460659276,9.788440366557962,6.885049773697934e-05,0.0,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q80_S2_KEEP1_E1E6,032cb5abe2c30cd8d6182ffb2df8547a4add1cab94969fa740dc71fda562199a,1832,0.19921705089169203,0,1007,1.2690250223380095,9.788440247452101,6.873139187610851e-05,0.4554645886845341,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q80_S3_KEEP0_E1E6,77ea3ebfadb08bf6af1cde223b7f66b5733d5444c36d2c2011c6549e95421cfb,1789,0.19454110482818618,0,1343,1.2396658631969126,9.788440366557962,6.885049773697934e-05,0.0,1,9
P22_K9,2,KMEANS_RETAINED_S1,Q80_S3_KEEP1_E1E6,fbe476fa5da9ce6a7a12969d132b93f1040857d42057d89f500c9fdbe8c100d5,1789,0.19454110482818618,0,1008,1.2396658404287024,9.788440249522491,6.873346226549304e-05,0.45805521277425204,1,9
MISAR_K7,0,AUTHORITY_STRONG_START,Q50_S2_KEEP0_E1E6,dfb8545b9b50fbf8ae184d28016d151ce13690bc795bc1b65a23908653367773,939,0.4817855310415598,0,42,2.5327178674585307,10.45300491205026,6.475695099493965e-05,0.0,1,7
