fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,dc933d63928b10a970b56e3ca4726b6645d5e171cf018dd40b6c51087b03a6d3,1
0.003125,False,cee5978f319729922fc5a0fc4617b682e9e26533211f8193c9894d1bf8f10d5d,5
0.00625,False,6727475920d1d1cea946d640ce589e258924b2d7493be9f70cc1c88c312c8b7f,10
0.0125,False,9db1c448f3a8680ac46127d9c3f630e842ae52eb158b589175339c242b32b40e,20
0.025,False,60d585a3ef67943c56c09daa303fed1653d37be7af17fd21a65329234321d2a8,40
0.05,False,5938169c9ed59ec8f047935dcb2cfed0b9abef004b236b6c9ca5fdad60be18a6,80
0.2,False,41d82cdad83ae639bbc98e663b20d69870b37504159f2da678a1c473a82fc230,320
0.5,False,b366e6bcb17cd6748fe994e6abcbb965b0fbf4d57afee3ce2c994da79a2fab35,800
1.0,False,8a13ed7230a1ba687b9cc05bdeeb4072689ca256f6785fff21edb490318900ef,1600
