unit_id,raw_target,canonical_identifier,gene_id,status,authority,selected_for_engineering
P10S3,CD36,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S3,CD38,Cd38,12494,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD55,Cd55,13136,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD63,Cd63,12512,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD68,Cd68,12514,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD79b,Cd79b,15985,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD83,Cd83,12522,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CX3CR1,Cx3cr1,13051,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD301b,Mgl2,216864,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Tim_4,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,Rt_XCR1,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,Rt_CD29,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,IgD,Ighd,380797,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD11a,Itgal,16408,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD200R,Cd200r1,57781,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD200R3,Cd200r3,74603,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD138,Sdc1,20969,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD317,Bst2,69550,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD9,Cd9,12527,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD371,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD22,Cd22,12483,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,IL_33Ra,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,Ly49H,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S3,Ly49D,Klra4,16635,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,Ly_49A,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD185,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD49a,Itga1,109700,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD1d,Cd1d1,12479,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD226_10E5,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD199,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,JAML,Jaml,270152,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD272,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,PIR_A_B,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD26,Dpp4,13482,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD270,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S3,CD2,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S3,CD120b,Tnfrsf1b,21938,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD40,Cd40,21939,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD31,Pecam1,18613,unique,NCBI Gene exact Symbol/Synonym token,true
P10S3,CD107a,Lamp1,16783,unique,NCBI Gene exact Symbol/Synonym token,true
