unit_id,raw_target,canonical_identifier,gene_id,status,authority,selected_for_engineering
P10S1,CD26,Dpp4,13482,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD270,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD2,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S1,CD120b,Tnfrsf1b,21938,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD40,Cd40,21939,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD31,Pecam1,18613,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD107a,Lamp1,16783,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,Rt_CD61,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,VISTA,Vsir,74048,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD186,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,CD159a,Klrc1,16641,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,Ly108,Slamf6,30925,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD160,Cd160,54215,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD85k,Lilrb4a,14728,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD51,Itgav,16410,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD94,Klrd1,16643,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD205,Ly75,17076,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CD155,Pvr,52118,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,Rt_CD81,,,unmapped,no exact NCBI Gene Symbol/Synonym token,false
P10S1,MOG,Mog,17441,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,CTIP2,Bcl11b,58208,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,TBR1,Tbr1,21375,unique,NCBI Gene exact Symbol/Synonym token,true
P10S1,H2AB1,,,ambiguous,NCBI Gene exact token maps to multiple GeneIDs,false
P10S1,APC,Apc,11789,unique,NCBI Gene exact Symbol/Synonym token,true
