K,N,backward_complete,candidate,checkpoint_file_sha256,checkpoint_roundtrip,checkpoint_state_sha256,code_commit,contract_sha256,d_coords,d_z1,d_z2,d_zf_aligned,d_zf_raw,dataset,eval_shapes_finite,forward_complete,gradient_finite,gradient_norm_before_clip,harmonizer_mode,harmonizer_sha256,implementation_sha256,input_manifest_sha256,label_reads,loss_components,optimizer_steps,ordered_observation_sha256,preflight_row_sha256,registered_input_sha256,runner_sha256,runtime_seconds,seed,status,unit_id
10,3484,True,Q04_SPOT_GATED_MASKED_RESIDUAL,f830491c26feb79b025c59bcaae6fe0cd691f77296c936f7b0c345fcdb9df695,True,75a0ee2d22fbb069b7289db9b8279a38b6e9a60ce3dcbe26d0e4e0153d79ca8d,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,0.0051799253560602665,identity,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,3bbd6c6e0a346e6b1a7c9b068c62e5e62657ef32c4eb417aeaf2a0278af552b7,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,09bc2bc47143d0488ff6c9853524461dab14802880ca968d82d8c42d025bdd2b,a2fc05ea7b9a410b039d6510b2dc299b739e4fd099ed78695a327b4975152142,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.157301664352417,1,PASS,u001
10,3484,True,Q05_BOUNDARY_GATED_RESIDUAL,a0edf665dd3d2375dba95a0f3c62eb15d84459765f32d1f7f1af3f5b7002b8ae,True,f037653310381306d249b5a8795e6ad4363ea7050019a05781ff6f4883b1283a,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,0.003384869545698166,identity,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,3bbd6c6e0a346e6b1a7c9b068c62e5e62657ef32c4eb417aeaf2a0278af552b7,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,efea109efd8928dff6934cc359d546820cd74af03b43f490fe4b488d43de18e5,a2fc05ea7b9a410b039d6510b2dc299b739e4fd099ed78695a327b4975152142,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.1528787612915039,1,PASS,u001
10,3484,True,Q06_COORDINATE_PRIOR_RESIDUAL,ce3293604f0af35a51033696a3d81407a887ff36870fc5ac54d9eb1c1d8ad86b,True,2b38320899d115008723461c8ab81bc8f1052283499765632666f6c9594e26c1,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,16,64,64,64,64,a1,True,True,True,0.005511384457349777,identity,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,3bbd6c6e0a346e6b1a7c9b068c62e5e62657ef32c4eb417aeaf2a0278af552b7,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,b9b1e87eed2e13fa8e73c66b89c2eac531478552426603451c286ddfb65f6b76,a2fc05ea7b9a410b039d6510b2dc299b739e4fd099ed78695a327b4975152142,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.21848297119140625,1,PASS,u001
10,3484,True,Q07_CONFIDENCE_MNN_RESIDUAL,95a6c06c44ad6818936f799cc8a602c1ca3558ab37a936256a07b302897d218e,True,9c33870a0b4b1fe82e0ec86f52b0b82281e7c86d3b26a7d167d0fc3739f292e2,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,0.005182105116546154,identity,a3535082bc8ec402af567059b09c63fac38310849eb559890e7e19609b3b9dfd,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,3bbd6c6e0a346e6b1a7c9b068c62e5e62657ef32c4eb417aeaf2a0278af552b7,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,c0d2f62dad84f8c3bc845f66ee9c7ff4acc508315e7fdf712da548237bd28307,a2fc05ea7b9a410b039d6510b2dc299b739e4fd099ed78695a327b4975152142,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.14696931838989258,1,PASS,u001
10,3484,True,Q01_GLOBAL_QUALITY_BLEND,65361c13007869a6af4a603bed4d910f4e4c02d6c75b50a1ae4658c611237f13,True,ad8a8e253e1382fc049b2b7904b473e83737bda469f036ef248f7b66256c1d77,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,1.1126690679930107e-07,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,b6b02112ccef7a2878e6dac1703f5572201466cc5592afdb3b274afa80a5d114,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,8de8de179c487aec683675176abec1714978d9aab760739cb24635c8cd3a0bc7,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.08962559700012207,2,PASS,u002
10,3484,True,Q02_SPOT_QUALITY_BLEND,6a0b4342e85f786f48eb23aac93d60b912520b0faa5a489135458698dffea6a3,True,9d189274526ef63d03093057869260bd88481f280523c3ab0e1bd244423d2cac,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,0.000561840832233429,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,b6b02112ccef7a2878e6dac1703f5572201466cc5592afdb3b274afa80a5d114,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,74e6e408eea6251185936c6dfbe6a6f97db6149450b3e9e61df23974053825d0,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.15114903450012207,2,PASS,u002
10,3484,True,Q03_MASKED_RESIDUAL,e190c6de61457293782467e9e40a307a4da3a3ca9c96c3125497ecece963a6e1,True,ef0555fa84f4a6f7601fd5f8aa04472f2f37ddfcff5168fd8e00fdae7482b091,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,8.322361099999398e-05,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,b6b02112ccef7a2878e6dac1703f5572201466cc5592afdb3b274afa80a5d114,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,37bc0056d745614c2cf8c78028a065e032cd7f523b4a9c987860d8a06cc21950,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.21257662773132324,2,PASS,u002
10,3484,True,Q04_SPOT_GATED_MASKED_RESIDUAL,8e7641f1615cf21c0aa884b79ed979d929c5c544aab20bcce4a2bfdeb930aa06,True,eed1f38bea7dbe7f9f2eafc94f29e2989443383068c4b6510081fbc5e159d5a8,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,0.0047991396859288216,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,b6b02112ccef7a2878e6dac1703f5572201466cc5592afdb3b274afa80a5d114,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,78624c46944f5abe4c81e47ebb566c53fe80fc20975e962212d9ea621ee02cdf,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.1752467155456543,2,PASS,u002
10,3484,True,Q05_BOUNDARY_GATED_RESIDUAL,633ab86c8d70d85c1ac44af8d13437d8445c3fd28f864faddfe1fe6592c360b2,True,8b7539a86b6dc04ba636943b5feace03788257cf6a721127050de24286260dcb,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,0,64,64,64,64,a1,True,True,True,0.003056648653000593,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,b6b02112ccef7a2878e6dac1703f5572201466cc5592afdb3b274afa80a5d114,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,a86b75c5293a58dfb88084063333b6054e1cb9adf4190e10af7872d687c53367,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.19198822975158691,2,PASS,u002
10,3484,True,Q06_COORDINATE_PRIOR_RESIDUAL,c8cc7f46c6a4ae163bc04b4c5f22400a2c632c8960e03e583b1718afca0bcd28,True,cc6c3a6cbb8d6387bfc5094e213fcca85c99ebf6cf82ae04230a75e2b9f23d80,6a489f80ec12a07f47a4d20504295f383495b554,991e27573c31d0ce072ef6782055bbc0f43fbea008ae3e14a0ce4503fc969a9b,16,64,64,64,64,a1,True,True,True,0.005344970151782036,identity,b8e47ec7b8c517bf6afd57715efb31ca4b19bd631295130e848c4dc9e44cf606,98cfa6331913ff96e9d77ecda75b01681cf5792112a27db23bef2e093b042da4,b6b02112ccef7a2878e6dac1703f5572201466cc5592afdb3b274afa80a5d114,0,"['align', 'anchor', 'boundary', 'correction', 'mask', 'mnn', 'total']",1,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,29d715807daae214a57e54e155027010c74b15be426c9bf7edc8b1f0a613e3fa,8f45c7989bea891b33aa1b3f532215f4cb7d5789d0540c59e8705ee252abd7ba,655c89318a6ed9492d3b7557ca2bbdc86dac0cb8977ce8df1c4d63b3d8246533,0.18110060691833496,2,PASS,u002
