fraction_of_training,state_file_saved,state_sha256,step
0.0,False,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,0
0.000625,False,44f1130b9badae396b9e3f916f5fc002bf88776c974bf0487f1c750ea499c0bb,1
0.003125,False,c2fa24a16635356a1dc4cda02c697c8ad934c632fb9b956431638114d1068e3b,5
0.00625,False,ef26d9a75146200faf526b0cd295e60dc4bf043a68c19468a711b6c3c0ce265b,10
0.0125,False,da26c976c467cdcc68f8800be74d17ba13bd939d43bc8d8bf2a1eaee880a6c54,20
0.025,False,b55f5a5b1a2dce9f50c099fef166e7c6aa6488ae54c454d0c66693948ef2e1c1,40
0.05,False,f39a00013207138f3cd04b402fd194da46ad4c01b9f4ed400f78a6f790cb43ae,80
0.2,False,7f632cc95583175e4eb8c466a63f7d10807712a63b5d1ecebaff63adf56cf302,320
0.5,False,064c1abe50369f525cc09781d2c3ba07898aa73870767d27d50cd0ada8a47635,800
1.0,False,2aeeb3bfc0a1b3ab653dfdca9743f2891e99aa52b80ed56d447d9bf5efd7eab8,1600
