step,fraction_of_training,state_sha256,state_file_saved
0,0.0,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,False
1,0.000625,445981529369ba52301c3f41ef00963c26abf00c43c0058539a0b9b3dda7eecd,False
5,0.003125,1d5a23a00990df6dcc8139a3a2c5a3b5de4ce27027ad155bfc13726eb563913c,False
10,0.00625,132b3c1848bd04469de0da98c0c38e66f523cd865cb7a53ecd2ea533d96e6f55,False
20,0.0125,6e406754061a4a8b17a6a717154d8d771935c9e8fe94a30842be7be3017a2c5e,False
40,0.025,ce1fbe427622b7e1a4fd6fb2382c758a0e1a1b5135d1277009cbdcec1f0b1b16,False
80,0.05,84b58c38494baa64d433fd3eaf47409360f70146de58f218f2dd2ec8389f437f,False
320,0.2,1a9b2426883bb0ea019a193925c0120402e09e9446a33c191c9a1b9bd2c97936,False
800,0.5,c4cec8d7c1d4b4d9bf0cbe3947f91d1281263a3d827bf58d2ac091bc3df2a82c,False
1600,1.0,f2252a70bbf9161419c9450449d1bc612f188e714211a4314d33363fcd2c08c8,True
