fraction_of_training,state_file_saved,state_sha256,step
0.0,False,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,0
0.000625,False,f50e3515868bdf0537e43c30602841266a60f03c05740d36482bccb47875d10f,1
0.003125,False,2ff33bb403a7749f8c40746fe778f0c9ee645a99ce68c1bdd8a1294261292aba,5
0.00625,False,f318f9c544a0adb1f2cb28c2596641391e67c4c3da046e20c51385d43d3f9403,10
0.0125,False,cb07a9ac0aaa979558d491e50c0d256b10d3c05c6463dd6eb2be8d8c76462e8a,20
0.025,False,b12d3296528db29d9262648d71a5cd719efacb76b0c27d90357e2d3fde9d1c5d,40
0.05,False,1e5833d03b4abb484f885339542ccf2cc6016604cc850e0eef1944c5dc4f524e,80
0.2,False,28f5b9141ce251b1c4ca541e4371bdc0fa4eb4066d5c5ff1d9473fb1b01e57c9,320
0.5,False,df35f65f1e83d13f489e2015e1b175d4ca93476f69afb98fb6362a5e966a2aab,800
1.0,False,9cd487a7215c75b8579afb93decf22724895dc8458143ea22cb0f6409aa919fb,1600
