step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,False
1,0.000625,3d11f5dc0018368075cc95f218e1bf24a13ccf9ce061eafdb0cb5092994dce40,False
5,0.003125,a0ea4c8051a66d4675c4d6e1a4606ba618b38ab63a6856556b79f586389a4866,False
10,0.00625,5bc93f7ad5165f1b5cde65d7b9c684452bad820ae3950c7ecfddc60fc3321724,False
20,0.0125,7939e8ef2b417a5130aa958d6d10b2fab508eda6352d2b2e22c5a9dcb2323769,False
40,0.025,fe26c88f4d262a9367b2c8a9babcd454b35fd9e8f99e914a216ae369b9c7fe47,False
80,0.05,6ef7fa81102967c5582a3afedbd3c803f9a6c4c53993121e8aa2d5213270f69d,False
320,0.2,bc1183b6c1cb0307368906af70a2b67d962debafe28addd58403e88a3bdd86fa,False
800,0.5,73184fd1d84b7571d53f670882a21fe0acd370d56f8e65626b8da0682d3552d1,False
1600,1.0,49bcad8f907503b30cf7201bf9a18719fb9f38ad9b5c3478c852bd1888b39e77,True
