step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,7.344319282140752e-06,2.566186433286382e-05,0.24999997554218112,0.00021234524782960917,2.5661867812481273e-05,0.2500000094408982,0.0001473618248050535,2.5661867603277264e-05,0.25000000740281564,0.00012167922032885425,2.5661867624965586e-05,0.25000000761410507
1,0.000625,True,True,True,True,6.800472186797223e-06,2.3761602396748794e-05,0.24363277038967995,0.000203927880227919,2.4644631133387028e-05,0.252686652103916,0.00013942697863758653,2.4280078445391328e-05,0.2489488157473263,0.00011780162410894483,2.4844091503213214e-05,0.2547317617590777
5,0.003125,True,True,True,True,4.76005057601424e-06,1.6632143484867995e-05,0.2095324541177396,0.00017340779591983293,2.0956286905555056e-05,0.26400819765121525,0.00011495687953727114,2.0018808987157575e-05,0.2521978107878666,0.00010322621123157402,2.17701704604301e-05,0.27426153744317844
10,0.00625,True,True,True,True,3.6637937576147503e-06,1.2801700843825216e-05,0.19173084499598106,0.0001568484227191296,1.895509097356519e-05,0.2838900591158796,9.541329320810217e-05,1.6615451804686294e-05,0.24884932505192012,8.723130642976717e-05,1.839688183655025e-05,0.27552977083621916
20,0.0125,True,True,True,True,3.0316665213489514e-06,1.0592978325782297e-05,0.19305476057380042,0.0001445210733349848,1.7465334015933452e-05,0.3183019707102514,7.810581844405738e-05,1.360149533034472e-05,0.24788433844467864,6.263947817955327e-05,1.3210521835990401e-05,0.24075893027126952
40,0.025,True,True,True,True,2.905465399130624e-06,1.0152017638670406e-05,0.21969206160878485,0.00013405250572553177,1.6200210350932142e-05,0.3505763816776014,7.035030632325049e-05,1.2250935743402541e-05,0.2651131455734299,3.606986882172511e-05,7.607052350034555e-06,0.16461841114018383
80,0.05,True,True,True,True,3.5652208448898327e-06,1.2457276178166517e-05,0.27717289747728197,0.0001200986258979884,1.4513887613476764e-05,0.32293225468804515,7.759374263706227e-05,1.3512321478301735e-05,0.30064752857848526,2.1150433539508762e-05,4.460577773547745e-06,0.0992473192561875
320,0.2,True,True,True,True,2.4240075020905752e-06,8.469750465745113e-06,0.2576738214977314,8.534754393033225e-05,1.0314228422091058e-05,0.31378807015265603,6.64002191363586e-05,1.1563060070408396e-05,0.35178106941877196,1.196318138219512e-05,2.523007430304388e-06,0.07675703893084057
800,0.5,True,True,True,True,3.0665185977328946e-06,1.0714755337582179e-05,0.33352884523420656,5.3166592958640365e-05,6.425168891179596e-06,0.2000026219164654,7.05310152252745e-05,1.2282404734266415e-05,0.38232662703462406,1.2817087860295632e-05,2.7030943419881873e-06,0.08414190581470408
1600,1.0,True,True,True,True,2.236185008818775e-06,7.813477888826828e-06,0.3355569667927469,3.9360995458300327e-05,4.7567660342890646e-06,0.2042836755820732,4.808852471945146e-05,8.37422688148722e-06,0.3596388460514417,1.10984153910149e-05,2.3406302722961145e-06,0.10052051157373829
