fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,9102f58d8165369e9a3e6c900552cf6038cb2af4b4d765bc15bcdda8330e5679,1
0.003125,False,f424fc255235c6a814925258eb086061c8fb9096943229b949a4e0fc01db8729,5
0.00625,False,598d41d1e250d1c299274f805fcbc177a57ed1fd21f3322f2a7e73758b445af1,10
0.0125,False,a7da76f4ea4a9785d6946437f820a67ed2ea0d128dba248cac6c918696af8fd3,20
0.025,False,dccd280d2774778a9bfb68d90c0ff873cfbc86fa6e0eff5aa7a01550e2bb0421,40
0.05,False,971650e5610820805228c4f2663d5d6aacc7d7614db9f7e393350df8b68f6698,80
0.2,False,ac3f6f42bc0deea7acb62db3bcdbb26d618501a33b60c78ccdd75d11ced1e6c1,320
0.5,False,a9d3f7c61f40f0670ac913158b43f594ecc81cb16c6373e38dab2c01bc1ec7d3,800
1.0,False,383f94fb4d81f5714efba685d25bba5bc3a59d59e4779a97e49827f8dd70fc18,1600
