fraction_of_training,state_file_saved,state_sha256,step
0.0,False,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,0
0.000625,False,64a2760df4a152fc0ac672e3226ccde2ebe467bca0f38cda3a222dee959a14c9,1
0.003125,False,127ed42d90840c946c11e410e4b6398cf77f2d4492e4560824ced8cd24b57740,5
0.00625,False,c2a601197d42933129ed1938e995406a83352101cd3f25293c1af85304287af9,10
0.0125,False,0d0230820029247ddc481f9110e395aec26179fff9f4b043a9f0465361559839,20
0.025,False,9ea60a44f5f44081dd173e2a5b09d4b41549156123e63399235257ab4508c3ba,40
0.05,False,588a93e6b95b81e19f9608d94eacc53b07f0b55ebc29052f4858286c9b56b620,80
0.2,False,af06852343c3a4e91acd4972ab05baeb4fbbd91b11df1bca90a4d64229073e4e,320
0.5,False,a12f77a5e22bdf471c6ae7406f4f9c7a0e0d06a08cfd57206c49f64e5b6c38e4,800
1.0,False,6a43432993fb6d013ffd38e386d7cd1e76cda70c914557786d7d0fdbbbc54442,1600
