all_clusters_internal_spatial_support,benchmark_reference_labels_read,exact_k,lane,no_singleton,relation_count,relation_sha256,same_edge_fraction,teacher_candidate_id,teacher_cluster_ids_exported_to_model,teacher_file_sha256,teacher_partition_sha256
True,0,True,HUMAN_HIPPOCAMPUS_K7,True,8080,a93b2c5287d745de6c6256315fc8e872c8f629bc7640effa7fa09f983d0147d2,0.8116336633663367,KMEANS_RETAINED_S4__UNIFORM_MASS_MATCHED,False,da7ce813afcdd3c5af94fcbfcb16097cc9d67a6c013a439a11c693f572f18b2b,58aa4e6ff2e7957a1cc17b255bf746d8e4ec839aebd7b71462a151179ea66b7f
True,0,True,MELANOMA_TUMOR_K2,True,3193,65e8459dc684d7e2712fe318dbaf0339ecb31260171c807b8a82fb504ebea8a6,0.9627309740056373,KMEANS_RETAINED_S3__DIRECT_BASE,False,7f3f329bbd108c57045f7c6e94053612bb4e73f8d68059e1c88f19009c99f077,37183e514dcf6970a3e110fc9d295ea5a08e3f44e4d48a77bd4839f382ca7de4
True,0,True,MISAR_K7,True,17024,6e72868a76c78456c39d4782f7309a136359b4426e36d153407b002a90810135,0.7555216165413534,AUTHORITY_STRONG_START__DIRECT_BASE,False,d358a6ea5756b785fb85748ee983e409c1c4cb83a91e5166a575677d54c644b3,fb43c68f2ed63aac021f8a6d9acae53f9b2d6227a2698f331f7ecd2cfd796115
True,0,True,P22_K9,True,59201,7f9cce01f9a6b8ec6f968bd67198cf439415c3e568a89338f2e449d72511afc4,0.8079424334048412,PATH_UNIFORM__AUTHORITY_STRONG_START__L03,False,cb81ce04cba056530ac457e3d6f7b271da0e6d01f4eda33b155333300d5abcd1,57d73f5d8d27e7ac5e60663a1d3606c4628425a184bdb2cf61a2ee07cf7eecf2
