fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,f546694fa3e69f184118d5e667f8178b31f6a9121eead73c010dfa87fa0f492d,1
0.003125,False,9d520eb49c5be19f6f95adaf9e789d0c9af482d78d72570bcdeaf2b4251a3c1e,5
0.00625,False,e6e4ce5741c297f59f28a1854ddc6953d4a759e2420e005999d498a8402d1d25,10
0.0125,False,4fdd440d12158c9e9349abb124ba872097ecc1e19f49e837555f521eeaf91163,20
0.025,False,ca2cbf7c7b2c4aee3783198e8f02515e264721bdd52bd6d1595f7172a40e10c9,40
0.05,False,099c165ed0d0553d30a98f773d977dba6b8babeac4c99d0184f407f55033bc72,80
0.2,False,3049c51468e39492a6abe3afdc53206687822201a8c72236a00dc438852bb5eb,320
0.5,False,80372f5dd50e04a984d952d4f4351ae17210b8d6c668d9449f9e0401218bd577,800
1.0,False,abd73df7f7a4f443754ccf0a21781ad6d26d163b56ef2fb4389886e2af4cb429,1600
