corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share,diagnostic_grad_fields_unchanged,diagnostic_optimizer_state_unchanged,diagnostic_parameter_state_unchanged,diagnostic_rng_state_unchanged,fraction_of_training,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,step
0.00017840558721894247,2.2370931431886217e-05,0.2500000097900367,0.00011858718224332833,2.237093136449514e-05,0.2500000090369268,True,True,True,True,0.0,0.00020037923205122805,2.2370931480132316e-05,0.25000001032919733,6.258796342826081e-06,2.2370927946835502e-05,0.24999997084383924,0
0.00016623717814652402,2.0845089953277457e-05,0.24604314185131376,0.00011498448900911565,2.1691299708313874e-05,0.2560313024810382,True,True,True,True,0.000625,0.00019274767950037887,2.1518922330010265e-05,0.2539966616213933,5.781793510189572e-06,2.0665968172648402e-05,0.24392889404625476,1
0.00012994105688992515,1.6293786081396317e-05,0.2316429952595134,0.00010142856851060232,1.913403709933696e-05,0.27202183967283533,True,True,True,True,0.003125,0.00016946704881676389,1.8919803706258534e-05,0.26897615927606394,4.4742662169468e-06,1.5992449933125824e-05,0.22735900579158735,5
0.00010772858163040583,1.3508482276121686e-05,0.22488833859510163,8.6520808610967e-05,1.632175614953914e-05,0.2717235399503422,True,True,True,True,0.00625,0.00015312681839156237,1.7095531941815887e-05,0.28460530925745536,3.676712255807615e-06,1.3141738514977715e-05,0.21878281219710086,10
9.020332522756533e-05,1.1310926048058987e-05,0.22821392028382312,6.338556326090832e-05,1.195739757354274e-05,0.24125739705625132,True,True,True,True,0.0125,0.00013776547922638636,1.538054649951531e-05,0.3103242650379069,3.053436410092945e-06,1.091395248844119e-05,0.22020441762201867,20
8.596132560327423e-05,1.0779006144605273e-05,0.25112583034043473,3.781120391607449e-05,7.13291126084599e-06,0.1661802803611058,True,True,True,True,0.025,0.00012611808650145386,1.4080197047606827e-05,0.3280359179224391,3.0580982201416365e-06,1.0930615279653538e-05,0.2546579713760204,40
9.730258388263476e-05,1.2201128149156192e-05,0.29033422452629215,2.2825766188680947e-05,4.305976742926813e-06,0.10246367411298479,True,True,True,True,0.05,0.00011653189104694298,1.3009965769281572e-05,0.3095810712388262,3.4992276051388376e-06,1.2507351946970667e-05,0.2976210301218969,80
8.79814938891837e-05,1.103232246114804e-05,0.35624370781723247,1.2569098483028459e-05,2.371103134067669e-06,0.076565072773392,True,True,True,True,0.2,8.058503370827848e-05,8.996752053382283e-06,0.2905132913850384,2.3971824013615036e-06,8.568292022754268e-06,0.27667792802433716,320
8.680931740791777e-05,1.0885338949604263e-05,0.3826585725060405,1.3028619832675915e-05,2.4577897420046894e-06,0.08640009452619717,True,True,True,True,0.5,4.996180932031646e-05,5.577884501735646e-06,0.19608257776073448,2.6650108975345883e-06,9.525596217012802e-06,0.3348587552070278,800
5.642048672760454e-05,7.074771926217308e-06,0.34893415339355643,1.1315871934467927e-05,2.1346876583674014e-06,0.10528472699901753,True,True,True,True,1.0,3.805911497040769e-05,4.249032419586272e-06,0.20956612390229157,1.9071851860659328e-06,6.816886193725864e-06,0.3362149957051344,1600
