fraction_of_training,state_file_saved,state_sha256,step
0.0,False,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,0
0.000625,False,5c9332169910a9d77b0a1647ab0b42a035cb084dddbe059704e456ccfb33d380,1
0.003125,False,c58473bd2ff55d8fa4c37b16b06eb519afa18245f6c2b29e40f253c2b69742bc,5
0.00625,False,2131eaac42ec8892a0114d4b5cf30aee9a93f965cb5a5207d199a6f2a4d5582f,10
0.0125,False,27f627fef4eb51d3178c346ec49c2cf87573997aa6ec1fecbc0e1569c2ac2a42,20
0.025,False,de41f50a43265dbca05c252f179a6882abc7f72a96ecc7514ef573d3b0d9c8e2,40
0.05,False,7c67c0cfc71194c94f91c470f1fc6eff0c66fb5fca5c084b866efaf2fe738e13,80
0.2,False,c0b86ae7bbeea125ffb574100a6e20ecc1dc9a9e2078abe61259dee5d73e0fab,320
0.5,False,d67c2198175b9e2191c64f21692115a3e52a40418016c694c01a503424dff02a,800
1.0,False,cdf265b6f6996c166497aa213b8e6d2a3577b5663756fb8d495088fc8a221d79,1600
