source_file,dataset,candidate_id,mechanism,training_seed,endpoint_seed_count,ari_mean,ari_sd,nmi_mean,nmi_sd,delta_ari_mean,delta_nmi_mean,win_both_rate,consensus_method,consensus_medoid_seed,consensus_mean_pairwise_ari,consensus_partition_sha256,consensus_ari,consensus_nmi,consensus_ami,consensus_fmi,consensus_morans_i,consensus_gearys_c,consensus_delta_ari,consensus_delta_nmi,optimizer_steps,trainable_parameter_count,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,family
stage_b_discovery/E10_EDGE_RELIABILITY/E10_EDGE_RELIABILITY_summary.csv,tonsil_s1,E10_EDGE_RELIABILITY,EDGE_RELIABILITY,0,10,0.1567892189379225,0.0209466616512145,0.2865170421226697,0.0022151078814705,0.0149825573296606,0.0022939924050852,1.0,PAIRWISE_ARI_MEDOID,2,0.8870557836942379,261ba02ea42b26595a4f8564932a2bd1b55c276567416c6bfeb9294d8ea1bfa6,0.1462942499569689,0.2855567393223334,0.2849108632067033,0.4534351182352447,0.6966194416326816,0.3026672762183291,0.004487588348707,0.001333689604749,80,12253,0.9391005877405404,0.9009520874023438,94.2412109375,1407.09765625,RNA+protein
stage_b_discovery/E10_EDGE_RELIABILITY/E10_EDGE_RELIABILITY_summary.csv,MISAR_E15_5_S1,E10_EDGE_RELIABILITY,EDGE_RELIABILITY,0,10,0.1765508785309869,0.0127432748911786,0.3282516326630682,0.0159671721748225,-0.0255958054312345,-0.0279361178531019,0.0,PAIRWISE_ARI_MEDOID,0,0.7904400429390032,877dbe6e4499e4a35be5312ca41e0798d2ca58b19990c5690ea7da9e885c2d36,0.1904081516406472,0.3477571639234107,0.3439967832878952,0.3692795675573319,0.7103413620408539,0.2934542240852132,-0.0117385323215741,-0.0084305865927594,80,14833,0.6363472603261471,0.6190272827148438,51.38720703125,1407.09765625,RNA+ATAC
stage_b_discovery/S10_SHARED_PRIVATE_ORTHOGONAL/S10_SHARED_PRIVATE_ORTHOGONAL_summary.csv,tonsil_s1,S10_SHARED_PRIVATE_ORTHOGONAL,SHARED_PRIVATE_ORTHOGONAL,0,10,0.1422187024476542,0.0015222458249124,0.2842907419919276,0.0020661285534964,0.0004120408393923,6.769227434323955e-05,0.5,PAIRWISE_ARI_MEDOID,9,0.97139731624968,03d5e60a8a516605554e502f4ae67fb1c92f525c2bb94ef029d66214511c5376,0.1405024062835814,0.2819870275228696,0.2813374126392823,0.4498646577179918,0.6765513165959566,0.3221297367822698,-0.0013042553246805,-0.0022360221947148,80,24376,0.8379603233188391,0.8013416748046875,51.77783203125,1407.24609375,RNA+protein
stage_b_discovery/S10_SHARED_PRIVATE_ORTHOGONAL/S10_SHARED_PRIVATE_ORTHOGONAL_summary.csv,MISAR_E15_5_S1,S10_SHARED_PRIVATE_ORTHOGONAL,SHARED_PRIVATE_ORTHOGONAL,0,10,0.1575516439050407,0.0131985851273787,0.2998034454248971,0.0125724123835268,-0.0445950400571806,-0.0563843050912731,0.0,PAIRWISE_ARI_MEDOID,8,0.8130056813533821,dab32cf9efc15a6c6c2a8fc5c7c5bba0d00b9c3617e8ed2145191d0dc9fdba62,0.1496429287957016,0.2938925376343023,0.2898071270389634,0.3415254725225038,0.6063426910642064,0.4016236993531378,-0.0525037551665197,-0.0622952128818679,80,28256,0.5361566934734583,0.5105361633300781,32.69970703125,1407.24609375,RNA+ATAC
stage_b_discovery/X10_MODALITY_DROPOUT_CROSS_RECON/X10_MODALITY_DROPOUT_CROSS_RECON_summary.csv,tonsil_s1,X10_MODALITY_DROPOUT_CROSS_RECON,MODALITY_DROPOUT_CROSS_RECON,0,10,0.1877614841760113,0.0081879325369257,0.2844142457103923,0.0030976593659157,0.0459548225677493,0.0001911959928079,0.7,PAIRWISE_ARI_MEDOID,0,0.959110858039616,a08eef4a348335983a65c889140f77e5b097a66fc94ef6e33ff8aac04b0dfda8,0.1935506024042296,0.2871072769780943,0.2864957067418954,0.4649921662032347,0.6797513995008438,0.3205407005262641,0.0517439407959677,0.0028842272605099,80,12156,0.6001636199653149,0.5654845581054687,43.11962890625,1408.9140625,RNA+protein
stage_b_discovery/X10_MODALITY_DROPOUT_CROSS_RECON/X10_MODALITY_DROPOUT_CROSS_RECON_summary.csv,MISAR_E15_5_S1,X10_MODALITY_DROPOUT_CROSS_RECON,MODALITY_DROPOUT_CROSS_RECON,0,10,0.176691170493003,0.0203400343567065,0.3173667173196851,0.0161991735973892,-0.0254555134692183,-0.0388210331964851,0.0,PAIRWISE_ARI_MEDOID,5,0.7041118655770737,2f3aac46cf78c17d4beb9e716afe7e820bd326e2a14c521526abf586f4b0d7bf,0.1537448706298308,0.3048962316423342,0.3009760993918458,0.3359075220951861,0.6289375484036304,0.3791801724049446,-0.0484018133323905,-0.0512915188738359,80,14736,0.421372527256608,0.4056033935546875,29.201171875,1408.9140625,RNA+ATAC
stage_b_neighborhood/E11_EDGE_RELIABILITY_ANCHORED_R10/E11_EDGE_RELIABILITY_ANCHORED_R10_summary.csv,A1,E11_EDGE_RELIABILITY_ANCHORED_R10,EDGE_RELIABILITY,0,10,0.2244891023939423,0.0122553101950084,0.3578693345620757,0.0077855095033751,-0.0059712054801854,-0.0181418602740217,0.0,PAIRWISE_ARI_MEDOID,4,0.6991442667518164,f40bfb8ae9ff161652e250cf960c3ad76c3bba3ac0db03d5672d3f3cd950939f,0.231283328213446,0.3596057196648855,0.3556477243761179,0.3814411964157159,0.489408313671867,0.5105465827656476,0.0008230203393183,-0.0164054751712119,160,12253,1.5582181122153995,1.5254820556640625,76.6806640625,1117.67578125,RNA+protein
stage_b_neighborhood/E11_EDGE_RELIABILITY_ANCHORED_R10/E11_EDGE_RELIABILITY_ANCHORED_R10_summary.csv,tonsil_s1,E11_EDGE_RELIABILITY_ANCHORED_R10,EDGE_RELIABILITY,0,10,0.1581144589355836,0.024970812223136,0.282974436164908,0.0076323436513164,0.0163077973273217,-0.0012486135526763,0.7,PAIRWISE_ARI_MEDOID,2,0.807209162739437,dcc746d9540649f3e0cacedc45cf3ecb143496762980e7e61286a3d2da86477b,0.1445867337297411,0.2877297530478613,0.2870846291847916,0.4532760312709671,0.6911939595721793,0.3074757405122461,0.0027800721214792,0.0035067033302769,160,12253,1.2670047637075186,1.2276322021484376,95.39794921875,1925.38671875,RNA+protein
stage_b_neighborhood/E11_EDGE_RELIABILITY_ANCHORED_R10/E11_EDGE_RELIABILITY_ANCHORED_R10_summary.csv,P22,E11_EDGE_RELIABILITY_ANCHORED_R10,EDGE_RELIABILITY,0,10,0.3037619404832739,0.0025927598786925,0.4511801243695303,0.0019667217786074,-0.11650865708981,-0.1259579248938261,0.0,PAIRWISE_ARI_MEDOID,7,0.9748098197471332,32b32fd6289b509c65318b5008e5461dff895a55005684255f7028400452fd71,0.3030672329245221,0.4501689331079872,0.4491994394414337,0.4122721085927645,0.6013872727423887,0.4019463398026972,-0.1172033646485619,-0.1269691161553692,160,14833,1.321910673752427,1.2471937255859376,182.4052734375,2521.53125,RNA+ATAC
stage_b_neighborhood/E11_EDGE_RELIABILITY_ANCHORED_R10/E11_EDGE_RELIABILITY_ANCHORED_R10_summary.csv,MISAR_E15_5_S1,E11_EDGE_RELIABILITY_ANCHORED_R10,EDGE_RELIABILITY,0,10,0.1519492445351117,0.0218663474018608,0.3068100709928033,0.0163249781884628,-0.0501974394271096,-0.0493776795233669,0.0,PAIRWISE_ARI_MEDOID,1,0.7485644920160462,594996cd02392dfad106d72ed315b3f38079f5270b1f960b3313f128fd0638ae,0.153242685052997,0.3234948589539396,0.3195472214970538,0.3448487127849144,0.6829641401264988,0.3246300601249446,-0.0489039989092243,-0.0326928915622305,160,14833,1.1926716603338718,1.173601806640625,51.2646484375,2521.53125,RNA+ATAC
stage_b_neighborhood/E12_EDGE_RELIABILITY_ANCHORED_R05/E12_EDGE_RELIABILITY_ANCHORED_R05_summary.csv,A1,E12_EDGE_RELIABILITY_ANCHORED_R05,EDGE_RELIABILITY,0,10,0.2237174921299113,0.0030702393198227,0.3555190099664266,0.0069485679398041,-0.0067428157442163,-0.0204921848696708,0.0,PAIRWISE_ARI_MEDOID,8,0.8285169610265655,4685d2ec3ad57e7c216610a0f3696c4a5fff9af21d91a411d3ca33524d59d68a,0.2232078845220193,0.3577425143251694,0.3537674809026883,0.3754312186630982,0.487446884055166,0.5120414977106371,-0.0072524233521083,-0.0182686805109281,160,12253,1.5725757516920569,1.5418939208984377,76.6806640625,1114.57421875,RNA+protein
stage_b_neighborhood/E12_EDGE_RELIABILITY_ANCHORED_R05/E12_EDGE_RELIABILITY_ANCHORED_R05_summary.csv,tonsil_s1,E12_EDGE_RELIABILITY_ANCHORED_R05,EDGE_RELIABILITY,0,10,0.1528499160616996,0.0207823246340777,0.2759731395362186,0.0075486959161635,0.0110432544534376,-0.0082499101813657,0.1,PAIRWISE_ARI_MEDOID,2,0.8837331361153634,49ca28269d89f70e745c115e68fbd9dd1c323ee7589ac4fde2f384a07c84fdb6,0.1434825090946689,0.2705030676430601,0.2698287387641344,0.4671004204386806,0.6440765360062262,0.3552011761600727,0.001675847486407,-0.0137199820745242,160,12253,1.3388424161821604,1.2993748779296874,95.39794921875,1921.890625,RNA+protein
