dataset,discrepancy,gate,b10_beta,embedding_shape,embedding_sha256
A1,0.6047326922416687,0.09879432618618011,0.06915602833032608,"[3484, 60]",87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b
D1,0.6336367726325989,0.25835612416267395,0.18084928393363953,"[3359, 60]",1a40c12c03e210c9ec419d504ee5c308f2f87c673c72026f39ae4d33c0878b9f
tonsil_s1,0.4177672564983368,6.193823355715722e-05,4.335676203481853e-05,"[4326, 60]",0374ab13fee4b236db2d1bbf0d245aada26e52bb76a56d35f5e48f521c65096f
tonsil_s2,0.44705328345298767,0.00019982476078439504,0.000139877331093885,"[4519, 60]",e80f34da4f4137a4079a1b79078fae48d5dba1abde6f1886ec373770dbf5409d
tonsil_s3,0.26889392733573914,1.60616821176518e-07,1.1243177056030618e-07,"[4521, 60]",ffe437b3acc298e073eeac1129f9b28f662632d1f6c059f179a33e1eb77d6dd1
P22,0.7251256704330444,0.9311843514442444,0.6518290638923645,"[9196, 64]",d5a96f3bb06d0aa0877f4064ebd22ca27902b6bd4cd708cc5e621da7c1d37875
MISAR_E15_5_S1,0.5877732038497925,0.05269637703895569,0.03688746318221092,"[1949, 64]",7205a9cecfbd6267d8f2bcfa2c5d75fc666df3a3e79da3a839d7ca72ba6ba5aa
