dataset,method,ari,nmi,semantic_lane
A1,C00_H05_NATIVE,0.2692,0.4087,NATIVE_FULL_PIPELINE_CONTEXT
D1,C00_H05_NATIVE,0.2412,0.3777,NATIVE_FULL_PIPELINE_CONTEXT
P22,F00_NATIVE,0.4677,0.6334,NATIVE_FULL_PIPELINE_CONTEXT
P22,N02_NATIVE,0.5063,0.6562,NATIVE_FULL_PIPELINE_CONTEXT
