dataset,variant,deterministic_embedding_sha256,endpoint_seed_count,n_init,ari_mean,ari_sd,nmi_mean,nmi_sd,ami_mean,fmi_mean,inertia_mean,centroid_margin_mean,partition_change_rate_mean,consensus_method,consensus_medoid_endpoint_seed,consensus_mean_pairwise_ari,consensus_partition_sha256,consensus_absolute_ari,consensus_absolute_nmi,consensus_ami,consensus_fmi,consensus_homogeneity,consensus_v_measure,consensus_morans_i,consensus_gearys_c,identity_ari_mean,identity_nmi_mean,identity_consensus_ari,identity_consensus_nmi,delta_ari_mean,delta_nmi_mean,consensus_delta_ari,consensus_delta_nmi,paired_endpoint_win_both_rate,semantic_lane
A1,IDENTITY,87306a84a580d347f7b8d6f0c66ebf1fff2cdfb826086c53ff3f1ac94b3b782b,30,20,0.2276476736809398,0.01669981348738757,0.35171178460216695,0.010650290924932729,0.34774316241704206,0.38114976442576415,177624.86875,0.0919530835106043,0.23068312284730197,PAIRWISE_ARI_MEDOID,5,0.7817631428037645,8debbcf63b2b90695ce071294495e80e78ac0199d2e0182d59021af7940d4983,0.21979411747522903,0.35448589767422695,0.3504763648429606,0.37408298592990813,0.38387882448666955,0.35448589767422695,0.484304839390565,0.5300230562482217,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
A1,B10_MIXTURE,bcc2990e91751c5c942e28fe4233c163e1033f28eb4018294f21536c8dcafef3,30,20,0.22763123673856736,0.015149109422004186,0.3584656026506198,0.009964076001576202,0.35443218146350985,0.381355229055498,157472.94114583332,0.09895096913440991,0.2302334481438959,PAIRWISE_ARI_MEDOID,16,0.8172245110006973,72020330c1c9f0f2d83696b61e9da0d1e20e0a1a4c82fd199bab3be9738a372f,0.21948662408656236,0.34862052581045044,0.3445784925751494,0.37343523058161093,0.37789027911846657,0.3486205258104505,0.495286281120846,0.4902659099180598,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,-1.6436942372438645e-05,0.00675381804845282,-0.0003074933886666742,-0.005865371863776503,0.5,COMMON_HEAD_ROBUSTNESS
A1,P4_ONLY,5555264ad0fe4288466c0a64cda9694d6d3b95ee3d7be9e715694f65718f711a,10,20,0.20431328941529753,0.0022895522480137396,0.36144680413678854,0.002032751282057806,0.357257205355349,0.3581514053842422,57824.764453125,0.15986514056077064,0.036366245694603894,PAIRWISE_ARI_MEDOID,7,0.9391730655932216,ce93b8cd7ee287c37c7e972c91bf0b7850b7e07a023dc3c53abca70411b1681f,0.20405076539262035,0.3629609500371259,0.3587819073211988,0.35767159431486883,0.4005001460406538,0.362960950037126,0.7441625114239602,0.25851539460240663,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,-0.023334384265642272,0.00973501953462158,-0.015743352082608686,0.008475052362898972,0.0,COMMON_HEAD_ROBUSTNESS
A1,P18_ONLY,51ee13278537317713914997e89554be81ca9377a232a1b9138de953e9a77570,10,20,0.19617187265962682,0.0003789856409740352,0.3373186467585493,0.0014584118846789477,0.33301771940448177,0.3481170271577726,22071.421484375,0.26083827951199307,0.007433983926521226,PAIRWISE_ARI_MEDOID,2,0.9899220393194991,0616f87bad54862103768711f0b58e5b0b36291e87927324fca8c3cb60c1cea1,0.19646322948164607,0.336846878083232,0.3325419731729927,0.34838853954533494,0.37522298449363567,0.336846878083232,0.8770802031038472,0.12832180968723148,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,-0.03147580102131298,-0.014393137843617676,-0.02333088799358296,-0.017639019590994953,0.0,COMMON_HEAD_ROBUSTNESS
A1,FIXED_BETA_0.04,8436d2a81f57bf1de792beb39c94990805e809817d41a6deea4a4638b4e8ffa0,10,20,0.22145478154278192,0.005426815742480986,0.3478904696428898,0.005322322401565519,0.3438339173497672,0.37388024236438355,165619.571875,0.09475664952748099,0.09807692307692308,PAIRWISE_ARI_MEDOID,0,0.8098797228025951,17cfd6e089195a4c0f5839e2110a632d5a6b8c7ec65f581e1c7c0ab266adabeb,0.22685296292936846,0.3515120573791011,0.3474929215956846,0.3786843090513939,0.3814102940367045,0.3515120573791011,0.48893311491192293,0.5105929225754864,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,-0.006192892138157879,-0.003821314959277178,0.0070588454541394285,-0.0029738402951258736,0.3,COMMON_HEAD_ROBUSTNESS
A1,FIXED_BETA_0.16,872b9c9afc4576f87f3574496650c3e1dadbef1b2d533aec1e04d2b3389d8b52,10,20,0.2211173358446795,0.011834870098344087,0.3558315982680723,0.012537770628182347,0.3517715906903858,0.37560929160319934,133392.5078125,0.10707578484343697,0.09999999999999999,PAIRWISE_ARI_MEDOID,0,0.835862825072207,38fbaf6da89943b1f950fce847a2af1f0715fd09125749c5c8dcff4df3174f0b,0.2134451909098356,0.34871419645147833,0.34466779318814283,0.36904876654223956,0.3775948331031014,0.3487141964514784,0.5175675428401125,0.4969142230712914,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,-0.006530337836260308,0.004119813665905359,-0.006348926565393431,-0.005771701222748615,0.2,COMMON_HEAD_ROBUSTNESS
A1,FIXED_BETA_0.32,36d00452c83b7dcab128d930e620d28772b2e37b1d35113a24ac8f06634a50e0,10,20,0.2203641902040694,0.012932713855022043,0.36631260252688697,0.011353268495013533,0.36215909056948503,0.3709341213168202,98236.07578125,0.12277122241561814,0.13975315729047072,PAIRWISE_ARI_MEDOID,0,0.7700899394805547,af2d94a2c9238dd004cb6fc61289d30264b3365d2593e769e79bb51fae5b3b67,0.2115256969583199,0.3591851104616398,0.3549743843077384,0.36451872251184697,0.3957688324488572,0.3591851104616398,0.6187427552367647,0.3813117987571605,0.2276476736809398,0.35171178460216695,0.21979411747522903,0.35448589767422695,-0.0072834834768704115,0.014600817924720011,-0.008268420516909125,0.004699212787412865,0.4,COMMON_HEAD_ROBUSTNESS
D1,IDENTITY,1a40c12c03e210c9ec419d504ee5c308f2f87c673c72026f39ae4d33c0878b9f,30,20,0.23981370520581194,0.014832823259676652,0.35584866347085103,0.009036762432345581,0.35181581202954076,0.38901850406229604,172703.75677083334,0.08083086245777274,0.19386722238761536,PAIRWISE_ARI_MEDOID,28,0.7587468314598845,7d83e11891d3dcb50c452631480eafe04720a8ac9c6b91cedb8eb8a9a8ec4f26,0.23866357975501026,0.35794867816467446,0.35412310415206605,0.3886333496106695,0.3753705180210749,0.3579486781646745,0.4363545825005118,0.5659821023910274,0.23981370520581194,0.35584866347085103,0.23866357975501026,0.35794867816467446,0.0,0.0,0.0,0.0,0.0,COMMON_HEAD_ROBUSTNESS
D1,B10_MIXTURE,b2b1df401348b5fda80ef6e9156e0dcf9ff02d5b0ce021ab77aa884a72182f70,30,20,0.23831313881758778,0.01652165236853213,0.363039326350581,0.008748536918193417,0.35885675719651383,0.3859637124893513,123963.04401041666,0.09734096291682384,0.16853230128014296,PAIRWISE_ARI_MEDOID,28,0.7766367145455503,fe553d745d4b5779c360db49c83f17a28a5d5b0c6b56f3b24d3effacbd9a6918,0.2322882278678832,0.3634030850619621,0.35933476334061926,0.3833018846032948,0.38489077996371657,0.36340308506196217,0.5439246010075961,0.44467610079844927,0.23981370520581194,0.35584866347085103,0.23866357975501026,0.35794867816467446,-0.001500566388224156,0.00719066287972997,-0.006375351887127068,0.005454406897287656,0.4,COMMON_HEAD_ROBUSTNESS
D1,P4_ONLY,15f0741b15606fa04171cf3597989ab9f8f0fa75a5246b81a1c15b7f894b1d13,10,20,0.20100639272631646,0.013871530716798098,0.3421243327709704,0.008631930510381688,0.3376503628802475,0.3570680635976443,55580.41640625,0.14033111512772378,0.15129502828222682,PAIRWISE_ARI_MEDOID,9,0.8683643851950702,61b6b8d1c95a5be1a93258c2c12ac840bddbfd24905add11d8e95997da572fbd,0.20394333818369734,0.3431908874521099,0.33871601063986806,0.36013768452575035,0.36551883151339254,0.3431908874521099,0.7475534337710349,0.25833304986219846,0.23981370520581194,0.35584866347085103,0.23866357975501026,0.35794867816467446,-0.03880731247949548,-0.01372433069988066,-0.034720241571312926,-0.014757790712564556,0.1,COMMON_HEAD_ROBUSTNESS
D1,P18_ONLY,ced00bb099f47cf626fdcc762323c5587d1e548ccd9c6415e343370f11e1d0a2,10,20,0.17869912884035752,0.005311286094373009,0.32892099275692954,0.004196896390220467,0.32440045480432894,0.3350182240569578,20823.8076171875,0.2247229087415644,0.14635308127418875,PAIRWISE_ARI_MEDOID,4,0.7653479530181356,3f456a5d49c771eeb34c03ec76d76e58c23d5571fa814028b613c65fdf9635f0,0.1815413565086353,0.3348711015280532,0.33038795297648926,0.33751528077043214,0.3616061310456486,0.3348711015280532,0.8602537632730922,0.1446317287677412,0.23981370520581194,0.35584866347085103,0.23866357975501026,0.35794867816467446,-0.06111457636545442,-0.026927670713921492,-0.057122223246374976,-0.023077576636621244,0.0,COMMON_HEAD_ROBUSTNESS
