step,fraction_of_training,state_sha256,state_file_saved
0,0.0,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,False
1,0.000625,b705adb0195c793855ec550a8d6fe28908a0aef659cfe58de116112b71a1139a,False
5,0.003125,1333e73a5f43f399b562f7e7c6e806437a2fef7ffe28c46210ce05d1f68b8cc8,False
10,0.00625,32b104f4e6b78226ef0f77bc23eda3a78030764456f338992cba54b9fcdafbb8,False
20,0.0125,45bb0f76609656e5fd5d19bbbed04e9b101ac86d6c78a75145fc040a62fbbcea,False
40,0.025,076e398f33979a5ffb5f51978cb537764091cf73ac9dca8c8ebfb5c0c9dfec02,False
80,0.05,2dec16ea79a30712de5129f78ce25179a781102af7dcf8786bc44641011fbb4a,False
320,0.2,f73daf097cd6ea439c6c01ce3293dfc238fc8cd9024fe0e70013cc33aa56551e,False
800,0.5,486a737ab05609106da56a4ea61b1cb03405ea6b665fdf3f5b4908a8679911e4,False
1600,1.0,24dd767ed1cf0ccdb99665e12ea9afa1dc7a6e1c5ecaf4f442ca44f13aef1db6,True
