ari,candidate_id,dataset,gpu_peak_allocated_mib,nmi,q,run_manifest_sha256,runtime_seconds,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement,stage_evaluated
0.2422725360852272,C00_FULL_IGE,a1,794.16357421875,0.3784402540802451,0.3103563950827361,e909aeadc86e3e00cd579c3ab0bb6e64007622391e0b9a2a1b97e64a36e30ad2,6.253232836723328,0,0.5431955372763317,0.4673736833508636,0.5529563719862227,R1
0.2612917888533778,C00_FULL_IGE,a1,794.16357421875,0.3781720042492021,0.31973189655129,af6ed79ef0ebde2af07678fef838d860e22e8d415c97f4e0936be5635646b98b,5.0991609981283545,1,0.5295227282155452,0.4788501961955197,0.5766679423395842,R2
0.2456019244489634,C00_FULL_IGE,a1,794.0810546875,0.3646425650971038,0.3051222447730336,b90d9d97176522ad9b24fe19ae31c84ac703a084dc9c1b021c230a0f0f060da5,4.813912451267242,2,0.518486579157029,0.4923112812040124,0.586506569715525,R2
0.2497069974631136,C00_FULL_IGE,a1,794.16357421875,0.367636709818452,0.30867185364078276,6a3ff716ef460028c9280719db6fb8f5912ca33475f7803d6ec5f102f45c0c2b,5.297541558742523,3,0.5179337675649442,0.49059083213010013,0.5908916953693073,R3
0.23542060893812203,C00_FULL_IGE,a1,794.0810546875,0.3734507847867272,0.3044356968624246,36861551504e6872ec26170340bc1648fa787065a3fa243ef5f88d21df055eb6,4.833059462718666,4,0.522277005548345,0.4883071809623184,0.576125781349662,R3
0.2840032755568619,C01_DROP_CORR2,a1,794.0810546875,0.3928462691366114,0.3384247723467367,13957229302d3d4eb93bd20daf9c0cfb8a69274711a929218445f0c8952438ce,4.825244634412229,0,0.5113147233719365,0.4974629588964069,0.6086235489220564,R1
0.2444288380963727,C02_UNIFORM_ALL,a1,753.2529296875,0.376851125013796,0.3106399815550844,d520658c8cd6704a4be1170a9ec44fe276c0f114c6b7cb39b18c6b43d50044f3,4.072904275730252,0,0.5309460338232128,0.4754815762760936,0.5538971807628524,R1
0.2442963379746096,C03_SIMPLE_BASE,a1,705.62841796875,0.3837589108173148,0.3140276243959622,57cc19a721305cf1222373c355f166ca70689524bacd01a015c147ad712dec5f,3.711576904170215,0,0.5315198377811625,0.4772391994550822,0.5434047710167114,R1
0.2473939148656803,C03_SIMPLE_BASE,a1,705.62841796875,0.379707122208843,0.3135505185372617,f2f2e3db2d79ea537fad4bdee3fee58542fe4c6505542da3b0a9c0c40e80e19c,3.612425577826798,1,0.5298703814055764,0.4818322009047514,0.5637995917846664,R2
0.2356722937671479,C03_SIMPLE_BASE,a1,705.62841796875,0.361374341618813,0.2985233176929804,78899d87995ed1d6d4b9146389621694af8bd5ff44987052a0390b3571882995,3.5398886781185865,2,0.4717638343488846,0.5385361779129623,0.6212048730705447,R2
0.2729580921127103,C04_SHRINK25,a1,768.7822265625,0.4024043549480489,0.3376812235303796,879e9fbaa45fd33177486be4e4ba2a9b5b56894e7f165afceb9b46c8ef91566c,4.401787753216922,0,0.5283847009408186,0.4802678123721029,0.5855019772930221,R1
0.2622912490191753,C04_SHRINK25,a1,768.7822265625,0.3827997907127039,0.3225455198659396,b893c9e787aeeacb7d3324e9a7f485a0ec6400612dbff6adb65c48c5369d597e,4.367041144520044,1,0.5230389280917416,0.4842400098276302,0.5775609133818089,R2
0.2736397135976252,C04_SHRINK25,a1,768.7822265625,0.3845672252890987,0.329103469443362,a0620c69aa36229d54e8dfd9bf833986474d23f6a03ee2ccdfba24cad8c7147d,4.333725228905678,2,0.5107254620776323,0.4981459517239258,0.5835565760938896,R2
