advanced,candidate_id,complete,dataset_delta_q,dataset_metric_mean_cells_nonnegative,dev_macro_delta_ari,dev_macro_delta_nmi,dev_macro_delta_q,dev_macro_q,expected_rows,gpu_peak_ratio,observed_rows,paired_q_total,paired_q_wins,pareto_candidate,passes_numeric_gate,per_seed_paired_delta_q,resource_qualified,runtime_ratio,runtime_seconds_mean,spatial_protection_failed,worst_dataset_delta_q
True,C04_SHRINK25,True,"{'a1': 0.013413417225611379, 'placenta': 0.05183514562648104}",4,0.04002978821318776,0.025218774638904602,0.03262428142604621,0.5034663236838458,10,0.9680401513237136,10,10,8,False,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.027324828447643446}, {'dataset': 'a1', 'seed': 1, 'delta_q': 0.002813623314649627}, {'dataset': 'a1', 'seed': 2, 'delta_q': 0.023981224670328316}, {'dataset': 'a1', 'seed': 3, 'delta_q': -0.005562624019978701}, {'dataset': 'a1', 'seed': 4, 'delta_q': 0.01851003371541421}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.07754347943218198}, {'dataset': 'placenta', 'seed': 1, 'delta_q': 0.06118066433597069}, {'dataset': 'placenta', 'seed': 2, 'delta_q': 0.014054474333806466}, {'dataset': 'placenta', 'seed': 3, 'delta_q': -0.008526631261050022}, {'dataset': 'placenta', 'seed': 4, 'delta_q': 0.11492374129149607}]",True,0.842730729286388,4.021237077843398,False,0.013413417225611379
False,C09_RNA_ANCHOR10,True,"{'a1': 0.005086545209451199, 'placenta': 0.10884526414738038}",4,0.060776408916170976,0.05315540044066058,0.056965904678415794,0.5278079469362154,10,0.8868090998354081,10,10,9,False,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': -0.003602945623744802}, {'dataset': 'a1', 'seed': 1, 'delta_q': 0.005886963971962644}, {'dataset': 'a1', 'seed': 2, 'delta_q': 0.021030346387484133}, {'dataset': 'a1', 'seed': 3, 'delta_q': 0.0008773639611515671}, {'dataset': 'a1', 'seed': 4, 'delta_q': 0.0012409973504024507}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.1421265724787999}, {'dataset': 'placenta', 'seed': 1, 'delta_q': 0.10750073073008881}, {'dataset': 'placenta', 'seed': 2, 'delta_q': 0.07592892844783772}, {'dataset': 'placenta', 'seed': 3, 'delta_q': 0.10075335352139991}, {'dataset': 'placenta', 'seed': 4, 'delta_q': 0.11791673555877558}]",True,0.6454332368361195,3.0797975830733777,True,0.005086545209451199
False,C10_MNN_TRIPLET01,True,"{'a1': -0.002333122024025203, 'placenta': 0.13307520158559932}",3,0.06956927053864619,0.06117280902292793,0.06537103978078707,0.5362130820385866,10,0.8885177322101488,10,10,7,False,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.01104035846728535}, {'dataset': 'a1', 'seed': 1, 'delta_q': 0.00736751102344102}, {'dataset': 'a1', 'seed': 2, 'delta_q': -0.00707772110457483}, {'dataset': 'a1', 'seed': 3, 'delta_q': -0.0097747076062632}, {'dataset': 'a1', 'seed': 4, 'delta_q': -0.013221050900014353}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.06671935796529227}, {'dataset': 'placenta', 'seed': 1, 'delta_q': 0.17326311194614252}, {'dataset': 'placenta', 'seed': 2, 'delta_q': 0.08637060878739677}, {'dataset': 'placenta', 'seed': 3, 'delta_q': 0.15953798463340485}, {'dataset': 'placenta', 'seed': 4, 'delta_q': 0.17948494459576025}]",True,0.6921132484976432,3.302539423573762,True,-0.002333122024025203
