candidate_id,dataset,maximum,mean,median,metric,minimum,n,sd
C00_FULL_IGE,a1,0.2612917888533778,0.24685877115776078,0.2456019244489634,ari,0.235420608938122,5,0.009615991415881426
C00_FULL_IGE,a1,0.3784402540802451,0.37246846360634606,0.3734507847867272,nmi,0.3646425650971038,5,0.006199760970676145
C00_FULL_IGE,a1,0.31973189655129,0.3096636173820534,0.3086718536407827,q,0.3044356968624246,5,0.0061398086253615525
C00_FULL_IGE,a1,0.5908916953693073,0.5766296721520603,0.5766679423395842,spatial_neighbor_agreement,0.5529563719862227,5,0.014676843351162972
C00_FULL_IGE,a1,0.4923112812040124,0.48348663476856285,0.4883071809623184,spatial_cluster_moran_mean,0.4673736833508636,5,0.010400786466648023
C00_FULL_IGE,a1,0.5431955372763317,0.526283123552439,0.522277005548345,spatial_cluster_geary_mean,0.5179337675649442,5,0.010524633101913516
C00_FULL_IGE,a1,6.253232836723328,5.259381461516023,5.0991609981283545,runtime_seconds,4.813912451267242,5,0.5905633817932983
C00_FULL_IGE,a1,794.16357421875,794.13056640625,794.16357421875,gpu_peak_allocated_mib,794.0810546875,5,0.04519780870037748
C00_FULL_IGE,placenta,0.6426609825353381,0.6044049975444314,0.5947618367263439,ari,0.5650104380679436,5,0.0361033273846304
C00_FULL_IGE,placenta,0.6773647836673715,0.6596359367226602,0.6699530655277202,nmi,0.6267410924491954,5,0.021607793133076418
C00_FULL_IGE,placenta,0.6600128831013548,0.6320204671335459,0.632357451127032,q,0.5958757652585696,5,0.02804363779918648
C00_FULL_IGE,placenta,0.5030084235860409,0.47725631768953064,0.4741275571600481,spatial_neighbor_agreement,0.4548736462093863,5,0.017466483482415036
C00_FULL_IGE,placenta,0.4945690794538322,0.46940544708129384,0.4738020252144362,spatial_cluster_moran_mean,0.4322920896542972,5,0.023299397936959815
C00_FULL_IGE,placenta,0.6911743903731493,0.6740229517327335,0.6710271128159646,spatial_cluster_geary_mean,0.655562156101201,5,0.013965328409793058
C00_FULL_IGE,placenta,4.380328206345439,4.28396836090833,4.254565698094666,runtime_seconds,4.233694083057344,5,0.06058859579809377
C00_FULL_IGE,placenta,467.18701171875,467.18701171875,467.18701171875,gpu_peak_allocated_mib,467.18701171875,5,0.0
C04_SHRINK25,a1,0.2736397135976252,0.2622351455168253,0.2632699714101443,ari,0.2390167014444714,5,0.01401085217056128
C04_SHRINK25,a1,0.4024043549480489,0.38391892369850433,0.3827997907127039,nmi,0.3672017577971367,5,0.012495308046523728
C04_SHRINK25,a1,0.3376812235303796,0.3230770346076648,0.3229457305778388,q,0.303109229620804,5,0.012733943179367824
C04_SHRINK25,a1,0.5956276310753923,0.5875430539609644,0.5855019772930221,spatial_neighbor_agreement,0.5775609133818089,5,0.007871928174217054
C04_SHRINK25,a1,0.5396928568632529,0.5045959800637767,0.4981459517239258,spatial_cluster_moran_mean,0.4802678123721029,5,0.025183395063207124
C04_SHRINK25,a1,0.5283847009408186,0.5036413091900733,0.5107254620776323,spatial_cluster_geary_mean,0.4684962586083644,5,0.025161641886316293
C04_SHRINK25,a1,4.465753559023142,4.39437477812171,4.401787753216922,runtime_seconds,4.333725228905678,5,0.049142293993365935
C04_SHRINK25,a1,768.7822265625,768.7822265625,768.7822265625,gpu_peak_allocated_mib,768.7822265625,5,0.0
C04_SHRINK25,placenta,0.7429131506405641,0.6690881996117426,0.6755085555469608,ari,0.564700095961228,5,0.06835560120899262
C04_SHRINK25,placenta,0.7293095017442809,0.698623025908311,0.7087353538741109,nmi,0.6448234203577365,5,0.03203858469297356
C04_SHRINK25,placenta,0.7361113261924225,0.6838556127600268,0.6935381154630027,q,0.6047617581594823,5,0.0497544762693959
C04_SHRINK25,placenta,0.5192539109506619,0.48844765342960283,0.4957882069795427,spatial_neighbor_agreement,0.457280385078219,5,0.024072652853897737
C04_SHRINK25,placenta,0.5163260131692406,0.4883387899018114,0.4894146831038003,spatial_cluster_moran_mean,0.4544822726015466,5,0.02207309112371829
C04_SHRINK25,placenta,0.6867325703276848,0.6696986501177035,0.6659445373540724,spatial_cluster_geary_mean,0.6624722270099086,5,0.00970632847459965
C04_SHRINK25,placenta,4.006387901492417,3.648099377565086,3.588176622055471,runtime_seconds,3.4888046784326434,5,0.20485198951886802
C04_SHRINK25,placenta,464.95068359375,464.95068359375,464.95068359375,gpu_peak_allocated_mib,464.95068359375,5,0.0
C09_RNA_ANCHOR10,a1,0.2703721090031173,0.25037554303799936,0.2475984261243209,ari,0.2333195709324048,5,0.014516536973036466
C09_RNA_ANCHOR10,a1,0.3924461283225644,0.3791247821450099,0.3801873279855779,nmi,0.3695573720194411,5,0.009167146063088863
C09_RNA_ANCHOR10,a1,0.3261525911605178,0.3147501625915046,0.3095492176019343,q,0.305676694212827,5,0.010264855699547625
C09_RNA_ANCHOR10,a1,0.6270889144023473,0.5763681592039801,0.5690936343921419,spatial_neighbor_agreement,0.5434207169281796,5,0.030948897413661317
C09_RNA_ANCHOR10,a1,0.5259703894321817,0.48571006726964294,0.4828323657598893,spatial_cluster_moran_mean,0.4483645340491529,5,0.028381321240276244
C09_RNA_ANCHOR10,a1,0.5566657043653214,0.522995110633304,0.5272435055856065,spatial_cluster_geary_mean,0.4845499742134349,5,0.026470770474745605
C09_RNA_ANCHOR10,a1,3.677764057181776,3.640722349844873,3.648996262811124,runtime_seconds,3.591742199845612,5,0.038354486335356555
C09_RNA_ANCHOR10,a1,704.271484375,704.271484375,704.271484375,gpu_peak_allocated_mib,704.271484375,5,0.0
C09_RNA_ANCHOR10,placenta,0.8053709246918727,0.7224410434965349,0.7169538490722489,ari,0.6833881827677799,5,0.04942700217407201
C09_RNA_ANCHOR10,placenta,0.796017913786208,0.7592904190653175,0.7549297740261359,nmi,0.7421957017447752,5,0.021725573033769
C09_RNA_ANCHOR10,placenta,0.8006944192390404,0.7408657312809263,0.7359418115491925,q,0.7137925008173451,5,0.035557060488389726
C09_RNA_ANCHOR10,placenta,0.4380264741275572,0.41564380264741274,0.4163658243080625,spatial_neighbor_agreement,0.3989169675090253,5,0.014978203563241355
C09_RNA_ANCHOR10,placenta,0.4229563402064385,0.3687850933331173,0.349683204659113,spatial_cluster_moran_mean,0.3304206405890231,5,0.04206564434406051
C09_RNA_ANCHOR10,placenta,0.7748027018788132,0.7329915182464761,0.7530103288092664,spatial_cluster_geary_mean,0.6840223908951282,5,0.040528218539041254
C09_RNA_ANCHOR10,placenta,2.621483870781958,2.518872816301882,2.4899149369448423,runtime_seconds,2.4488739604130387,5,0.06840225521098169
C09_RNA_ANCHOR10,placenta,404.5634765625,404.5634765625,404.5634765625,gpu_peak_allocated_mib,404.5634765625,5,0.0
C10_MNN_TRIPLET01,a1,0.2630080598746878,0.24153397342653538,0.2349702465834574,ari,0.2122807965900834,5,0.02157919623902652
C10_MNN_TRIPLET01,a1,0.3911907552747742,0.373127017289521,0.3701484953347371,nmi,0.3615226430573416,5,0.012475219538771997
C10_MNN_TRIPLET01,a1,0.327099407574731,0.30733049535802814,0.2988971460345195,q,0.2912146459624102,5,0.015856708064172477
C10_MNN_TRIPLET01,a1,0.5845133307819875,0.5685833652251563,0.5699866054343666,spatial_neighbor_agreement,0.5484596249521623,5,0.012902405439750544
C10_MNN_TRIPLET01,a1,0.4930461916166363,0.4854358382979728,0.4830347366054704,spatial_cluster_moran_mean,0.4784819655417117,5,0.006611408607836996
C10_MNN_TRIPLET01,a1,0.5302143476807043,0.5222784803518806,0.5227523403881482,spatial_cluster_geary_mean,0.515355402965836,5,0.006592850420434564
C10_MNN_TRIPLET01,a1,3.9629474729299545,3.8249619644135238,3.823243369348347,runtime_seconds,3.742927199229598,5,0.08606886850824094
C10_MNN_TRIPLET01,a1,705.62841796875,705.62841796875,705.62841796875,gpu_peak_allocated_mib,705.62841796875,5,0.0
C10_MNN_TRIPLET01,placenta,0.8104818331852234,0.7488683363529492,0.7524592624247634,ari,0.695687106468006,5,0.04188678789029107
C10_MNN_TRIPLET01,placenta,0.8007592929611256,0.7813230010853409,0.7931934856831111,nmi,0.7548873029830596,5,0.021082325194354375
C10_MNN_TRIPLET01,placenta,0.8056205630731745,0.7650956687191452,0.7728263740539372,q,0.7252872047255328,5,0.030587012375141803
C10_MNN_TRIPLET01,placenta,0.4326113116726835,0.4126353790613718,0.4109506618531889,spatial_neighbor_agreement,0.3971119133574007,5,0.012928523162072198
C10_MNN_TRIPLET01,placenta,0.4113344602006242,0.37061749069101385,0.3559311768455964,spatial_cluster_moran_mean,0.3490445795314028,5,0.027219560829444583
C10_MNN_TRIPLET01,placenta,0.7605330525935378,0.7316946308699321,0.7469580682290953,spatial_cluster_geary_mean,0.6931657161065012,5,0.03133542134079915
C10_MNN_TRIPLET01,placenta,2.854643793776632,2.7801168827340006,2.775638041086495,runtime_seconds,2.693452739156782,5,0.06445447191877775
C10_MNN_TRIPLET01,placenta,404.64013671875,404.64013671875,404.64013671875,gpu_peak_allocated_mib,404.64013671875,5,0.0
