advanced,candidate_id,complete,dataset_delta_q,dataset_metric_mean_cells_nonnegative,dev_macro_delta_ari,dev_macro_delta_nmi,dev_macro_delta_q,dev_macro_q,expected_rows,gpu_peak_ratio,observed_rows,paired_q_total,paired_q_wins,passes_numeric_gate,per_seed_paired_delta_q,runtime_ratio,runtime_seconds_mean,spatial_protection_failed,worst_dataset_delta_q
False,C01_DROP_CORR2,True,"{'a1': 0.028068377264000577, 'placenta': -0.08332346699824089}",2,-0.03193949027955868,-0.02331559945468173,-0.027627544867120157,0.45683457605436817,2,0.9998960925256095,2,2,1,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.028068377264000577}, {'dataset': 'placenta', 'seed': 0, 'delta_q': -0.08332346699824089}]",0.871514274684568,4.633650119882077,False,-0.08332346699824089
False,C02_UNIFORM_ALL,True,"{'a1': 0.00028358647234821843, 'placenta': 0.10245466816478155}",3,0.050644156366650275,0.05209409827047942,0.05136912731856488,0.5358312482400532,2,0.94848587135025,2,2,2,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.00028358647234821843}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.10245466816478155}]",0.6762115855805391,3.5952685866504908,True,0.00028358647234821843
True,C03_SIMPLE_BASE,True,"{'a1': 0.0036712293132260543, 'placenta': 0.13942260288629926}",4,0.08107085930935622,0.06202297289016906,0.07154691609976266,0.5560090370212509,2,0.8885177322101488,2,2,2,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.0036712293132260543}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.13942260288629926}]",0.6221718394310864,3.3079511169344187,False,0.0036712293132260543
True,C04_SHRINK25,True,"{'a1': 0.0273248284476435, 'placenta': 0.07754347943218198}",4,0.06590440605207569,0.0389639018277497,0.05243415393991274,0.536896274861401,2,0.9680401513237136,2,2,2,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.0273248284476435}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.07754347943218198}]",0.790720589335405,4.20408782735467,False,0.0273248284476435
False,C05_SHRINK50,True,"{'a1': 0.019130638925261123, 'placenta': -0.016878231545015554}",2,0.0011951247943342153,0.0010572825859113122,0.0011262036901227845,0.4855883246116111,2,0.9680401513237136,2,2,1,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.019130638925261123}, {'dataset': 'placenta', 'seed': 0, 'delta_q': -0.016878231545015554}]",0.7752395145199494,4.121778350323439,False,-0.016878231545015554
False,C06_RELIABILITY25,True,"{'a1': 0.001204828751684206, 'placenta': 0.08308745421926145}",3,0.04197207036218693,0.042320212608758595,0.04214614148547283,0.5266082624069611,2,0.8884839161681874,2,2,2,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.001204828751684206}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.08308745421926145}]",0.6160627169542283,3.275470253545791,False,0.001204828751684206
False,C07_RELIABILITY50,True,"{'a1': 0.0010567233743592475, 'placenta': 0.08471371502222702}",3,0.04271405977752585,0.04305637861906031,0.042885219198293134,0.5273473401197815,2,0.8884839161681874,2,2,2,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.0010567233743592475}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.08471371502222702}]",0.6336324736065061,3.368884793482721,False,0.0010567233743592475
False,C08_RNA_ANCHOR05,True,"{'a1': 0.020976931870676174, 'placenta': 0.08281797365050225}",4,0.054106862506221196,0.04968804301495716,0.05189745276058921,0.5363595736820775,2,0.8868090998354081,2,2,2,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.020976931870676174}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.08281797365050225}]",0.6477949948590475,3.4441838106140494,False,0.020976931870676174
True,C09_RNA_ANCHOR10,True,"{'a1': -0.003602945623744802, 'placenta': 0.1421265724787999}",3,0.07731403248757722,0.06120959436747775,0.06926181342752755,0.5537239343490159,2,0.8868090998354081,2,2,1,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': -0.003602945623744802}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.1421265724787999}]",0.586079965341669,3.116058543790132,False,-0.003602945623744802
True,C10_MNN_TRIPLET01,True,"{'a1': 0.01104035846728535, 'placenta': 0.06671935796529227}",4,0.03723451781187766,0.04052519862069995,0.03887985821628881,0.5233419791377771,2,0.8885177322101488,2,2,2,True,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.01104035846728535}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.06671935796529227}]",0.633709204914833,3.3692927570082247,False,0.01104035846728535
False,C11_MNN_TRIPLET03,True,"{'a1': 0.009117474025370387, 'placenta': 0.08373407338100436}",3,0.043574613615523325,0.049276933790851296,0.04642577370318737,0.5308878946246757,2,0.8885177322101488,2,2,2,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': 0.009117474025370387}, {'dataset': 'placenta', 'seed': 0, 'delta_q': 0.08373407338100436}]",0.676797251559761,3.5983824441209435,True,0.009117474025370387
False,C12_NEIGHBOR_CONTRAST,True,"{'a1': -0.023800284069536937, 'placenta': -0.025737644328976517}",1,-0.04340846420303658,-0.006129464195476969,-0.024768964199256727,0.4596931567222316,2,0.8885177322101488,2,2,0,False,"[{'dataset': 'a1', 'seed': 0, 'delta_q': -0.023800284069536937}, {'dataset': 'placenta', 'seed': 0, 'delta_q': -0.025737644328976517}]",0.6339083826961169,3.370351741556078,False,-0.025737644328976517
