dataset,ige_weight,loss,repeat_ige_weight,seed,weight_sum
a1,3.7211942919288203,L_rna_recon_raw,3.721194290674123,0,4.0
a1,0.05920223063044581,L_mod2_recon_raw,0.0592022307572618,0,4.0
a1,0.04738548093189968,L_corr1_raw,0.04738548099849223,0,4.0
a1,0.17221799650883382,L_corr2_raw,0.17221799757012266,0,4.0
a1,3.8367308691151,L_rna_recon_raw,3.836730868966692,1,3.9999999999999996
a1,0.034431808994671645,L_mod2_recon_raw,0.034431808979929326,1,3.9999999999999996
a1,0.03916534306821984,L_corr1_raw,0.039165343155815414,1,3.9999999999999996
a1,0.08967197882200807,L_corr2_raw,0.08967197889756305,1,3.9999999999999996
a1,3.772160612314619,L_rna_recon_raw,3.772160611513014,2,4.000000000000001
a1,0.04016265189291161,L_mod2_recon_raw,0.04016265184992208,2,4.000000000000001
a1,0.04139336642105933,L_corr1_raw,0.041393366536240865,2,4.000000000000001
a1,0.14628336937141084,L_corr2_raw,0.14628337010082287,2,4.000000000000001
a1,3.7963343116268162,L_rna_recon_raw,3.7963343113826085,3,4.0
a1,0.03877648548793,L_mod2_recon_raw,0.03877648563608243,3,4.0
a1,0.04104861720757886,L_corr1_raw,0.04104861731949055,3,4.0
a1,0.12384058567767524,L_corr2_raw,0.12384058566181835,3,4.0
a1,3.74638091180987,L_rna_recon_raw,3.746380913715247,4,4.0
a1,0.061962350173270106,L_mod2_recon_raw,0.06196234985361215,4,4.0
a1,0.06468119027167231,L_corr1_raw,0.06468118959656828,4,4.0
a1,0.12697554774518752,L_corr2_raw,0.12697554683457274,4,4.0
placenta,2.9003499065136316,L_rna_recon_raw,2.900349906535278,0,3.9999999999999996
placenta,0.13635672647499203,L_mod2_recon_raw,0.13635672650671968,0,3.9999999999999996
placenta,0.049264034391634494,L_corr1_raw,0.04926403433985087,0,3.9999999999999996
placenta,0.9140293326197418,L_corr2_raw,0.9140293326181517,0,3.9999999999999996
placenta,2.8309771750640427,L_rna_recon_raw,2.8309771781444346,1,4.0
placenta,0.10961444111485652,L_mod2_recon_raw,0.10961444117736191,1,4.0
placenta,0.04153772871197449,L_corr1_raw,0.04153772869776369,1,4.0
placenta,1.0178706551091263,L_corr2_raw,1.0178706519804397,1,4.0
placenta,2.9642658194549587,L_rna_recon_raw,2.964265818742395,2,3.9999999999999996
placenta,0.12566443240204614,L_mod2_recon_raw,0.12566443247471662,2,3.9999999999999996
placenta,0.042348651283231176,L_corr1_raw,0.04234865134295248,2,3.9999999999999996
placenta,0.8677210968597638,L_corr2_raw,0.8677210974399352,2,3.9999999999999996
placenta,2.847529037188281,L_rna_recon_raw,2.8475290382314307,3,4.0
placenta,0.12610852755492744,L_mod2_recon_raw,0.12610852767906525,3,4.0
placenta,0.04798359705288965,L_corr1_raw,0.0479835969097761,3,4.0
placenta,0.9783788382039014,L_corr2_raw,0.9783788371797281,3,4.0
placenta,2.9615256573554607,L_rna_recon_raw,2.961525654874267,4,3.9999999999999996
placenta,0.13264862409446485,L_mod2_recon_raw,0.13264862451168496,4,3.9999999999999996
placenta,0.046079384314135975,L_corr1_raw,0.04607938441947464,4,3.9999999999999996
placenta,0.8597463342359384,L_corr2_raw,0.8597463361945735,4,3.9999999999999996
p22,3.5535748058145256,L_rna_recon_raw,3.5535748060828003,0,3.9999999999999996
p22,0.11577199189565943,L_mod2_recon_raw,0.11577199167072506,0,3.9999999999999996
p22,0.11779048600590797,L_corr1_raw,0.11779048597693469,0,3.9999999999999996
p22,0.21286271628390693,L_corr2_raw,0.2128627162695394,0,3.9999999999999996
p22,3.4950132324788266,L_rna_recon_raw,3.4950132326522243,1,4.000000000000001
p22,0.1203944880893658,L_mod2_recon_raw,0.12039448731260846,1,4.000000000000001
p22,0.17361769297828655,L_corr1_raw,0.17361769314422149,1,4.000000000000001
p22,0.21097458645352155,L_corr2_raw,0.21097458689094556,1,4.000000000000001
p22,3.4999118830081946,L_rna_recon_raw,3.49991188270396,2,3.9999999999999996
p22,0.13287112695212777,L_mod2_recon_raw,0.1328711268655152,2,3.9999999999999996
p22,0.15253427354749685,L_corr1_raw,0.15253427364199573,2,3.9999999999999996
p22,0.2146827164921804,L_corr2_raw,0.214682716788529,2,3.9999999999999996
p22,3.5750496803934584,L_rna_recon_raw,3.575049678123499,3,4.0
p22,0.11099195250824628,L_mod2_recon_raw,0.11099195271091085,3,4.0
p22,0.12560220201280095,L_corr1_raw,0.12560220257905388,3,4.0
p22,0.1883561650854944,L_corr2_raw,0.18835616658653617,3,4.0
p22,3.59199477229592,L_rna_recon_raw,3.5919947717630314,4,3.9999999999999996
p22,0.11578006511954257,L_mod2_recon_raw,0.11578006521390727,4,3.9999999999999996
p22,0.13005428554499548,L_corr1_raw,0.13005428581582792,4,3.9999999999999996
p22,0.1621708770395416,L_corr2_raw,0.16217087720723372,4,3.9999999999999996
