dataset,loss,raw_initial_loss,repeat_max_abs_difference_all_losses,repeat_rms_gradient,rms_gradient,seed
a1,L_rna_recon_raw,1.002515435218811,2.4115741955460512e-12,2.5950559324353774e-05,2.5950559267292613e-05,0
a1,L_mod2_recon_raw,1.100356936454773,2.4115741955460512e-12,0.0016311391585144357,0.0016311391589718333,0
a1,L_corr1_raw,0.15284128487110138,2.4115741955460512e-12,0.0020379043292705398,0.0020379043283405853,0
a1,L_corr2_raw,0.21836510300636292,2.4115741955460512e-12,0.0005607258132660735,0.0005607258156776477,0
a1,L_rna_recon_raw,1.0018212795257568,4.1654015306424874e-12,1.6437212432418782e-05,1.6437212437540597e-05,1
a1,L_mod2_recon_raw,1.1145421266555786,4.1654015306424874e-12,0.0018315960157157193,0.0018315960155730743,1
a1,L_corr1_raw,0.12660032510757446,4.1654015306424874e-12,0.001610228815968528,0.0016102288201339295,1
a1,L_corr2_raw,0.24371123313903809,4.1654015306424874e-12,0.0007032873018038971,0.0007032873026428135,1
a1,L_rna_recon_raw,1.0022298097610474,1.4239246500652447e-11,2.1499905481079377e-05,2.1499905347916738e-05,2
a1,L_mod2_recon_raw,1.1560248136520386,1.4239246500652447e-11,0.002019316369895921,0.0020193163556566744,2
a1,L_corr1_raw,0.13728441298007965,1.4239246500652447e-11,0.001959277708585063,0.001959277702318266,2
a1,L_corr2_raw,0.1959286630153656,1.4239246500652447e-11,0.0005544109366427662,0.0005544109360912173,2
a1,L_rna_recon_raw,1.0018905401229858,3.2711656734046857e-12,1.8015591099684983e-05,1.801559106310664e-05,3
a1,L_mod2_recon_raw,1.1016229391098022,3.2711656734046857e-12,0.001763780530061486,0.0017637805333326516,3
a1,L_corr1_raw,0.13630402088165283,3.2711656734046857e-12,0.0016661513798269822,0.0016661513810937178,3
a1,L_corr2_raw,0.2118832767009735,3.2711656734046857e-12,0.0005522681432630972,0.0005522681421065998,3
a1,L_rna_recon_raw,1.001953125,4.840507335235333e-12,2.1129757528909972e-05,2.112975767662505e-05,4
a1,L_mod2_recon_raw,1.0681073665618896,4.840507335235333e-12,0.001277552000354667,0.001277552002045325,4
a1,L_corr1_raw,0.12141207605600357,4.840507335235333e-12,0.0012238507747488767,0.0012238507699083693,4
a1,L_corr2_raw,0.20882032811641693,4.840507335235333e-12,0.0006234281002174121,0.0006234280997876756,4
placenta,L_rna_recon_raw,1.0120432376861572,5.6889016067374065e-12,4.6800281797306436e-05,4.680028175022048e-05,0
placenta,L_mod2_recon_raw,1.198061466217041,5.6889016067374065e-12,0.0009954565438614167,0.0009954565430840782,0
placenta,L_corr1_raw,0.8295368552207947,5.6889016067374065e-12,0.0027553000400116884,0.002755300034322787,0
placenta,L_corr2_raw,0.190260648727417,5.6889016067374065e-12,0.0001485042001159377,0.0001485041999651603,0
placenta,L_rna_recon_raw,1.0124413967132568,5.875729590376633e-12,5.1173059729011504e-05,5.1173059888412324e-05,1
placenta,L_mod2_recon_raw,1.2198995351791382,5.875729590376633e-12,0.0013216303015732157,0.0013216303050055738,1
placenta,L_corr1_raw,0.8953292965888977,5.875729590376633e-12,0.0034876670333178943,0.003487667039193624,1
placenta,L_corr2_raw,0.18453539907932281,5.875729590376633e-12,0.00014232630222699855,0.00014232630207799396,1
placenta,L_rna_recon_raw,1.0117195844650269,5.076823943878095e-12,4.430868292390145e-05,4.4308682923294395e-05,2
placenta,L_mod2_recon_raw,1.2084038257598877,5.076823943878095e-12,0.001045186092173242,0.0010451860930145896,2
placenta,L_corr1_raw,0.8300321698188782,5.076823943878095e-12,0.0031014616291574226,0.0031014616342342465,2
placenta,L_corr2_raw,0.18961496651172638,5.076823943878095e-12,0.0001513651295892945,0.00015136512972481155,2
placenta,L_rna_recon_raw,1.0116393566131592,4.096650536161706e-12,4.87146985186437e-05,4.871469861275121e-05,3
placenta,L_mod2_recon_raw,1.2158401012420654,4.096650536161706e-12,0.001099977328218192,0.001099977331022966,3
placenta,L_corr1_raw,0.8432589769363403,4.096650536161706e-12,0.0028909154451447795,0.002890915441048129,3
placenta,L_corr2_raw,0.18707652390003204,4.096650536161706e-12,0.00014178201246619522,0.000141782012539733,3
placenta,L_rna_recon_raw,1.0118244886398315,1.2282147954928435e-12,4.434930702850133e-05,4.434930690686558e-05,4
placenta,L_mod2_recon_raw,1.2214598655700684,1.2282147954928435e-12,0.0009901468172262091,0.000990146818454424,4
placenta,L_corr1_raw,0.8166120648384094,1.2282147954928435e-12,0.0028503335083777596,0.0028503335094641922,4
placenta,L_corr2_raw,0.19170412421226501,1.2282147954928435e-12,0.0001527678654891727,0.00015276786554619924,4
p22,L_rna_recon_raw,1.0025317668914795,5.044118605874309e-13,6.766037765792474e-06,6.766037763015821e-06,0
p22,L_mod2_recon_raw,1.042122721672058,5.044118605874309e-13,0.00020768084259716122,0.00020768084209274936,0
p22,L_corr1_raw,0.08953796327114105,5.044118605874309e-13,0.0002041219592388587,0.00020412195908947234,0
p22,L_corr2_raw,0.1078769788146019,5.044118605874309e-13,0.00011295366846578959,0.00011295366840328418,0
p22,L_rna_recon_raw,1.0024003982543945,1.5291216101491478e-12,7.345099488840705e-06,7.345099483919576e-06,1
p22,L_mod2_recon_raw,1.0315263271331787,1.5291216101491478e-12,0.0002132259030814914,0.00021322590155236978,1
p22,L_corr1_raw,0.08328870683908463,1.5291216101491478e-12,0.0001478606400369357,0.00014786064007185274,1
p22,L_corr2_raw,0.11229388415813446,1.5291216101491478e-12,0.00012167922009466314,0.00012167922025938622,1
p22,L_rna_recon_raw,1.0025235414505005,4.743027802109334e-13,7.298586584569072e-06,7.298586570685754e-06,2
p22,L_mod2_recon_raw,1.0299746990203857,4.743027802109334e-13,0.00019224954197289535,0.00019224954149859257,2
p22,L_corr1_raw,0.08355812728404999,4.743027802109334e-13,0.00016746671191819102,0.00016746671171794425,2
p22,L_corr2_raw,0.11075493693351746,4.743027802109334e-13,0.00011898681729777267,0.00011898681724602964,2
p22,L_rna_recon_raw,1.002366065979004,4.891235664107943e-13,6.247919773524019e-06,6.247919745536325e-06,3
p22,L_mod2_recon_raw,1.0345910787582397,4.891235664107943e-13,0.00020124546414201845,0.00020124546373577687,3
p22,L_corr1_raw,0.08697664737701416,4.891235664107943e-13,0.00017783626852138455,0.0001778362686394194,3
p22,L_corr2_raw,0.11209534108638763,4.891235664107943e-13,0.00011858718175658943,0.000118587182245713,3
p22,L_rna_recon_raw,1.0024036169052124,1.5514030489958974e-13,5.802610187744503e-06,5.8026101771537264e-06,4
p22,L_mod2_recon_raw,1.030572533607483,1.5514030489958974e-13,0.00018002191391638852,0.00018002191376124822,4
p22,L_corr1_raw,0.08389008790254593,1.5514030489958974e-13,0.0001602634529738889,0.00016026345303889772,4
p22,L_corr2_raw,0.11399556696414948,1.5514030489958974e-13,0.00012852461086552806,0.0001285246107829158,4
