dataset,has_gradient,l2_norm,loss,loss_non_none_numel,loss_rms_gradient,loss_sq_sum,numel,parameter,repeat,rms,seed
a1,True,0.012973448261618614,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,192000,encoder1.weight,1,2.9607709239355735e-05,0
a1,True,0.006603478454053402,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,192000,decoder1.weight,1,1.5070308520282126e-05,0
a1,True,0.004587200004607439,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,1920,encoder2.weight,1,0.00010468803436153036,0
a1,False,0.0,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,1920,decoder2.weight,1,0.0,0
a1,True,7.89463592809625e-05,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,4096,attention1.w_omega,1,1.2335368194608852e-06,0
a1,True,4.607629671227187e-05,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,64,attention1.u_omega,1,5.759537115277879e-06,0
a1,True,0.0010674551595002413,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,4096,attention2.w_omega,1,1.6678985832469198e-05,0
a1,True,0.0005169697687961161,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,64,attention2.u_omega,1,6.462122466892782e-05,0
a1,True,0.0051041170954704285,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,4096,cross_attention.w_omega,1,7.975182826059028e-05,0
a1,True,0.0028052362613379955,L_rna_recon_raw,398400,2.5950559267292613e-05,0.0002682951200720502,64,cross_attention.u_omega,1,0.00035065451575112756,0
a1,True,0.6271206140518188,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,192000,encoder1.weight,1,0.0014312004418722353,0
a1,False,0.0,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,192000,decoder1.weight,1,0.0,0
a1,True,0.2786059081554413,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,1920,encoder2.weight,1,0.00635828095930272,0
a1,True,0.23003165423870087,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,1920,decoder2.weight,1,0.0052497300240093745,0
a1,True,0.004843414295464754,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,4096,attention1.w_omega,1,7.567834650696134e-05,0
a1,True,0.0027789543382823467,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,64,attention1.u_omega,1,0.00034736927972624644,0
a1,True,0.033253420144319534,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,4096,attention2.w_omega,1,0.0005195847084559352,0
a1,True,0.01692577265202999,L_mod2_recon_raw,208320,0.0016311391589718333,0.5542593076196167,64,attention2.u_omega,1,0.0021157215884168084,0
