fraction_of_training,state_file_saved,state_sha256,step
0.0,False,5f4d40bae0f229a31cb71b7278d630d355323a2154e08dd82150b4ca2338aaea,0
0.000625,False,c8181fea905ac7c557ed539773b60a1ab08300aed9dd4f9b236259a5f6f5c6f4,1
0.003125,False,5043bcbfbfc4cb97126dec1486ea62a46994ee8eb9f1dc78007bde268532af32,5
0.00625,False,2adde3e7f990222c05e5aca09bb85ad0147c93e0a1d51bc60e5176413153a4d1,10
0.0125,False,ccd83c12a4c319badba9d99f7ff0f0a79307622a497af00d37fa717ea259e556,20
0.025,False,5c9b8abde9a1fd87633eac06c900fbd9c11499bdcf43af6ec8c75b6054913a0c,40
0.05,False,3d7ca481dd92fb1b633ff3f5d3b34b65321a4b686e88f928c298a0da4341dc6e,80
0.2,False,fe0ea7a0fc0555e31cf6b3c6942cc1eb87ac20dde27db48f761f5ef5e2082fee,320
0.5,False,3a165da07366cf8dd9fe18bc01e4928d4bbc8d3d8fe872e39123a2408c92c2b8,800
1.0,False,48821ed94f0a1312a96b750e10b42f13e4b9c86cf6663156d37a6f5c6fada3b8,1600
