step,fraction_of_training,state_sha256,state_file_saved
0,0.0,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,False
1,0.000625,fa58058a9c31dc7f769758d61fac01b30d8891f4fcee42ddc791b235724afc9b,False
5,0.003125,0c571d0f2e996802483c1d23dfd0f0c821589adfefcdb199e1f71f8335ced90c,False
10,0.00625,d6652f23610fd0ecc91a4b76a04f8e277d2a609f96a20aa476618ec359685480,False
20,0.0125,3ad5e40e8a6ee9f4a6891d13815f41423f5d1b02af36c7ca26ab56c813560748,False
40,0.025,c6e11b5418c8b3f35aa70d9d3931dd74a778e57eca0be0331b2b0be4683ec855,False
80,0.05,2cd52723fd2f26e8a23785329a4c261211a5d41e0fed968d5e54026eb7b07d15,False
320,0.2,d2c8c0889461ac262396de9465cddd48aeda1b734a341db18236604d38a8ad35,False
800,0.5,98a090f4d73f8c980069a9ab94ef76e7f2ee05a68797098bc4a809f4a99c03fc,False
1600,1.0,eef36aee31eee7c4a48d02b4ba7fc8b68423cb13a96e828947ebe646a172be23,True
