step,fraction_of_training,state_sha256,state_file_saved
0,0.0,444eaef47d8295ef702a7983d43591a1a249f8b41c4ddc814f0d17e9e134c818,False
1,0.000625,0c4c2da363d62816586fd21997f3187c5fef6c50c10913a671e06aca86995ff9,False
5,0.003125,28f7d0496382665d4d257c4d5b07061c2a84fc4aefa3909d2712d8ccca13556b,False
10,0.00625,e5c8cee4083ad5d2a021c5936d7661b99c1eb055e298d4e746cfa9bd27172ad1,False
20,0.0125,2152fc3cc5fa1dae7502a8df4a7ebda542942c611eae9af9ddadbcc18ec5e804,False
40,0.025,a3bbdbfd452e924f9de9951fe0e974b406b6f34e6adc127b7a0f651586ad3781,False
80,0.05,5006c03cc09a52b970d1bff7e52d623c4259f2d98b2b9c2d21310ef7f6d44214,False
320,0.2,3c5f7c11d9d973b631eb436028deca1061d3e5d3d49b2534fad070f9213fb986,False
800,0.5,e3bf4e3db28a93f352a253e156e63e8681c65d429a2abe0eccb8e203d6d8059e,False
1600,1.0,6ef9c5471c2582344f5fb7b88e57971a339035541ffe7956fe5a109108c435ab,True
