step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,5.861545395274337e-06,5.847463148187724e-06,0.0018174227859736507,0.0001804405766510172,0.00017512193608748,0.054428833308312094,0.0001589744461699996,0.0019090257974980968,0.5933354166515524,0.00012852461151794813,0.0011274527153958577,0.35041832725416183
1,0.000625,True,True,True,True,5.746596835387612e-06,5.732790749946677e-06,0.0019253396358062168,0.00017771820483288253,0.00017247980851068894,0.05792679799188287,0.00014283794478240142,0.0017152525328480827,0.5760621363931931,0.00012358061558644717,0.001084082643531463,0.3640857259791179
5,0.003125,True,True,True,True,5.355951925791058e-06,5.343084357032856e-06,0.0023620253127088235,0.00016971759315977054,0.00016471502172002577,0.07281581661236199,9.738282930166077e-05,0.0011694101652753974,0.516962905083797,0.00010517336416888121,0.0009226092467353105,0.407859252991132
10,0.00625,True,True,True,True,4.995278891234316e-06,4.983277832320805e-06,0.002817865642612933,0.00016328152106934412,0.00015846865836765219,0.08960836679603916,7.123616858985188e-05,0.0008554310886387862,0.4837157299687633,8.544825638587302e-05,0.0007495752568342952,0.42385803759258467
20,0.0125,True,True,True,True,4.585336350568319e-06,4.57432017051519e-06,0.0036914710854294855,0.00015444577830913604,0.00014989335669406462,0.12096376543572561,4.896504795537918e-05,0.0005879909757483418,0.47450803716347906,5.662165475113396e-05,0.000496700496857428,0.4008367263153658
40,0.025,True,True,True,True,4.539010956370569e-06,4.528106072162389e-06,0.005678769088715833,0.00014603923798637772,0.00014173460634842497,0.177751600449672,3.26595606432516e-05,0.0003921884636493651,0.4918497245492744,2.9516119330844576e-05,0.0002589233960287964,0.3247199059123379
80,0.05,True,True,True,True,5.006573400261565e-06,4.9945452065131055e-06,0.009058861508389669,0.00013834825760050112,0.00013427032419757344,0.2435329386960487,2.2114979185541635e-05,0.00026556510680456454,0.48166898576993555,1.6701902235237115e-05,0.00014651361171213954,0.265739214025626
320,0.2,True,True,True,True,7.72461553937396e-06,7.706057303049072e-06,0.024694939825605368,0.00011423088480316671,0.00011086383162256249,0.3552757970891242,9.45495865024685e-06,0.00011353875048759397,0.36384787977843824,9.112966865702288e-06,7.994141446297018e-05,0.2561813833068321
800,0.5,True,True,True,True,6.181747277561906e-06,6.166895751774899e-06,0.02963775486758196,8.141287289776957e-05,7.901315873023155e-05,0.3797328062641498,5.947657989960385e-06,7.14217461427001e-05,0.3432489034345652,5.867793117206931e-06,5.1473871076064056e-05,0.2473805354337031
1600,1.0,True,True,True,True,8.513631345682563e-06,8.493177514460698e-06,0.06477778941653582,5.211290864334119e-05,5.057683602077113e-05,0.38575146080838896,3.6349351053754676e-06,4.364968745337098e-05,0.33291783400710123,3.236652516384086e-06,2.8392792830036884e-05,0.21655291576797392
