fraction_of_training,state_file_saved,state_sha256,step
0.0,False,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,0
0.000625,False,d6e548b022039e62bb64e7047a63bb702368d6fb62b4fe934b542b02807b32a5,1
0.003125,False,f9954ec77f11ec58d0b8895b45ddcac76934e03436b157f70c3778854d8492e7,5
0.00625,False,443f1bfe0d3a42f6b724142b07f320fa41550f4368e08e50c8e7063c42d4f160,10
0.0125,False,27d5a3b92719a1b04a8f6dda6667c55aca4672312390d8ebe07b22726cc85635,20
0.025,False,ae7cf5a673e5118b252471fd5504258a51a6a11bab5e007e22038cdef09023a4,40
0.05,False,b86b30f9d3b39d985ed9613d7024303f681ac02f90392235ee02370e786b7eea,80
0.2,False,c008b877522ba6e3890155da71ce44d8de49467286e28081d669820ee8f4c332,320
0.5,False,0bbedacc2f86b38de38af292a14278e95b52f37e0eb4852c3f038102060be83d,800
1.0,False,5761d3be863f52c9b9b3ad9de4a668af730bf556e27263a2b42d326973e1659c,1600
