step,fraction_of_training,state_sha256,state_file_saved
0,0.0,9a0afeaf662e33c8fa78e0d2e70433e838575f28ba1808277853f38ee8bf523a,False
1,0.005,b518a9390059c17edba7e5f55ea384a3aaf847ccfb09c2dc6b77219f11681197,False
5,0.025,f83672816af9149a8175957b7f516e53f2cfa3dddd4b147ea816c565a8aec0b0,False
10,0.05,8def4d0bee202510ec1f229d681ab8dabcce4fdc5b340aa8a8f5f722d65fdb65,False
20,0.1,56c5415dbc6327b26cfe8a2d985781686d9318b2cb40db6b5afb05509a5d7cd2,False
40,0.2,937517f8d03e740e579e07215d13dafb02696605537740442911534e9a65dc88,False
80,0.4,c53aaa07488001a18208ee6602a5411f3a0101bcb10a8168f8bb147c7a801102,False
100,0.5,2550f3ad588937dd21125b66c9ade2efcb10b5e500b72e7caad1c6abfd0d02a2,False
200,1.0,d94bdca2914446f5ee96db82135c50d1a0a7cabe349e4383a25c0906485550e1,True
