absolute_path,all_finite,counts_available_in_X,dataset,dtype,feature_order_sha256,inf_count,layers,n_obs,n_vars,nan_count,negative_count,nnz,observation_order_sha256,raw_available,raw_shape,role,sha256,shape,size_bytes,sparse,sparse_format,spatial_order_sha256,spatial_present,spatial_shape,x_integer_like
/autodl-fs/data/Human lymph node/A1/humanlymphnode_rna.h5ad,True,True,a1,float32,615b9c46b1b2c21c193c623da2a0ffdfd683d94c07458ec2aec49cd253e457a2,0,[],3484,18085,0,0,6824486,505f9d3a2ce07a22862260007d312dc958b6e8a49062561d1c650c7bfa798207,False,,rna,fd866f20ce43d878bb0b0b77a9a8d4cbb32d02123ffa3338d22c1f5477237ceb,"[3484, 18085]",56585218,True,csr,1a0e5455fb6f04c787640a8322f7617907eb47825628c0f02ce7166c510b3d27,True,"[3484, 2]",True
/autodl-fs/data/Human lymph node/A1/humanlymphnode_adt.h5ad,True,True,a1,float32,aab3920ef6dfa4b2e300f04be5fc7db8c7caf95985d285222c9e95a6a6a7f94a,0,[],3484,31,0,0,105474,505f9d3a2ce07a22862260007d312dc958b6e8a49062561d1c650c7bfa798207,False,,modality2,c53377e20795f72c239189ddf55508afc0d0d4bc262d0678abcc3171903f9972,"[3484, 31]",1165256,True,csr,1a0e5455fb6f04c787640a8322f7617907eb47825628c0f02ce7166c510b3d27,True,"[3484, 2]",True
/autodl-fs/data/Human placenta architecture/humanplacenta_rna.h5ad,True,True,placenta,int64,97ede7d8c79052b38a86c94c68c159b6d0ef6adcc4a2afe2168e4ad92e57571c,0,[],1662,36601,0,0,4574147,546911ff34829753cd40adb046386738574e94c3f2eea375736e7038ea29620d,False,,rna,bfbd23ccf081cd7b1c1fc312519d049ec9700da1282cab01fe6f45f0b36b9fd5,"[1662, 36601]",60099502,True,csr,7d96e7095ed624ab62cb903b5382000d2b2eee254ea604ec9509ea7b42dfdab1,True,"[1662, 2]",True
/autodl-fs/data/Human placenta architecture/humanplacenta_atac.h5ad,True,True,placenta,float64,14a0181f00c16100690f5d3af98189f5d169d3ec73c58e68ffceddae90aea717,0,[],1662,63,0,0,52053,546911ff34829753cd40adb046386738574e94c3f2eea375736e7038ea29620d,False,,modality2,ed3ead8662a1dbeae01bec9b3b0a7e1a9f6b9a23825672b7e1c9b22887d1999e,"[1662, 63]",971780,True,csr,7d96e7095ed624ab62cb903b5382000d2b2eee254ea604ec9509ea7b42dfdab1,True,"[1662, 2]",False
/autodl-fs/data/P22 mouse brain coronal section/mousebrain_rna.h5ad,True,True,p22,float32,318da17cd5d54d9b1d9ff428d0fb903b59811c8075227fc6b671a65563e90a86,0,[],9215,22914,0,0,9887966,d7aecdebd2cfe468080f34051d757c597356b1edda7bd121ebfe9601337f87e2,False,,rna,7478de043b784a1e1947064c6b3b9413c7c947b02adf6417f573203fa4e78d36,"[9215, 22914]",86001974,True,csc,bc6bcd50e8d5ef042c4a42760005fed78f862f3624fd2cc2e9301644bc89e652,True,"[9215, 2]",True
/autodl-fs/data/P22 mouse brain coronal section/mousebrain_atac.h5ad,True,True,p22,float32,af0054f4c812c58d0454e3072a1738b7153423b19e99b779535ab1ab9ad5acc8,0,[],9215,121068,0,0,35867690,d7aecdebd2cfe468080f34051d757c597356b1edda7bd121ebfe9601337f87e2,False,,modality2,1ee1b8a60ced6cd16c66f02ee77b8038878fec7c221d375c4b99c0e1aae9c34c,"[9215, 121068]",307171822,True,csc,bc6bcd50e8d5ef042c4a42760005fed78f862f3624fd2cc2e9301644bc89e652,True,"[9215, 2]",False
