phase,dataset,family,seeds,absolute_ari,absolute_nmi,delta_ari,delta_nmi,ari_sd,nmi_sd,wins,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,study_block
confirmation,D1,protein,5,0.2508071691206064,0.3643453162736141,0.008052607012553309,0.0013182318447023111,0.0,0.0,5,3.3960863053798676,0.020720576286315698,8.4287109375,1078.8984375,D1
confirmation,MISAR_E15_5_S1,atac,5,0.1591631749897662,0.296583590696911,-0.0429835089724552,-0.059604159819259206,0.0,0.0,0,1.8962911032140255,0.0156514236927031,5.17138671875,2792.234375,MISAR_E15_5_S1
confirmation,tonsil_s2,protein,5,0.1490603156354661,0.2678806495299433,-0.03266860309883951,0.0058667195322049115,0.0,0.0,0,2.5897263921797276,0.0283310399055478,11.65673828125,1867.609375,tonsil
confirmation,tonsil_s3,protein,5,0.1969333595315539,0.2497791360710971,0.0,0.0,0.0,0.0,0,2.6399676259607077,0.023979487419128198,11.6220703125,2792.234375,tonsil
discovery,A1,protein,5,0.2692920074739092,0.3816576360584507,0.0388316995997815,0.0056464412223531935,0.0,0.0,5,4.11186240054667,0.11197257471084579,8.744140625,886.59375,A1
discovery,P22,atac,5,0.46188299904101965,0.6041556287522191,0.0416124014679356,0.02701757948886263,0.0,0.0,5,4.905711729079485,0.036896575450896904,24.3818359375,2792.234375,P22
discovery,tonsil_s1,protein,5,0.1418066616082619,0.2842230497175844,0.0,0.0,0.0,0.0,0,2.5359776578843594,0.026363615512847598,10.86083984375,1728.234375,tonsil
