dataset,phase,method,candidate_id,config_sha256,seed,endpoint,k,total_observations,evaluated_observations,ordered_id_sha256,embedding_sha256,partition_sha256,processed_shapes,raw_shapes,status,discrepancy,gate,beta,parameter_count,label_in_loss,within_run_label_selection,dataset_name_routing,dense_n_by_n_count,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B04_T64_S20_M50,1bffcc88bab69102a7b076cdf44a89d4eb5726e475e73b1f55bc60cead67f775,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,b63c70a4e9f677aa2ae54232ce62e6c64518b47e8df6278e638d8ad75b0aa74d,5654c7ff44bd5628c2563a1eb42c0dcd9587b1af57017bf2564f3deb50d15ea7,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0116049079224467,0.0058024539612233,1,False,False,False,0,0.1508976785137782,0.2729456787636956,0.2722698372963064,0.4749927848848673,0.289632378069955,0.2729456787636956,0.6579617762831932,0.3412493157210107,0.4972071684896946,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B04_T64_S20_M50,1bffcc88bab69102a7b076cdf44a89d4eb5726e475e73b1f55bc60cead67f775,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,92001cb65a1b719a82e87a5bd55e2f5af22a3e4c1220352ea8370e64578adc0c,9057b23a712743bf0fb2c5b24b4df5dabcaf16704bc4700f78661db7df41d7a1,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.8458627462387085,0.4229313731193542,1,False,False,False,0,0.4224630550945404,0.5620180758933259,0.5612519777135401,0.5104830807644682,0.5646927408017632,0.5620180758933259,0.7818531848068087,0.2210657971017367,1.088818933814764,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B05_T64_S30_M60,93134e7d18c24f0eef0924cd7256351e02600cc55a4b30cd34b2aa6b3431003d,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,485435f5a97a4b26b3d11be338ac3752b280e34ec46ac5dcd368763a21d83f57,529340bef643d5e26bfe8c8dbd0477cd907e90c9b20f52c2bf8749ff78e90272,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.2576882541179657,0.1546129584312439,1,False,False,False,0,0.2150541486467149,0.3524134154138217,0.3483911798125056,0.3703444967731408,0.3816975540592491,0.3524134154138218,0.523336418390085,0.4765846370662492,0.7961316220462322,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B05_T64_S30_M60,93134e7d18c24f0eef0924cd7256351e02600cc55a4b30cd34b2aa6b3431003d,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,30c9849dd709a4c0e45020c795ce20878afe7e172f36a453e7233477db7a551e,1f5dee17769d0438e053da00cfd79c7c6df84a0e39d818a6ad7aff494d3ff4c8,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0012706164270639,0.0007623698911629,1,False,False,False,0,0.1418188098058269,0.2842332523421303,0.2835849638449816,0.4513026922523336,0.3094988323904363,0.2842332523421303,0.68786774347684,0.3106933879382647,0.4992787502706051,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B05_T64_S30_M60,93134e7d18c24f0eef0924cd7256351e02600cc55a4b30cd34b2aa6b3431003d,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,dcd14e2beacf9fa461d6e1eb58083b7533ac335bebc49678fd3a5dfc558bc301,ab6c7e4708ea0411ea1872d1064c130799491a818d4518ad51d137c786c5b529,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.927826464176178,0.5566958785057068,1,False,False,False,0,0.4532028915583525,0.593827906849403,0.5931186997394178,0.5364266021505688,0.5974333605628951,0.5938279068494031,0.8317284792313111,0.171496043532015,0.950547257438302,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B06_T64_S40_M70,1673b359573eae7018092f8c6a4a539f658bd28e15336b1a554498ca90102e64,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,6b4048de53dcec377074ca7965098d6be60076709947e1680e6c4b4da1f94d21,b6ac2dfc644f732517ddc410d8126ccf07f9c5a29647923186d370b3d49a4963,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.1961249709129333,0.1372874826192855,1,False,False,False,0,0.2194992978302377,0.3547052726367261,0.3505257273803854,0.3664123362908775,0.396901925103304,0.3547052726367261,0.5667168062638066,0.4324232579078904,0.7639360558241606,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B06_T64_S40_M70,1673b359573eae7018092f8c6a4a539f658bd28e15336b1a554498ca90102e64,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,f771b4d49890ddc446301fb8bc887fa892b1eb06be55b67f86f7b887c6c5ba0b,3ac179651383fd20f7b964edede3e5231ee6c6de6dbe8b8e2b52d05a49c532d3,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0001378359011141,9.64851278695278e-05,1,False,False,False,0,0.1418066616082619,0.2842230497175844,0.2835747377572314,0.4513103679211487,0.3094809839240393,0.2842230497175843,0.6878652668545209,0.310688861996281,0.4971095081418752,0.0,10.86083984375,1929.08984375
P22,discovery,NIGHT13B_UNIFIED_RESIDUAL,B06_T64_S40_M70,1673b359573eae7018092f8c6a4a539f658bd28e15336b1a554498ca90102e64,0,COMMON_KMEANS,9,9196,9196,47ac590e9225804548e509f74ecaa31567c00cf0139e3fc37e01a64685c5a087,09b358dd1c5968dbf11289da82eee3e6325f597b06576dadb9f33a8a00399c8b,30570733f2335cc794b4ff7bcbf3b23512a1fcdb516bf8889c01b3e5773ab082,"[[9196, 30], [9196, 50]]","[[9196, 22914], [9196, 121068]]",PASS,0.7251256704330444,0.9678613543510436,0.6775029301643372,1,False,False,False,0,0.4659126475968201,0.6098561237620866,0.6091752027463113,0.5474531890685685,0.6135293060194703,0.6098561237620868,0.8669034095285412,0.1360608613198636,1.0425475984811785,0.0,24.3818359375,1929.08984375
A1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B07_T66_S20_M50,7a18350bbd582649e0457b1ea05fc9931db31c96879dc2fc76afa9b05be368cf,0,COMMON_KMEANS,10,3484,3484,7a65e31e47074141430212884f034ddcf80e16410aa13b96c82a18d1bfacfaad,d96637fd6c1b7cbd7f1aea8a48c4f79854786238833ba80e885df3b8823f9b0c,f893517fa5b2f2553cff52abc02674f4545bbab054d17ecfa66cc37721a508db,"[[3484, 30], [3484, 30]]","[[3484, 18085], [3484, 31]]",PASS,0.6047326922416687,0.2487394362688064,0.1243697181344032,1,False,False,False,0,0.2181661192914047,0.3422468312560311,0.3381669168032672,0.3714077112863777,0.3710696012294825,0.3422468312560311,0.5161791462034733,0.483562303265798,0.6814250238239765,0.0,8.744140625,1929.08984375
tonsil_s1,discovery,NIGHT13B_UNIFIED_RESIDUAL,B07_T66_S20_M50,7a18350bbd582649e0457b1ea05fc9931db31c96879dc2fc76afa9b05be368cf,0,COMMON_KMEANS,4,4326,4326,9a30299971a5d7e475f17257fe9e0b34c500544ec6da856aec78b09648d5ba83,095548564ae1215364ea10fa2ac3fec826d5623eddebbda8c522f87df39e3b84,1f89b1f4539443530afaeb056b1e1a6b6144a19afe885bb0edf71bf5c1c2c3f4,"[[4326, 30], [4326, 30]]","[[4326, 18085], [4326, 31]]",PASS,0.4177672564983368,0.0078088697046041,0.003904434852302,1,False,False,False,0,0.2042009261222621,0.289729610721849,0.2891170326147769,0.4747302767916774,0.3307440671845709,0.289729610721849,0.6751093522308763,0.3255824466448501,0.4935510847717523,0.0,10.86083984375,1929.08984375
