step,fraction_of_training,state_sha256,state_file_saved
0,0.0,1280b01fd58ef7b77188a9b0072ace34226f2aa6498496f8fbdd386482c71d60,False
1,0.000625,fdbbd3946de5ba239d1b5852f9225452d35189d5a6382b7460725dae646089db,False
5,0.003125,e41705c31983a8596fc4f19ab81804820f905ad67c22e384af5a5d9be59b0171,False
10,0.00625,f6b0969b2719274353804ef07f749b57d754c7e6d045e84db2c437adfcb66a6b,False
20,0.0125,0dc0da8714885325b2491f9bb9a425d0b2d257f8f8e893c0e745cdbf706fbdba,False
40,0.025,c1535b70e2268fbd6953b278b2f917a554bb48ca7d6782dae71cfd066c89c951,False
80,0.05,ffc72547969f61b2531c25c2922bb0ebd2533da60886904188c4c57158569d6e,False
320,0.2,f7f217d953715405c08caa39052a7ecb294e6ec7360e9f22cef05022890300ae,False
800,0.5,0b283c4eb7da44f162a94fe904997a69a427d0afccb5b832e3e6914933a611ce,False
1600,1.0,7a6d301455a2301f76398ba59823c1a9dafb6dd78a618d1e77663f96f9737805,True
