fraction_of_training,state_file_saved,state_sha256,step
0.0,False,8980e9d9cc800dd749bdbdce1623a945eaa8ab71e151915c05bf9bd1f3184072,0
0.005,False,247595a9f7c4a2689bf0b6a3f3092d34002a0bd5f443b23a5fab6641429a772c,1
0.025,False,6458afecbf9fa154ead234fbfbd4ebcda72529a607f55c58d02827ce0f45747b,5
0.05,False,cd103352ce4bed38b26a1bc11e01e343281331c9fd1130a6e9268124fff28d1e,10
0.1,False,ee1c3fdd5c74e74d25390499cacf6b1629b219492b5df60d5fd7a406cbae801e,20
0.2,False,34d43c839a09ad6853423a0aa305d7d00cb70834c4b6ecb4d8d8bcddca9243ee,40
0.4,False,ecf37c74634856865dbfffda04f5e5123f809d7fe2be90d27e32df1bcfaa0029,80
0.5,False,bcb056ca038f6b971588e7ded02112aeb0f068540829eafd0fc9a0142586b0da,100
1.0,False,a6c3a92eaab0afb39728034089a0e49a4f046582ec53c1719be21a6836274325,200
