formal_rows,formal_wall_seconds,gpu_time_seconds,gpu_use,lane,peak_gpu_mib,peak_rss_mib
126,123.92979900352657,NOT_PROFILED,CUDA strict checkpoint representation replay only,P22_K9,NOT_PROFILED,750.40625
126,22.48756293579936,NOT_PROFILED,CUDA strict checkpoint representation replay only,MISAR_K7,NOT_PROFILED,604.31640625
126,37.27002659626305,NOT_PROFILED,CUDA strict checkpoint representation replay only,HUMAN_HIPPOCAMPUS_K7,NOT_PROFILED,613.8125
