gene
NOC2L
SCNN1D
ANKRD65
CDK11A
NADK
AJAP1
ACOT7
TNFRSF25
DNAJC11
UTS2
TNFRSF9
ENO1
SPSB1
PIK3CD
RBP7
UBIAD1
MAD2L2
PRAMEF4
SRARP
SDHB
RCC2
EMC1
MRTO4
CAPZB
PLA2G2A
PLA2G2D
SH2D5
EIF4G3
CELA3B
EPHB2
KDM1A
HNRNPR
FUCA1
RCAN3
RUNX3
RSRP1
RHD
CD52
NUDC
SYTL1
AHDC1
PTAFR
MED18
RCC1
LAPTM5
CCDC28B
LCK
HDAC1
MARCKSL1
RBBP4
SYNC
YARS
A3GALT2
GJB5
GJB3
NCDN
CLSPN
STK40
LSM10
CSF3R
ZC3H12A
CDCA8
EPHA10
POU3F1
GJA9
CITED4
HIVEP3
SLC2A1
FAM183A
CDC20
KIF2C
HECTD3
MUTYH
MMACHC
TMEM69
TSPAN1
RAD54L
LRRC41
PDZK1IP1
FOXE3
TRABD2B
ELAVL4
CDKN2C
ORC1
GPX7
PODN
LRP8
NDC1
HSPB11
HOOK1
ANGPTL3
ITGB3BP
INSL5
GADD45A
DIRAS3
RPE65
PTGER3
TNNI3K
ERICH3
CRYZ
AK5
FUBP1
IFI44L
TTLL7
DNASE2B
MCOLN2
WDR63
CLCA1
CLCA4
HS2ST1
PKN2
KYAT3
GBP6
LRRC8B
GFI1
MTF2
DNTTIP2
F3
RWDD3
PALMD
VCAM1
PRMT6
FNDC7
KIAA1324
SORT1
KCNC4
SLC16A4
CD53
DRAM2
DENND2D
CHI3L2
CHIA
WDR77
RAP1A
PPM1J
SLC16A1
PTPN22
TSPAN2
ATP1A1
CD58
CD2
PTGFRN
TBX15
HMGCS2
PPIAL4A
ANKRD34A
MTMR11
ANP32E
HORMAD1
CTSS
CTSK
CTXND2
BNIPL
CELF3
CRCT1
LCE3D
LCE2C
C1orf68
LCE1B
AL162596.1
SMCP
LOR
S100A9
S100A8
S100A1
DENND4B
TDRD10
PBXIP1
FLAD1
DCST2
ADAM15
THBS3
MTX1
ASH1L
LAMTOR2
LMNA
BGLAP
CCT3
C1orf61
IQGAP3
TTC24
NES
HDGF
INSRR
ETV3
FCRL5
FCRL4
FCRL3
FCRL2
FCRL1
CD5L
CD1D
CD1C
OR10K1
OR10R2
OR10X1
OR6K3
PYHIN1
AIM2
ACKR1
OR10J5
APCS
KCNJ9
ATP1A2
ATP1A4
SLAMF6
SLAMF1
LY9
ITLN1
NECTIN4
NIT1
ADAMTS4
PCP4L1
FCGR2B
FCRLA
DUSP12
SH2D1B
UHMK1
RGS5
NUF2
ILDR2
GPA33
CD247
RCSD1
TIPRL
SELL
SELE
TNFSF18
ANKRD45
DARS2
RABGAP1L
TNN
RALGPS2
ANGPTL1
FAM163A
CEP350
LHX4
ACBD6
ZNF648
GLUL
DHX9
ARPC5
PTGS2
BRINP3
RGS1
RGS13
RGS2
CFH
GPR25
TNNT2
LAD1
IPO9
LMOD1
ELF3
PTPN7
UBE2T
KDM5B
ADORA1
CHIT1
FMOD
PRELP
GOLT1A
MDM4
NFASC
TMEM81
TMCC2
LEMD1
NUCKS1
SLC26A9
CTSE
IKBKE
RASSF5
DYRK3
FCMR
PIGR
FCAMR
C4BPB
CR2
CR1
CAMK1G
G0S2
TRAF3IP3
SYT14
TRAF5
NEK2
INTS7
SPATA45
PROX1
CENPF
SPATA17
BPNT1
MARC1
DUSP10
CCDC185
CNIH3
LBR
ENAH
PYCR2
H3F3A
PARP1
ITPKB
ZNF678
PRSS38
C1orf35
CCSAP
TTC13
ARID4B
TBCE
CHRM3
EXO1
ADSS
OR2G2
OR2G3
OR14A2
OR2L3
OR2L13
OR2T33
OR2T1
OR2T10
OR14I1
LYPD8
PGBD2
TMEM18
MBOAT2
ODC1
TRIB2
SMC6
GEN1
SDC1
APOB
ATAD2B
FKBP1B
POMC
DTNB
CENPA
CAD
TRIM54
GTF3C2
SNX17
PPM1G
FOSL2
PPP1CB
TOGARAM2
LBH
CAPN14
YIPF4
RASGRP3
PRKD3
GALM
GEMIN6
TMEM178A
MTA3
PPM1B
SIX3
EPCAM
MSH2
KCNK12
NRXN1
EFEMP1
BCL11A
REL
AFTPH
SLC1A4
GKN2
AAK1
ASPRV1
TGFA
SFXN5
NOTO
ACTG2
DGUOK
MOB1A
CCDC142
LBX2
DQX1
AUP1
HK2
EVA1A
REG1B
REG3A
CTNNA2
TRABD2A
CAPG
VAMP8
TMEM150A
GNLY
KRCC1
FABP1
MAL
ZNF2
KCNIP3
ASTL
DUSP2
SNRNP200
ARID5A
C2orf92
ZAP70
MGAT4A
AFF3
IL18RAP
GPR45
FHL2
CCDC138
EDAR
FBLN7
ZC3H8
TTL
POLR1B
CHCHD5
CKAP2L
IL1RN
PSD4
ACTR3
