step,fraction_of_training,state_sha256,state_file_saved
0,0.0,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,False
1,0.000625,bfc25ca6ded07c2aeba762f67052a3917c235f3a74110657ec8e0cbd4baad06e,False
5,0.003125,4acc65d0667b7406130d68d3d07f9454d6009c9b758df24be3330181cecc19c9,False
10,0.00625,b83489d1981f10144078f665dee1a0bd8a8214a1b565f9462981fc24c53c35b3,False
20,0.0125,b68378d18afffc97a73fe079a2bfa7cda2f57f63dd8f0608c7aebc95150236a7,False
40,0.025,05d36101297cddb7062518bc6c53259805de2fbf302d0c00a63dd60a71e0cb16,False
80,0.05,65657cb9a9852468dac98a28c0da047a32f39a1b13306bc2f4f485ebda007411,False
320,0.2,a70a4abfa2f7898c1e1aba430fde56b77d71ac8507efa378bddd94c76e403c57,False
800,0.5,6c8ca6f93e5b927083289527712ea7f518e74f2a29d85a1f9ef609b322485d1a,False
1600,1.0,1e49507bb679dd46ab6a601bcf9ff359164255d136a6cdd2c81eeb9f8129d9be,True
