dataset,seed,candidate,runtime_seconds,peak_gpu_mib,device,checkpoint_roundtrip
d1,2,Q07_CONFIDENCE_MNN_RESIDUAL,7.239348888397217,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q01_GLOBAL_QUALITY_BLEND,1.1016499996185303,56.44921875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q02_SPOT_QUALITY_BLEND,1.1124584674835205,56.48193359375,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q03_MASKED_RESIDUAL,8.83412480354309,59.1474609375,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q04_SPOT_GATED_MASKED_RESIDUAL,10.023972749710083,59.18017578125,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q05_BOUNDARY_GATED_RESIDUAL,10.945961475372314,59.18017578125,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q06_COORDINATE_PRIOR_RESIDUAL,10.717443227767944,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,0,Q07_CONFIDENCE_MNN_RESIDUAL,9.244801044464111,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q01_GLOBAL_QUALITY_BLEND,1.1067531108856201,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q02_SPOT_QUALITY_BLEND,1.1013803482055664,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q03_MASKED_RESIDUAL,8.616879940032959,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q04_SPOT_GATED_MASKED_RESIDUAL,8.52539849281311,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q05_BOUNDARY_GATED_RESIDUAL,8.618520736694336,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q06_COORDINATE_PRIOR_RESIDUAL,8.85084080696106,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,1,Q07_CONFIDENCE_MNN_RESIDUAL,9.0826575756073,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q01_GLOBAL_QUALITY_BLEND,1.0718765258789062,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q02_SPOT_QUALITY_BLEND,0.9934394359588623,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q03_MASKED_RESIDUAL,8.915706634521484,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q04_SPOT_GATED_MASKED_RESIDUAL,8.790436267852783,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q05_BOUNDARY_GATED_RESIDUAL,8.739574432373047,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q06_COORDINATE_PRIOR_RESIDUAL,8.889673948287964,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
tonsil,2,Q07_CONFIDENCE_MNN_RESIDUAL,8.962938785552979,61.29638671875,NVIDIA GeForce RTX 4080 SUPER,True
