lane,representation_source,probe,folds,accuracy,balanced_accuracy,macro_f1,n_eval,label_flow
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,LINEAR_LOGISTIC,5,0.710390355912744,0.7036969650126038,0.6325829602228757,3484,after embedding lock; diagnostic only
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,KNN_15,5,0.6920206659012629,0.49222002702873324,0.5276076994273868,3484,after embedding lock; diagnostic only
A1_K10,NIGHT21B_SPARSE_PORT_STABLE700,NEAREST_CENTROID,5,0.607060849598163,0.6800569216902284,0.5052417718011498,3484,after embedding lock; diagnostic only
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.6897244546498278,0.7524958539692821,0.6478846900462585,3484,after embedding lock; diagnostic only
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,KNN_15,5,0.7149827784156142,0.5446090343980424,0.5756003796441868,3484,after embedding lock; diagnostic only
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,NEAREST_CENTROID,5,0.613662456946039,0.6938136119382623,0.5154970217856164,3484,after embedding lock; diagnostic only
A1_K10,RETAINED_CARRIER,LINEAR_LOGISTIC,5,0.7187141216991964,0.6866492529187761,0.6048739225476603,3484,after embedding lock; diagnostic only
A1_K10,RETAINED_CARRIER,KNN_15,5,0.7184270952927669,0.5053183484822825,0.5204423747814722,3484,after embedding lock; diagnostic only
A1_K10,RETAINED_CARRIER,NEAREST_CENTROID,5,0.636337543053961,0.6929609457372049,0.5161445064793698,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,LINEAR_LOGISTIC,5,0.6211251435132032,0.6468044416371269,0.5108413568782251,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,KNN_15,5,0.6142365097588978,0.37243070376129334,0.4015106601548535,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_AE_ONLY,NEAREST_CENTROID,5,0.538174512055109,0.6004078972855653,0.4384973599333075,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_FULL,LINEAR_LOGISTIC,5,0.6730769230769231,0.722374471109695,0.5991906650645613,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_FULL,KNN_15,5,0.7055109070034443,0.5155307683708822,0.535687362069177,3484,after embedding lock; diagnostic only
A1_K10,S1_NOTEBOOK_ANALOG_300__OFFICIAL_FULL,NEAREST_CENTROID,5,0.5525258323765786,0.641562859868944,0.45623180738178604,3484,after embedding lock; diagnostic only
