lane,representation_source,candidate_id,candidate_partition_sha256,ari,nmi,ami,fmi,homogeneity,v_measure,n_total,n_eval,observed_k_full,min_cluster_size_full,cluster_sizes_full,min_cluster_size_eval,cluster_sizes_eval,neighbor_agreement,moran_indicator_macro,geary_indicator_macro,label_access
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GMM_DIAG_N3_S0,5b86cc148fec3f135729490a3b25eb87c7db0d0a7d5d025cf6f01f83fafe0545,0.16300361887058432,0.324666406591069,0.3203673379643098,0.31276055303037287,0.3698700044470468,0.324666406591069,3484,3484,10,109,109|131|164|232|318|324|446|519|618|623,109,109|131|164|232|318|324|446|519|618|623,0.7704362558238035,0.7391771586384241,0.26984447818864526,independent_evaluator_after_bank_lock
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,GMM_FULL_N3_S0,8426efbbd297b35a43f5c9803047bf45268185fec9c03f3a6e51512bdd836c4d,0.2111032965191964,0.36959580937694114,0.3654868939226033,0.3613834278910411,0.4104543793391859,0.3695958093769411,3484,3484,10,77,77|110|142|184|197|298|413|558|748|757,77,77|110|142|184|197|298|413|558|748|757,0.7516589015953692,0.723078615118662,0.2911151403870032,independent_evaluator_after_bank_lock
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,SPARSE_WARD_REGISTERED,4b11d11649f4425085664609a87bf684f1e6502a1783d13b14c6bf6707b136e3,0.1768648821494563,0.31561749536800965,0.3111701142207629,0.3323401046595374,0.34702247567395417,0.31561749536800965,3484,3484,10,36,36|57|68|179|370|386|453|537|648|750,36,36|57|68|179|370|386|453|537|648|750,0.9079486093463222,0.8931935009610947,0.12320305454066982,independent_evaluator_after_bank_lock
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,SPARSE_GRAPH_FEATURE12_SPATIAL50,62b84ee9d7fcfecbe3cd08ab8984fc3de00e4a39799ae1097e7d894fa452b553,0.1690600380690678,0.2913883369927879,0.2869006227562038,0.3176215889712861,0.3340531473419025,0.2913883369927878,3484,3484,10,159,159|196|219|236|279|296|309|426|675|689,159,159|196|219|236|279|296|309|426|675|689,0.9275730622617535,0.9228771397635175,0.08122545350727409,independent_evaluator_after_bank_lock
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,HISTORICAL_CONCAT_KNN_S01,65d4873998d67036f1ee5038dbd6ad56700205bb443109c53fcab121b49ec64f,0.1799424074665827,0.29036820113731515,0.28562574286939046,0.3476697183698107,0.31501585438036356,0.2903682011373151,3484,3484,10,89,89|119|172|199|202|214|269|291|931|998,89,89|119|172|199|202|214|269|291|931|998,0.8137794719751518,0.7687309191069114,0.24066453635612467,independent_evaluator_after_bank_lock
A1_K10,OFFICIAL_CONFIG_DEFAULT_700__OFFICIAL_FULL,HISTORICAL_CONCAT_KNN_S02,078308f0c330089ba697678eada2f59959ea6421ca68b5379f0645bff2e1a68f,0.1748334850395011,0.3152498566541769,0.31084745649734213,0.3266244232832101,0.3556232884217931,0.3152498566541769,3484,3484,10,108,108|147|149|200|227|327|431|518|594|783,108,108|147|149|200|227|327|431|518|594|783,0.8225328250741212,0.8066549475233309,0.2014093559947606,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,COMMON_KMEANS_N20_S0,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,0.4496800434626669,0.38551154586234904,3484,3484,10,171,171|226|233|316|332|349|377|457|489|534,171,171|226|233|316|332|349|377|457|489|534,0.5610616970210363,0.5298844823947537,0.4753672909962553,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,OFFICIAL_KMEANS_N10_S0,48ef4fb52e815f15015438684259dd8b38118d29f875997dfc8b68e157f0a6d0,0.22678008502081123,0.3855115458623491,0.3816864046533749,0.3645188872570268,0.4496800434626669,0.38551154586234904,3484,3484,10,171,171|226|233|316|332|349|377|457|489|534,171,171|226|233|316|332|349|377|457|489|534,0.5610616970210363,0.5298844823947537,0.4753672909962553,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,GMM_DIAG_N3_S0,0777ad2c8111d8468b3f0bdf2b68e440cf8c1468058f242fd594d33a83c44d9f,0.23012281404025328,0.3923030067881293,0.3884031566114508,0.37327504335935485,0.44316942004820287,0.3923030067881293,3484,3484,10,104,104|112|185|233|251|266|434|552|647|700,104,104|112|185|233|251|266|434|552|647|700,0.5698150501200057,0.5555181644317048,0.45484774155459534,independent_evaluator_after_bank_lock
A1_K10,RETAINED_CARRIER,GMM_FULL_N3_S0,52c1fe9f5d129ebe5d53ba166db3d7451bb8296d9dbab1237ab332f0de3c297c,0.23955361227503894,0.39271613692184937,0.3888483370739786,0.38008876656248497,0.4473679626210222,0.3927161369218493,3484,3484,10,122,122|128|210|217|343|359|360|397|572|776,122,122|128|210|217|343|359|360|397|572|776,0.5835098122264577,0.559519333491073,0.4502782657575078,independent_evaluator_after_bank_lock
