formal_id,dataset,cluster_k,control_id,run_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,ami_mean,fmi_mean,morans_i_mean,gearys_c_mean,wall_seconds,peak_rss_mib
F30_P22_K9_MAX_ARI,P22,9,ATAC_ONLY,30,0.5197289187261271,0.4475966057160502,0.4533231251966319,0.38240117168953525,0.6424431111018922,0.5961771919903225,0.5987126356882544,0.5404087454026285,0.597998273338186,0.5404887872957905,0.911528869193793,0.09238621704248379,18.135025629773736,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,ATAC_PLUS_COORDINATES,30,0.5532956747558102,0.48100832745219796,0.48062656744175264,0.4100331689630188,0.6566738356727742,0.6198500316529791,0.6188778907600953,0.5645592578201785,0.6182136326592507,0.5585610547907525,0.9323035061971386,0.07067259004004992,18.15495284833014,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,COORDINATE_ONLY,10,0.2855417383794632,0.28458633583778337,0.28446146907808495,0.2827266121792362,0.46420182611261185,0.4627937406363016,0.46297376277633606,0.4619464742345631,0.4620779405275487,0.3820907416069826,0.9662190482307066,0.033813768253367474,4.144713802263141,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,FUSED_FULL,30,0.5691172816484583,0.4830969035359587,0.4959928831466333,0.43295220111902855,0.6851311063039861,0.6188960656975693,0.624726938323033,0.5666512302037781,0.6240685891500485,0.5721555779083918,0.9302634811823509,0.07255984847441936,18.57183414697647,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,FUSED_WITHOUT_COORDINATES,30,0.5060480059212991,0.4484706215390194,0.4437909306109733,0.3546163498252299,0.6404594207349911,0.6042273968784575,0.5965325099305806,0.5304802654228962,0.5958183143792521,0.5316591823275865,0.9174691635396487,0.08625151532692364,18.604360232129693,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,FUSED_WITHOUT_GRAPH_FILTER,30,0.5191595813141643,0.49075023407359464,0.4935710975790561,0.4800048811711299,0.654751501804936,0.6334843454973125,0.6350328753570563,0.6144144244626348,0.6343971472567573,0.569735295423962,0.9320165499451111,0.07016097075779343,24.112446820363402,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,FUSED_WITHOUT_SPATIAL_REFINEMENT,30,0.5609944832766085,0.4798470167860224,0.4916366850538052,0.43358864000803543,0.6749811898544307,0.611584015400559,0.6191220951640048,0.5670113194039702,0.6184551282360439,0.5682955314682826,0.9230347281063739,0.08045690997337379,14.10986284352839,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,NIGHT14B_FROZEN_BEST,30,0.5691172816484583,0.4830969035359587,0.4959928831466333,0.43295220111902855,0.6851311063039861,0.6188960656975693,0.624726938323033,0.5666512302037781,0.6240685891500485,0.5721555779083918,0.9302634811823509,0.07255984847441936,0.0,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,RNA_ONLY,30,0.4725177256320273,0.43470779591481096,0.434562726443299,0.40678081848048725,0.6390660454673153,0.5900330217531893,0.5915805891315896,0.566874884889014,0.5908702608099776,0.5211181705952712,0.9276826380388348,0.0752831512296058,19.858949419111013,2008.84765625
F30_P22_K9_MAX_ARI,P22,9,RNA_PLUS_COORDINATES,30,0.5389510802403764,0.4824476694116948,0.4819081304166968,0.4161866938124912,0.6555247932903958,0.6065540655623183,0.609063633859718,0.5708164701704956,0.6083878074571117,0.5587951734083488,0.9353139967341447,0.06723554576534978,19.423647286370397,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,ATAC_ONLY,30,0.42873079376127765,0.23148671512390162,0.24759528291306773,0.11451432660829121,0.5329797345595167,0.40890200455849346,0.4102276316490195,0.3022079310978357,0.4069917845966696,0.40280977713583543,0.8984822443736831,0.10136899570130828,5.150875123217702,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,ATAC_PLUS_COORDINATES,30,0.4723932327031504,0.4237234608825425,0.41898094496706934,0.33745639356774365,0.6016099091712523,0.5575401815138596,0.5547666176316518,0.5074977457270696,0.5524342641866766,0.5313731382022856,0.9291478599124453,0.07140484778463671,5.1638702638447285,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,COORDINATE_ONLY,10,0.3861030274948576,0.37757014104522,0.3784286791462004,0.37686585258024335,0.5042171852584559,0.49125652891013893,0.49235195778367774,0.49049459430352754,0.4896406665452135,0.5004845512644706,0.9367026266512951,0.060379486303239374,0.9255996998399496,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_FULL,30,0.5099310451743241,0.40324146893315227,0.4039596409534176,0.30072535468518685,0.6289634776869945,0.5493089712340848,0.5510646318341339,0.47259832729603957,0.5486936727051988,0.5200209122867049,0.9284273475294648,0.07187472846651535,5.7353667709976435,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_WITHOUT_COORDINATES,30,0.48493689654985433,0.2664352871449758,0.26473749180358924,0.1103924126483464,0.5264381056098734,0.43054614154130866,0.43083259975781085,0.2888617103035437,0.4276662622313415,0.42402733750227395,0.9003398308952179,0.0997811596357577,5.453372977674007,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_WITHOUT_GRAPH_FILTER,30,0.5143389888560751,0.42557912667801495,0.42295479750099696,0.33495395782436477,0.6017151222877158,0.5629983165683317,0.5611020253398161,0.5161771972223134,0.5587842781894844,0.5349123560289766,0.9160791265820217,0.08419220830378879,4.88755608163774,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_WITHOUT_SPATIAL_REFINEMENT,30,0.5040846621752118,0.4028291619516656,0.40293455587872595,0.2980800517356979,0.6247506822967964,0.5525853385196182,0.5519809198148491,0.47445692147161805,0.5496151513353035,0.5191845516038869,0.9248145818189238,0.07550869205808358,4.6237473879009485,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,NIGHT14B_FROZEN_BEST,30,0.5099310451743241,0.40324146893315227,0.4039596409534176,0.30072535468518685,0.6289634776869945,0.5493089712340848,0.5510646318341339,0.47259832729603957,0.5486936727051988,0.5200209122867049,0.9284273475294648,0.07187472846651535,0.0,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,RNA_ONLY,30,0.4048352152354508,0.2763097973861296,0.2567721606948302,0.1294447295369928,0.5094876139259291,0.44863118102188837,0.44398675901146595,0.35684289920632195,0.4409182948143722,0.41334701421898395,0.9028820386579629,0.0973235866566578,5.669712329283357,2008.84765625
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,RNA_PLUS_COORDINATES,30,0.42616038240007237,0.3739923582881094,0.37029009180179945,0.2129364756875813,0.5710103572631812,0.5192912930280638,0.5200103587274482,0.3830860469656336,0.517471244987695,0.492752739252329,0.9235880902271311,0.07581735921425428,5.279164422303438,2008.84765625
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,ATAC_ONLY,30,0.3499400498529358,0.17316556516873047,0.1705810714212304,0.0533609798171756,0.45140473675477727,0.39642906208635265,0.392927091341182,0.32242085768370876,0.3865572403972205,0.38594611709480414,0.863389791529777,0.13687583371823495,5.115267047658563,2008.84765625
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,ATAC_PLUS_COORDINATES,30,0.4198514473063674,0.272366855242847,0.27871054537655315,0.19315993637203835,0.5332104084265878,0.470741035978409,0.4745146316949496,0.4072262962385523,0.4697318328335257,0.4140295310525866,0.8991270220006733,0.1016690359560588,4.621271779760718,2008.84765625
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,COORDINATE_ONLY,10,0.24100742053564467,0.22615499311363704,0.22703165151465182,0.2176905634961918,0.4712456282939778,0.4657788007009531,0.46430334283300895,0.4509072439237849,0.45978935852911806,0.3572105014007617,0.9220445765155534,0.0784685048796529,0.7561135906726122,2008.84765625
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_FULL,30,0.4142752375766465,0.26496736924861464,0.2742477202194704,0.190540556325054,0.5328709531713021,0.4772601299825724,0.4754302340727795,0.4118269894536758,0.4707388704531161,0.40599812756025433,0.8999658784302705,0.10196568036198403,4.5160443261265755,2008.84765625
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_WITHOUT_COORDINATES,30,0.328698789610997,0.15786015957929828,0.16824980178006124,0.0697228666196396,0.4630599995084811,0.3804988580099503,0.38434036688489875,0.3387272132542265,0.3780717304910755,0.36840082477696673,0.8687475528580199,0.13322882314242615,5.278375258669257,2008.84765625
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_WITHOUT_GRAPH_FILTER,30,0.31763621407901366,0.20280065366538857,0.2043840454172359,0.13940139198003235,0.5097937660620435,0.41759295482780334,0.41758909187129617,0.3446948606714363,0.41211870529761435,0.35489320526102897,0.8226421642182268,0.17970007680117997,4.3762670122087,2008.84765625
