formal_id,dataset,cluster_k,model_seed,endpoint_seed,fused_minus_coordinate_ari,fused_minus_coordinate_nmi,fused_minus_best_unimodal_ari,fused_minus_best_unimodal_nmi,with_minus_without_coordinate_ari,with_minus_without_coordinate_nmi
F30_P22_K9_MAX_ARI,P22,9,0,0,0.2837093925350196,0.22245054735511527,0.015036354567481203,0.027852331185434953,0.11935766999048669,0.09259657732619575
F30_P22_K9_MAX_ARI,P22,9,0,1,0.24549552189069856,0.1777597874575484,0.03773792893686384,0.01346050749579375,0.05395456654726105,0.019498674517673176
F30_P22_K9_MAX_ARI,P22,9,0,2,0.2060071085227761,0.15775807055066116,-0.016051217392801742,0.00028001010689882033,0.017471266164198418,-0.007858758754911599
F30_P22_K9_MAX_ARI,P22,9,0,3,0.19745583284528462,0.1360709293597261,-0.028235501082443548,-0.024419140173325582,0.023914351753609342,-0.01255009364350701
F30_P22_K9_MAX_ARI,P22,9,0,4,0.28462267580152945,0.22312357626338664,0.030166201408081905,0.03135976921724659,0.14979985964146852,0.10761487043955187
F30_P22_K9_MAX_ARI,P22,9,0,5,0.2150819848724092,0.1531850750200311,0.008826395219327876,-0.021452706066738436,0.07021232022726931,0.02181083300121678
F30_P22_K9_MAX_ARI,P22,9,0,6,0.24649186147578273,0.1865211192449338,-0.007294386415730769,-0.007057199810898918,0.09226159571808934,0.06308819709389579
F30_P22_K9_MAX_ARI,P22,9,0,7,0.1978149488389776,0.16731468732926968,-0.0010763163293747713,0.00650465947340062,0.02229751490642029,0.016140352955347437
F30_P22_K9_MAX_ARI,P22,9,0,8,0.18552279454875575,0.1503832374384072,-0.038263862837382145,-0.023541514160896115,0.002110662523652218,4.6157661509949044e-05
F30_P22_K9_MAX_ARI,P22,9,0,9,0.18174782680745444,0.15395935260052035,-0.018487845890766297,-0.016248203532096217,0.05269408876739756,0.04768823709233083
F30_P22_K9_MAX_ARI,P22,9,1,0,0.228552165526143,0.17271758734215747,0.010537264148934189,0.0028583388247936936,0.04395984472493536,0.022196209833742042
F30_P22_K9_MAX_ARI,P22,9,1,1,0.210013033325534,0.14775139709713825,-0.004926402195635449,-0.0069367021617917635,0.03777066036456894,0.007696420958320238
F30_P22_K9_MAX_ARI,P22,9,1,2,0.27190485465498637,0.20627563886956068,0.06767692520827479,0.04110257810938267,0.10045632314579905,0.06185216437814378
F30_P22_K9_MAX_ARI,P22,9,1,3,0.2833942063670068,0.2202085692104182,0.0684857342957218,0.05253670250375986,0.1122740969227875,0.07718433613403586
F30_P22_K9_MAX_ARI,P22,9,1,4,0.2624494813568736,0.18673420133898655,0.07017819050883262,0.03222808462201443,0.09914740985918263,0.036132017793327864
F30_P22_K9_MAX_ARI,P22,9,1,5,0.2603944346522698,0.18985247817944295,0.06571294520886256,0.050000882066637,0.05814037856675158,0.03366911440851161
F30_P22_K9_MAX_ARI,P22,9,1,6,0.2000051008355374,0.1530459990047956,-0.05847326320899865,-0.041406274593917436,0.022529286801304782,0.007558917695707712
F30_P22_K9_MAX_ARI,P22,9,1,7,0.22126710331593974,0.1587659911316579,0.015532797296961665,-0.007074820211785848,-0.0006900009092508652,-0.01749160349072132
F30_P22_K9_MAX_ARI,P22,9,1,8,0.18215990978321794,0.13216098594774284,-0.05787976283119867,-0.03663426459273422,0.0005533107054801478,-0.0244933047612661
F30_P22_K9_MAX_ARI,P22,9,1,9,0.18207296067350076,0.13577382686041645,-0.014683470572183055,-0.02451765467152689,0.0035247024910542435,-0.013765391548136607
F30_P22_K9_MAX_ARI,P22,9,2,0,0.16438018415924088,0.13044980193170352,-0.035538364050272,-0.021370691267189934,0.09438647112228282,0.06204515601190119
F30_P22_K9_MAX_ARI,P22,9,2,1,0.18474087684858592,0.15708124816081426,-0.04278064657328101,0.0023446747484948682,0.03233567234692969,0.035371736497095574
F30_P22_K9_MAX_ARI,P22,9,2,2,0.2112560408456834,0.175415738817718,0.015427472075064619,0.02146873068921018,0.059524919791775266,0.04690566540955765
F30_P22_K9_MAX_ARI,P22,9,2,3,0.1477857586635674,0.10250293824861623,-0.07373813357080528,-0.05618528854263061,-0.006646704500094414,-0.018958949667050806
F30_P22_K9_MAX_ARI,P22,9,2,4,0.18820580581410573,0.14713692155048852,-0.018560248758829945,0.00310340881525073,0.08504464347557772,0.05118841467344748
F30_P22_K9_MAX_ARI,P22,9,2,5,0.19714248070164592,0.1573637799412544,-0.020238193950680827,-0.012133737779615572,0.046480303729477035,0.034710690637028585
F30_P22_K9_MAX_ARI,P22,9,2,6,0.1978382310849231,0.14854276469265976,0.00799408706455329,0.004201088605517822,0.03343777827532318,0.0052983497190514095
F30_P22_K9_MAX_ARI,P22,9,2,7,0.15848166428571914,0.11758112771492346,-0.04396127710580405,-0.04003081982624468,0.03047909905316054,0.025497377287994838
F30_P22_K9_MAX_ARI,P22,9,2,8,0.18150490132608782,0.1498890880053917,-0.001044570436702641,0.009426682556759824,0.06997076435613608,0.039358607733766204
F30_P22_K9_MAX_ARI,P22,9,2,9,0.16844327969719325,0.13481879973542304,-0.010952917137987461,-0.008087223320540682,0.039305719506764536,0.02580187437981385
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,0,0.13242037635810694,0.13839951907079912,0.14076615639841905,0.10758806182180425,0.20087869248144158,0.17160734522846338
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,1,0.03600578848915281,0.07450667578218129,0.0020995910144810948,0.02151842905057677,0.13516142680493648,0.11301562428530226
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,2,-0.011918779841982807,0.02700116098997485,-0.05787160565042365,-0.049989874545283586,0.09119763861212227,0.07836430849193848
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,3,-0.02118032818969906,0.028499060617948047,-0.08483824217484853,-0.04239630226809599,0.07209277434148609,0.11340421554726787
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,4,-0.06170882753652274,0.0002551362939489654,-0.08562891098082714,-0.0474912924933511,-0.16876994296878273,-0.034649183361415814
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,5,0.012994278126802095,0.05084807317319051,0.013860745358300897,0.0060811446029147564,0.2326415008863788,0.1697115573792493
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,6,0.05637495622998545,0.08280401274191629,0.019251038072267412,0.017485824764823632,0.18687298795898227,0.1497766984365646
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,7,-0.024340886658855643,0.01119032833940009,-0.06941715008123556,-0.005812823084141994,0.00940967350907429,0.04245638042876915
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,8,-0.0009438017057566417,0.05044667807782027,-0.03209273320962541,-0.009259155507767458,0.06824055203254792,0.08702122659209871
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,0,9,0.006361144849475364,0.045183391644212256,-0.06330122763558632,-0.04912315213241336,0.22300961578946435,0.1418241447477565
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,0,0.09803689449003788,0.11787253293696759,0.02883783282031982,0.036945664187171934,0.27731336684193264,0.20435361278924025
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,1,-0.022608842782629424,-0.0002761860349115852,-0.07200471054682989,-0.06752530326526024,0.09739794498772181,0.06599305439906122
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,2,0.02042179817790546,0.07508400430124607,0.00407808882027072,0.022860793494183684,0.039169465977312024,0.0942038364346719
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,3,-0.009227975461941818,0.046008458791605866,-0.0817214228059312,-0.02989318131904417,0.17033560103284603,0.131829406246739
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,4,0.016539571821115207,0.04833335550450146,0.005485026282862182,0.008300894549940097,0.2840229402903631,0.25100543115546636
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,5,0.08161215957308265,0.09658201869442207,0.06100552691483013,0.01964088325773994,0.22162463819729045,0.16558747548011815
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,6,0.02857692105580456,0.056881253893047434,-0.037687774947530506,-0.023040102660148998,0.023746877060243365,0.04080207397259217
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,7,0.07783235389334159,0.09654491186263009,0.06828344160892208,0.06487021245093694,0.21519058800224639,0.17624545738289915
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,8,0.07196154203636768,0.09867320436664712,-0.023565838086539392,-0.0006460573907810518,0.08570941184198683,0.10554128047132366
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,1,9,0.061524009557470616,0.07509681482284603,-0.003959253763991644,-0.0047840125501585895,0.0977005180047954,0.09103589307465293
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,0,-0.037436401005701,0.022433761541774067,-0.12708222248776185,-0.06904264477143063,0.0115051302799134,0.025584515089345006
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,1,0.02197290490868109,0.04334133071179158,0.015160812774086041,-0.012029729578478698,0.12295297969441998,0.08833382400425255
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,2,0.04870287918149213,0.0769155723530458,0.003193212986026206,0.013824709847821581,0.15869451219711367,0.1375520305711967
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,3,-0.00638840117711631,0.02174883610763112,-0.07489474980543354,-0.0446701781575819,0.054873293722926264,0.05112882069332664
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,4,0.040270683965035914,0.06105093445970322,0.00791199526682651,0.01843506724195587,0.1532764726576462,0.12259082403233335
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,5,0.04989821600197708,0.08363390118014424,-0.04101276165112644,-0.02657240994590848,0.2904632362016508,0.21754927550239428
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,6,0.03644053410083309,0.057105516966123315,-0.05656931608903282,-0.037256860363063526,0.2120187224520915,0.17508642166987587
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,7,0.04935583763857754,0.0840012247936594,-0.04441099865515896,-0.011558420442648765,0.17982783116330742,0.11770056237642157
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,8,0.09116556225250544,0.10918036884957233,0.06326622580546659,0.05330056657897386,0.2581140907730941,0.18989528608023004
F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,2,9,-0.07678531413103029,-0.017965631320155717,-0.15784924842802617,-0.11006394875836778,0.17199193366829668,0.12240956308755518
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,0,0.17948379324142724,0.0761217397632003,0.1649582388595667,0.09941639628945403,0.0855764479656495,0.07226358577599529
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,1,0.019448848256424428,-0.033154381667059196,0.001865955361045113,-0.04020661684703786,0.05907924993329705,0.08009579628114682
F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,0,2,-0.007865445982837865,-0.005181244453851708,0.03301004656372161,0.020540220901284878,0.004399881907725278,0.07950490635492463
