dataset,cluster_k,control_id,absolute_ari_total_variance,absolute_ari_between_backbone_seed_variance,absolute_ari_mean_within_backbone_endpoint_variance,absolute_nmi_total_variance,absolute_nmi_between_backbone_seed_variance,absolute_nmi_mean_within_backbone_endpoint_variance,run_count,backbone_seed_count,endpoint_seed_count,source_artifact,candidate_id,source_view,filter_id,algorithm
MISAR_E15_5_S1,7,ATAC_ONLY,0.005247744096170541,0.001775816817748398,0.0034719272784221413,0.0029871834417024247,0.0009940126930607228,0.0019931707486417036,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,ATAC_PLUS_COORDINATES,0.0016999444703343553,0.0001195299148769287,0.0015804145554574268,0.0007303123570289482,7.100915820318412e-05,0.0006593031988257641,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,COORDINATE_ONLY,6.74506588780663e-06,,,1.5842848215889957e-05,,,10,0,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,FUSED_FULL,0.002180146057715174,0.00015786816948281813,0.0020222778882323564,0.0012828627163275063,7.82159171921331e-05,0.0012046467991353724,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,FUSED_WITHOUT_COORDINATES,0.0067779137119279576,0.0003801192710952952,0.00639779444083266,0.002407171659796851,5.5808907891987716e-05,0.002351362751904863,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,FUSED_WITHOUT_GRAPH_FILTER,0.0015527050381073854,1.7542176007969463e-05,0.0015351628620994164,0.00043354031569069467,7.896542619589777e-06,0.0004256437730711048,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,FUSED_WITHOUT_SPATIAL_REFINEMENT,0.0020668007839989727,0.00013400611219620625,0.0019327946718027667,0.001242490935382767,6.902927303143694e-05,0.001173461662351331,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,NIGHT14B_FROZEN_BEST,0.002180146057715174,0.00015786816948281813,0.0020222778882323564,0.0012828627163275063,7.82159171921331e-05,0.0012046467991353724,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,RNA_ONLY,0.0037944876189355227,3.585264682486129e-05,0.0037586349721106618,0.0011610191818372149,1.9346102263766246e-05,0.0011416730795734485,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,7,RNA_PLUS_COORDINATES,0.0016389561384775168,0.0001169932394133864,0.0015219628990641302,0.0011531029417651728,7.093808810693503e-05,0.0010821648536582385,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,ATAC_ONLY,0.004026573634482711,0.001144558447119494,0.002882015187363218,0.0008672432624590251,0.00018511194806331553,0.0006821313143957099,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,ATAC_PLUS_COORDINATES,0.0033759108486518846,0.0008453144266314913,0.002530596422020394,0.0012733466024366067,0.00016915674588519102,0.0011041898565514162,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,COORDINATE_ONLY,4.8947370747551634e-05,,,3.2429310285113145e-05,,,10,0,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,FUSED_FULL,0.0026602152362388025,0.0004222709313496562,0.002237944304889147,0.0007983025873487495,3.7340711283399406e-05,0.0007609618760653502,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,FUSED_WITHOUT_COORDINATES,0.003936237314788259,0.0006103030206170342,0.003325934294171226,0.0008617621829261402,1.5683214974490617e-05,0.0008460789679516494,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,FUSED_WITHOUT_GRAPH_FILTER,0.0010086193632309849,0.0002671030141215606,0.0007415163491094244,0.0009108143948652977,0.0002999137975017515,0.000610900597363546,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,FUSED_WITHOUT_SPATIAL_REFINEMENT,0.0015745693238409142,0.00010078113860985562,0.0014737881852310588,0.0007708246499987631,1.3761250838137531e-06,0.0007694485249149493,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,NIGHT14B_FROZEN_BEST,0.0026602152362388025,0.0004222709313496562,0.002237944304889147,0.0007983025873487495,3.7340711283399406e-05,0.0007609618760653502,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,RNA_ONLY,0.001300266287513779,1.725229846027851e-05,0.0012830139890535007,0.00023366771113071387,2.283558346091585e-06,0.00023138415278462233,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
MISAR_E15_5_S1,12,RNA_PLUS_COORDINATES,0.0007694383149896823,4.120965612136839e-05,0.0007282286588683138,0.00037978163776619553,2.155673542864344e-06,0.00037762596422333115,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,ATAC_ONLY,0.0013658063968140085,0.0001864515177298097,0.0011793548790841977,0.0005536654098690694,8.610022859203556e-05,0.00046756518127703334,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,ATAC_PLUS_COORDINATES,0.0006288284419243646,8.402017381667305e-05,0.0005448082681076916,0.0003303522855262666,7.818309406641245e-05,0.00025216919145985383,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,COORDINATE_ONLY,6.260777407424008e-07,,,8.247588830837441e-07,,,10,0,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,FUSED_FULL,0.001489467838463167,0.0005034691073823669,0.000985998731080799,0.0008528687553445606,0.00019461365863963136,0.0006582550967049292,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,FUSED_WITHOUT_COORDINATES,0.0009414319212017479,0.00044279790004885026,0.0004986340211528983,0.0005642142387970103,0.0002756442828562309,0.0002885699559407783,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,FUSED_WITHOUT_GRAPH_FILTER,0.0001631398573850577,8.984747889711265e-05,7.329237848794489e-05,0.00010672729174996888,4.960373324325952e-05,5.712355850670923e-05,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,FUSED_WITHOUT_SPATIAL_REFINEMENT,0.0013289454674274292,0.0004359723608302792,0.00089297310659715,0.0007395840667306396,0.00014609687121210343,0.0005934871955185351,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
P22,9,NIGHT14B_FROZEN_BEST,0.001489467838463167,0.0005034691073823669,0.000985998731080799,0.0008528687553445606,0.00019461365863963136,0.0006582550967049292,30,3,10,stage_a_score_source_v1/score_source_ablation.csv,,,,
