dataset,candidate_id,cluster_k,endpoint_role,source_view,filter_id,pca_dimension,coordinate_basis,coordinate_weight,algorithm,refinement_id,run_count,backbone_seed_count,endpoint_seed_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,ami_mean,fmi_mean,morans_i_mean,gearys_c_mean,endpoint_wall_seconds,training_wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,wall_seconds,training_resource_reused_across_k
MISAR_E15_5_S1,R10_FIXED_MULTISCALE,7,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16,LINEAR,0.6,GMM_DIAG,NONE,50,5,10,0.3740723663066588,0.2856961610096109,0.2872186486004322,0.1872627710785549,0.5418510874485641,0.474383836218787,0.4711535101162641,0.4034043553711243,0.46829659093327636,0.42878824237946167,0.8928587179650398,0.10813369529822138,4.64276180975139,1488.8229892998934,1476.6566874999999,261.78466796875,933.5625,1493.4657511096448,True
MISAR_E15_5_S1,R10_FIXED_MULTISCALE,7,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16,LINEAR,0.6,GMM_DIAG,NONE,5,5,1,0.3116921809331742,0.2992438270462174,0.2838925506978359,0.2227620630099588,0.5004026846776877,0.4871747467940302,0.4727083064534513,0.427377198395366,0.4698808546602944,0.4238730818990345,0.8961622855790436,0.10427399420280073,0.0,1488.8229892998934,1476.6566874999999,261.78466796875,933.5625,1488.8229892998934,True
MISAR_E15_5_S1,R10_FIXED_MULTISCALE,12,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,50,5,10,0.3559391857360121,0.29940098835395995,0.2955886200735007,0.2329719044972687,0.5887400201934055,0.5382143070701654,0.5385416356013999,0.4956326573678331,0.5345766722179253,0.4222171591884495,0.8897933624992213,0.1103392431713428,6.468362262472509,1488.8229892998934,1476.6566874999999,261.78466796875,933.5625,1495.291351562366,True
MISAR_E15_5_S1,R10_FIXED_MULTISCALE,12,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,5,5,1,0.3369145691039102,0.2987885538134203,0.2944629892897693,0.2461659945437646,0.572584850928214,0.5363234470488095,0.538779439111366,0.5114173555890886,0.5348110208441185,0.4212910867958145,0.8936806576866634,0.1062320289430109,0.0,1488.8229892998934,1476.6566874999999,261.78466796875,933.5625,1488.8229892998934,True
MISAR_E15_5_S1,R21_MCDF_STRONG_CONTRIBUTION,7,BASE_RANDOM_START,z1,NONE,16,POLY2,1.2,GMM_DIAG,NONE,50,5,10,0.4401793136249926,0.3752806047170041,0.37621289018461296,0.3091120734384567,0.5631695886138033,0.5113882881394771,0.5153452286441197,0.4747320263674405,0.5127781894270462,0.49693974011323655,0.834840318678326,0.1669358943912123,5.497661592438815,132.68264988996089,131.372884765625,354.75,933.9140625,138.1803114823997,True
MISAR_E15_5_S1,R21_MCDF_STRONG_CONTRIBUTION,7,LABEL_FREE_PARTITION_MEDOID,z1,NONE,16,POLY2,1.2,GMM_DIAG,NONE,5,5,1,0.4377279378078701,0.4082416518980457,0.39646314222447837,0.3410783039383393,0.5608546228752919,0.5253465098451905,0.5250612346368049,0.4934408667993261,0.5225145803769733,0.5148012881975148,0.8380981627457567,0.16463458570424327,0.0,132.68264988996089,131.372884765625,354.75,933.9140625,132.68264988996089,True
MISAR_E15_5_S1,R21_MCDF_STRONG_CONTRIBUTION,12,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,50,5,10,0.3737219564848733,0.3072560127117925,0.3078301422357928,0.2268933566621924,0.5890402683611319,0.5425144650107598,0.5445014531813878,0.4771199894343759,0.5405822867991895,0.43342730002918456,0.887922756977605,0.11198996932904336,6.824770262464879,132.68264988996089,131.372884765625,354.75,933.9140625,139.50742015242577,True
MISAR_E15_5_S1,R21_MCDF_STRONG_CONTRIBUTION,12,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,5,5,1,0.3367074143850305,0.2892646736293707,0.2980012545761294,0.2793560808877029,0.5680888624144212,0.5341336508659633,0.5412038306905087,0.5283558553580543,0.5372416287174726,0.4242986992378913,0.8844485498338968,0.11516785296898654,0.0,132.68264988996089,131.372884765625,354.75,933.9140625,132.68264988996089,True
MISAR_E15_5_S1,R40_MCDF_MASKED_MODALITY,7,BASE_RANDOM_START,z1,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,50,5,10,0.4872135018011183,0.40825816761220113,0.40337294827949527,0.2611467103984318,0.6190662403189457,0.5558337022765105,0.555678078737028,0.4601895282226089,0.5533334142391455,0.5193786902645794,0.9189635909762895,0.08126406380584834,5.253931580111383,120.67245355434716,118.70121289062499,354.71435546875,939.0546875,125.92638513445854,True
MISAR_E15_5_S1,R40_MCDF_MASKED_MODALITY,7,LABEL_FREE_PARTITION_MEDOID,z1,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,5,5,1,0.4534370125478145,0.4295395809944916,0.41821121079963774,0.377438883225771,0.6057251745384702,0.5760325144221862,0.5683207349161272,0.531364636166136,0.5660420010103782,0.5317329357382586,0.9208694771017027,0.07952297191113744,0.0,120.67245355434716,118.70121289062499,354.71435546875,939.0546875,120.67245355434716,True
MISAR_E15_5_S1,R40_MCDF_MASKED_MODALITY,12,BASE_RANDOM_START,z2,NONE,16,POLY2,1.2,GMM_DIAG,NONE,50,5,10,0.3580113627565773,0.3343424040361411,0.3284052696713659,0.2511114667736358,0.573573431102483,0.5527166416694084,0.5513479881818971,0.4866049535875416,0.5474466242195798,0.4520244885937811,0.8266123823114212,0.17595077682002974,6.522747363895176,120.67245355434716,118.70121289062499,354.71435546875,939.0546875,127.19520091824234,True
MISAR_E15_5_S1,R40_MCDF_MASKED_MODALITY,12,LABEL_FREE_PARTITION_MEDOID,z2,NONE,16,POLY2,1.2,GMM_DIAG,NONE,5,5,1,0.3455225962743806,0.3350326779328603,0.33716165915564156,0.3341435679506901,0.5680429086917633,0.5593736771220293,0.5596521807999914,0.5474003943917676,0.5558171070657443,0.46002990882606165,0.8253805119035486,0.17767919215779993,0.0,120.67245355434716,118.70121289062499,354.71435546875,939.0546875,120.67245355434716,True
P22,R10_FIXED_MULTISCALE,9,BASE_RANDOM_START,mcdf,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,50,5,10,0.4934436168781548,0.4150964746801493,0.4159231114011683,0.3565921318715373,0.6270579448260103,0.5942133623117763,0.5943710022032069,0.565171974175197,0.5936831252916394,0.49951895968801524,0.9444063714882169,0.05631422488764319,24.001062443479896,1898.8295051995665,1835.4368125,1137.509765625,951.20703125,1922.8305676430464,True
P22,R10_FIXED_MULTISCALE,9,LABEL_FREE_PARTITION_MEDOID,mcdf,LOW_K12_B80_S2,16,POLY2,1.2,GMM_DIAG,NONE,5,5,1,0.4487196411340914,0.4209218308879196,0.42526506387019014,0.4126894131895905,0.6156115980218065,0.5940687794159577,0.6011094164409262,0.5896270504680948,0.6004330912922621,0.507615570548385,0.9444334259624491,0.05640916204154208,0.0,1898.8295051995665,1835.4368125,1137.509765625,951.20703125,1898.8295051995665,True
P22,R21_MCDF_STRONG_CONTRIBUTION,9,BASE_RANDOM_START,mcdf,LOW_K12_B80_S2,16,NONE,0.0,KMEANS,NONE,50,5,10,0.4938950640639149,0.4486950515625448,0.45458694594757904,0.423657763564311,0.632587867729685,0.6002036167775747,0.6080848737320642,0.5843060291411079,0.607405043092745,0.536376728650625,0.9101432565932942,0.09261874066375805,28.91972714662552,656.4659253787249,652.07622265625,1591.2900390625,960.80078125,685.3856525253505,True
P22,R21_MCDF_STRONG_CONTRIBUTION,9,LABEL_FREE_PARTITION_MEDOID,mcdf,LOW_K12_B80_S2,16,NONE,0.0,KMEANS,NONE,5,5,1,0.4934630051396303,0.4485605504868092,0.45380393418402454,0.4237140670832819,0.6323337677859696,0.600192920421394,0.6077142108439695,0.5847659880935404,0.6070336485107662,0.5357479044526128,0.9102828699549042,0.09248775349891888,0.0,656.4659253787249,652.07622265625,1591.2900390625,960.80078125,656.4659253787249,True
P22,R40_MCDF_MASKED_MODALITY,9,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16,LINEAR,0.6,KMEANS,NONE,50,5,10,0.4742389499302616,0.4254911525533774,0.4311612178752279,0.3822362195034188,0.6174456103141679,0.58804808889633,0.5902443051777994,0.5678586605598919,0.5895308267656091,0.5169825160374857,0.9172187223984928,0.08557991199151094,25.33103173226118,201.13373182341456,196.203412109375,1541.435546875,1019.42578125,226.46476355567575,True
P22,R40_MCDF_MASKED_MODALITY,9,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16,LINEAR,0.6,KMEANS,NONE,5,5,1,0.472415056154955,0.4239728548976195,0.426400446972598,0.3919538796650273,0.6065419486911847,0.5883303881076908,0.5885785740777649,0.5748517417263249,0.587861151738371,0.5132207581477362,0.9169452007956036,0.08600686894208438,0.0,201.13373182341456,196.203412109375,1541.435546875,1019.42578125,201.13373182341456,True
