result_role,formal_id,dataset,cluster_k,control_id,run_count,ari_best,ari_median,ari_mean,ari_min,nmi_best,nmi_median,nmi_mean,nmi_min,ami_mean,fmi_mean,morans_i_mean,gearys_c_mean,wall_seconds,peak_rss_mib,gpu_seconds,peak_gpu_mib,candidate_id,endpoint_role,source_view,filter_id,pca_dimension,coordinate_basis,coordinate_weight,algorithm,refinement_id,backbone_seed_count,endpoint_seed_count,endpoint_wall_seconds,training_wall_seconds,training_resource_reused_across_k
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,ATAC_ONLY,30,0.5197289187261271,0.4475966057160502,0.4533231251966319,0.3824011716895352,0.6424431111018922,0.5961771919903225,0.5987126356882544,0.5404087454026285,0.597998273338186,0.5404887872957905,0.911528869193793,0.0923862170424837,18.135025629773736,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,ATAC_PLUS_COORDINATES,30,0.5532956747558102,0.4810083274521979,0.4806265674417526,0.4100331689630188,0.6566738356727742,0.6198500316529791,0.6188778907600953,0.5645592578201785,0.6182136326592507,0.5585610547907525,0.9323035061971386,0.0706725900400499,18.15495284833014,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,COORDINATE_ONLY,10,0.2855417383794632,0.2845863358377833,0.2844614690780849,0.2827266121792362,0.4642018261126118,0.4627937406363016,0.462973762776336,0.4619464742345631,0.4620779405275487,0.3820907416069826,0.9662190482307066,0.0338137682533674,4.144713802263141,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,FUSED_FULL,30,0.5691172816484583,0.4830969035359587,0.4959928831466333,0.4329522011190285,0.6851311063039861,0.6188960656975693,0.624726938323033,0.5666512302037781,0.6240685891500485,0.5721555779083918,0.9302634811823508,0.0725598484744193,18.57183414697647,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,FUSED_WITHOUT_COORDINATES,30,0.5060480059212991,0.4484706215390194,0.4437909306109733,0.3546163498252299,0.6404594207349911,0.6042273968784575,0.5965325099305806,0.5304802654228962,0.5958183143792521,0.5316591823275865,0.9174691635396488,0.0862515153269236,18.604360232129693,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,FUSED_WITHOUT_GRAPH_FILTER,30,0.5191595813141643,0.4907502340735946,0.4935710975790561,0.4800048811711299,0.654751501804936,0.6334843454973125,0.6350328753570563,0.6144144244626348,0.6343971472567573,0.569735295423962,0.9320165499451112,0.0701609707577934,24.1124468203634,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,FUSED_WITHOUT_SPATIAL_REFINEMENT,30,0.5609944832766085,0.4798470167860224,0.4916366850538052,0.4335886400080354,0.6749811898544307,0.611584015400559,0.6191220951640048,0.5670113194039702,0.6184551282360439,0.5682955314682826,0.923034728106374,0.0804569099733737,14.10986284352839,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,NIGHT14B_FROZEN_BEST,30,0.5691172816484583,0.4830969035359587,0.4959928831466333,0.4329522011190285,0.6851311063039861,0.6188960656975693,0.624726938323033,0.5666512302037781,0.6240685891500485,0.5721555779083918,0.9302634811823508,0.0725598484744193,0.0,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,RNA_ONLY,30,0.4725177256320273,0.4347077959148109,0.434562726443299,0.4067808184804872,0.6390660454673153,0.5900330217531893,0.5915805891315896,0.566874884889014,0.5908702608099776,0.5211181705952712,0.9276826380388348,0.0752831512296058,19.858949419111013,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F30_P22_K9_MAX_ARI,P22,9,RNA_PLUS_COORDINATES,30,0.5389510802403764,0.4824476694116948,0.4819081304166968,0.4161866938124912,0.6555247932903958,0.6065540655623183,0.609063633859718,0.5708164701704956,0.6083878074571117,0.5587951734083488,0.9353139967341448,0.0672355457653497,19.4236472863704,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,ATAC_ONLY,30,0.4287307937612776,0.2314867151239016,0.2475952829130677,0.1145143266082912,0.5329797345595167,0.4089020045584934,0.4102276316490195,0.3022079310978357,0.4069917845966696,0.4028097771358354,0.8984822443736831,0.1013689957013082,5.150875123217702,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,ATAC_PLUS_COORDINATES,30,0.4723932327031504,0.4237234608825425,0.4189809449670693,0.3374563935677436,0.6016099091712523,0.5575401815138596,0.5547666176316518,0.5074977457270696,0.5524342641866766,0.5313731382022856,0.9291478599124452,0.0714048477846367,5.1638702638447285,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,COORDINATE_ONLY,10,0.3861030274948576,0.37757014104522,0.3784286791462004,0.3768658525802433,0.5042171852584559,0.4912565289101389,0.4923519577836777,0.4904945943035275,0.4896406665452135,0.5004845512644706,0.9367026266512952,0.0603794863032393,0.9255996998399496,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_FULL,30,0.5099310451743241,0.4032414689331522,0.4039596409534176,0.3007253546851868,0.6289634776869945,0.5493089712340848,0.5510646318341339,0.4725983272960395,0.5486936727051988,0.5200209122867049,0.9284273475294648,0.0718747284665153,5.735366770997644,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_WITHOUT_COORDINATES,30,0.4849368965498543,0.2664352871449758,0.2647374918035892,0.1103924126483464,0.5264381056098734,0.4305461415413086,0.4308325997578108,0.2888617103035437,0.4276662622313415,0.4240273375022739,0.9003398308952179,0.0997811596357577,5.453372977674007,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_WITHOUT_GRAPH_FILTER,30,0.5143389888560751,0.4255791266780149,0.4229547975009969,0.3349539578243647,0.6017151222877158,0.5629983165683317,0.5611020253398161,0.5161771972223134,0.5587842781894844,0.5349123560289766,0.9160791265820216,0.0841922083037887,4.88755608163774,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,FUSED_WITHOUT_SPATIAL_REFINEMENT,30,0.5040846621752118,0.4028291619516656,0.4029345558787259,0.2980800517356979,0.6247506822967964,0.5525853385196182,0.5519809198148491,0.474456921471618,0.5496151513353035,0.5191845516038869,0.9248145818189238,0.0755086920580835,4.6237473879009485,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,NIGHT14B_FROZEN_BEST,30,0.5099310451743241,0.4032414689331522,0.4039596409534176,0.3007253546851868,0.6289634776869945,0.5493089712340848,0.5510646318341339,0.4725983272960395,0.5486936727051988,0.5200209122867049,0.9284273475294648,0.0718747284665153,0.0,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,RNA_ONLY,30,0.4048352152354508,0.2763097973861296,0.2567721606948302,0.1294447295369928,0.5094876139259291,0.4486311810218883,0.4439867590114659,0.3568428992063219,0.4409182948143722,0.4133470142189839,0.9028820386579628,0.0973235866566578,5.669712329283357,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F32_MISAR_K7_MAX_ARI,MISAR_E15_5_S1,7,RNA_PLUS_COORDINATES,30,0.4261603824000723,0.3739923582881094,0.3702900918017994,0.2129364756875813,0.5710103572631812,0.5192912930280638,0.5200103587274482,0.3830860469656336,0.517471244987695,0.492752739252329,0.9235880902271312,0.0758173592142542,5.279164422303438,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,ATAC_ONLY,30,0.3499400498529358,0.1731655651687304,0.1705810714212304,0.0533609798171756,0.4514047367547772,0.3964290620863526,0.392927091341182,0.3224208576837087,0.3865572403972205,0.3859461170948041,0.863389791529777,0.1368758337182349,5.115267047658563,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,ATAC_PLUS_COORDINATES,30,0.4198514473063674,0.272366855242847,0.2787105453765531,0.1931599363720383,0.5332104084265878,0.470741035978409,0.4745146316949496,0.4072262962385523,0.4697318328335257,0.4140295310525866,0.8991270220006733,0.1016690359560588,4.621271779760718,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,COORDINATE_ONLY,10,0.2410074205356446,0.226154993113637,0.2270316515146518,0.2176905634961918,0.4712456282939778,0.4657788007009531,0.4643033428330089,0.4509072439237849,0.459789358529118,0.3572105014007617,0.9220445765155534,0.0784685048796529,0.7561135906726122,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_FULL,30,0.4142752375766465,0.2649673692486146,0.2742477202194704,0.190540556325054,0.5328709531713021,0.4772601299825724,0.4754302340727795,0.4118269894536758,0.4707388704531161,0.4059981275602543,0.8999658784302705,0.101965680361984,4.516044326126576,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_WITHOUT_COORDINATES,30,0.328698789610997,0.1578601595792982,0.1682498017800612,0.0697228666196396,0.4630599995084811,0.3804988580099503,0.3843403668848987,0.3387272132542265,0.3780717304910755,0.3684008247769667,0.8687475528580199,0.1332288231424261,5.278375258669257,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_WITHOUT_GRAPH_FILTER,30,0.3176362140790136,0.2028006536653885,0.2043840454172359,0.1394013919800323,0.5097937660620435,0.4175929548278033,0.4175890918712961,0.3446948606714363,0.4121187052976143,0.3548932052610289,0.8226421642182268,0.1797000768011799,4.3762670122087,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,FUSED_WITHOUT_SPATIAL_REFINEMENT,30,0.3779416574286798,0.2622563306859753,0.2697355929162702,0.1977067302335724,0.5445974461378683,0.4957855092788626,0.4894040998734399,0.4350089488231245,0.4849163857211531,0.4003381814528445,0.8981022283994479,0.1043187591071277,3.453378802165389,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,NIGHT14B_FROZEN_BEST,30,0.4142752375766465,0.2649673692486146,0.2742477202194704,0.190540556325054,0.5328709531713021,0.4772601299825724,0.4754302340727795,0.4118269894536758,0.4707388704531161,0.4059981275602543,0.8999658784302705,0.101965680361984,0.0,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,RNA_ONLY,30,0.2145997332849027,0.1271083851958104,0.132077589518782,0.0748483814124287,0.4074529141916237,0.3809272839219116,0.3808100710748111,0.3500347351702348,0.3747525897095665,0.3183814779542889,0.8739290748300742,0.1273268964827553,4.5382805950939655,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
MATCHED_NIGHT14B_SCORE_SOURCE,F33_MISAR_K12_MAX_ARI,MISAR_E15_5_S1,12,RNA_PLUS_COORDINATES,30,0.2787164993883052,0.2046482221600224,0.21540326478289,0.1674452911608176,0.4720980317742674,0.4246419783584313,0.4273582759992964,0.3880550066483889,0.4222293346694016,0.3526636728123727,0.8942892246609838,0.1052879235895209,4.673449780791998,2008.84765625,0.0,0.0,,,,,,,,,,,,,,
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,7,,50,0.3740723663066588,0.2856961610096109,0.2872186486004322,0.1872627710785549,0.5418510874485641,0.474383836218787,0.4711535101162641,0.4034043553711243,0.46829659093327636,0.42878824237946167,0.8928587179650398,0.10813369529822138,1493.4657511096448,933.5625,1476.6566874999999,261.78466796875,R10_FIXED_MULTISCALE,BASE_RANDOM_START,z2,LOW_K12_B80_S2,16.0,LINEAR,0.6,GMM_DIAG,NONE,5.0,10.0,4.64276180975139,1488.8229892998934,True
UNSEEN_BACKBONE_SEEDS_3_TO_7,,MISAR_E15_5_S1,7,,5,0.3116921809331742,0.2992438270462174,0.2838925506978359,0.2227620630099588,0.5004026846776877,0.4871747467940302,0.4727083064534513,0.427377198395366,0.4698808546602944,0.4238730818990345,0.8961622855790436,0.10427399420280073,1488.8229892998934,933.5625,1476.6566874999999,261.78466796875,R10_FIXED_MULTISCALE,LABEL_FREE_PARTITION_MEDOID,z2,LOW_K12_B80_S2,16.0,LINEAR,0.6,GMM_DIAG,NONE,5.0,1.0,0.0,1488.8229892998934,True
