ledger_kind,source_artifact,formal_id,dataset,cluster_k,control_id,model_seed,endpoint_seed,status,known_k_unsupervised,labels_in_model_or_fit,label_policy,matrix_shape,matrix_sha256,partition_sha256,wall_seconds,gpu_seconds,peak_gpu_mib,peak_rss_mib,absolute_ari,absolute_nmi,ami,fmi,homogeneity,v_measure,morans_i,gearys_c,reused_exact_alias_of,stage,candidate_id,mechanism_family,source_view,filter_id,pca_dimension,coordinate_basis,coordinate_weight,algorithm,refinement_id,labels_in_model_or_cluster_fit,endpoint_role,medoid_source_endpoint_seed,optimizer_steps,checkpoint_sha256
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,0.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,f53b62e0f969720a148d71d381605572e5a6546dd011ff446fcb2526e33ee5b4,0.6566547807306051,0.0,0.0,1647.2890625,0.4067808184804872,0.5748809505456045,0.5741430282094339,0.4974879952206214,0.5806366632750335,0.5748809505456045,0.9293951400077428,0.0740374795983917,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,1.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,617fd700084be613b2d64ee97f83a41f1f075d338500f9366df8e87a29ec8a9f,0.653408695012331,0.0,0.0,1647.2890625,0.4312449160445071,0.5887604226423602,0.5880478595215373,0.5178744851065447,0.5956706907068239,0.5887604226423602,0.9330000096344953,0.0699538378877486,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,2.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,64d1186bfe9629b8632906cbb4b75cc01c2b97bbfda543f781958115dd6157b0,0.6552481167018414,0.0,0.0,1647.2890625,0.453993350115411,0.5908148427483053,0.5900984893933202,0.5378044694798058,0.5924107377146008,0.5908148427483053,0.921156566366973,0.0822167971131451,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,3.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,df27c581389780f178fa2ff5f3aac547e61d74b252d5acb9cf7be8bf2eec25b9,0.7568840198218822,0.0,0.0,1647.2890625,0.4378120001124692,0.5943778925543711,0.5936757674575112,0.5231718572992776,0.6019371970617029,0.5943778925543712,0.932041107065926,0.071011517035207,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,4.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,6aa453bd15e263fbc256e05d0f47066b2794536e78690ea0b55df8e353bb55fc,0.6300997845828533,0.0,0.0,1647.2890625,0.4427975229657532,0.6208483762437668,0.6201760292657242,0.5316934073054478,0.6154717465108194,0.6208483762437668,0.92562628377568,0.0771524202446216,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,5.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,cd12a2e877893a8e6ad6ef8ebb30f9d9b7c7ccdb385a2fb0a55c3b6c39ff1c35,0.6410284005105495,0.0,0.0,1647.2890625,0.436881736317654,0.5934446513979453,0.5927410963988805,0.5223396307175789,0.6011410382025366,0.5934446513979453,0.9319133902191692,0.0710272846154995,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,6.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,29c4a6ab8a23d77a8596b6c216eab6dcdf5939dcbc5020392dc10f864dcb4599,0.6332625206559896,0.0,0.0,1647.2890625,0.4084742001328657,0.5723062067525,0.5715659143678483,0.4981867552889873,0.5796262252916796,0.5723062067524999,0.9285872365098068,0.0746986678636163,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,7.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,09b3a35b5833c999e3161be2c23aec540724ac47b2236ccdbd5d6f3556a1a03d,0.6513285152614117,0.0,0.0,1647.2890625,0.4315046802979803,0.5892512007580731,0.5885395095006396,0.5180903176148663,0.5961829095411684,0.5892512007580731,0.9329390402671152,0.0700276542302027,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,8.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,c090df9561d7db99f010a69538dcd1b82ff821974882c3d2648002616b89ac0d,0.6681356746703386,0.0,0.0,1647.2890625,0.4365248861855359,0.5875273858130959,0.5868216131631698,0.5190775530941041,0.601701354510701,0.5875273858130959,0.9278341656008088,0.0741134442831067,,,,,,,,,,,,,,,,
SCORE_SOURCE_ABLATION,stage_a_score_source_v1/score_source_ablation.csv,F30_P22_K9_MAX_ARI,P22,9.0,RNA_ONLY,0.0,9.0,PASS,True,False,KNOWN_K_UNSUPERVISED_PUBLIC_LABELS_EVALUATOR_ONLY,9196x32,51ad3f5f42adcd317cce3d7e9402fa0597ff2c58ccdc39e7f54da6cf38a5ff27,f08f468072edffada4c82bb829bdaff287ed37b8b7f0a1402d4e6b853219ec02,0.6645540203899145,0.0,0.0,1647.2890625,0.4332129938682224,0.5891145584021829,0.5884039044887824,0.5189540728104546,0.5970943274824367,0.5891145584021829,0.9312229359726352,0.0715884279946885,,,,,,,,,,,,,,,,
