mode,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,dataset,lane,candidate_id,mechanism_family,config_sha256,training_seed,endpoint_seed,head,k,total_observations,evaluated_observations,delta_ari_vs_retained,delta_nmi_vs_retained,status,wall_seconds,peak_gpu_mib,peak_rss_mib,experiment_phase
SAPR_FULL,41365a7e625abdc3e684bc08f57c365293e4652a173bc772bbac59e443403a04,0.413871173237987,0.5608211473918597,0.5584292513433798,0.533248310730384,0.91542977000276,0.0844491819746274,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0624540032577224,0.0241488905766867,PASS,0.7024776712059975,30.62744140625,910.11328125,SCREEN
SAPR_RESIDUAL_DISABLED,3d187500ef3621513df7d10e5a21c4a5b86d780861c82d32004c7ab0afc2bdd6,0.38752458879475,0.547658771043311,0.5451894432100922,0.5129631728595769,0.9218389607568356,0.0777943007360859,MISAR_E15_5_S1,MISAR_E15_5_S1,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,0,GMM_TIED+REFINE_T0.50_S1,7,1949,1949,0.0361074188144854,0.010986514228138,PASS,0.7024776712059975,30.62744140625,910.11328125,SCREEN
RETAINED_TEACHER,2d2dd19e9e9bb20cc27f7029d5b14bcb154c0738e8d5bcda56355c7eb1ea1553,0.3561334252217696,0.5778900366307157,0.574222982664307,0.4774940691101633,0.8696600857674022,0.1306894984666931,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,1,GMM_TIED+REFINE_T0.50_S2,12,1949,1949,0.0,0.0,PASS,0.7872344572097063,30.74267578125,913.09375,SCREEN
SAPR_FULL,33af22f158d8c222b6c75747f7aac22e6c9b04f7faeadc3fe77a811628878d6d,0.369679948984031,0.5884866274566432,0.5849280328023791,0.490655051423185,0.8683815156642517,0.1318947422238554,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,1,GMM_TIED+REFINE_T0.50_S2,12,1949,1949,0.0135465237622613,0.0105965908259274,PASS,0.7872344572097063,30.74267578125,913.09375,SCREEN
SAPR_RESIDUAL_DISABLED,51b878a71fb1f96dea572f06f42de1f3134866f0606da38f52cb602a04407af4,0.3834585155530787,0.5972648446132768,0.5938011074614743,0.5041081039575653,0.8635385872656536,0.1366554213338312,MISAR_E15_5_S1,MISAR_E15_5_S1_K12,S10_STABILITY_TRUST,STABILITY_TRUST,2f2ea9ce813f4c4bd7257134e64a098b95993fac25917891b267d78f3a60dfd2,0,1,GMM_TIED+REFINE_T0.50_S2,12,1949,1949,0.027325090331309,0.019374807982561,PASS,0.7872344572097063,30.74267578125,913.09375,SCREEN
RETAINED_TEACHER,778247f76e4d3e1a47fee244da2297fa1b48dcd34db7ff29a9bd5960b8065aa7,0.2389411529541879,0.3928634402768866,0.3889277017461162,0.3845863966718307,0.5687759284703141,0.4327094670922682,A1,A1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,0.0,0.0,PASS,1.143271530047059,41.298828125,915.30859375,SCREEN
SAPR_FULL,28a3a083d9f6f44638c576d419e9dc9a4d3db348dd8a552fbe8da25092aada98,0.2448890390374284,0.4006296152491415,0.3967958287527029,0.38561203669006,0.5040821658391864,0.4958284074229314,A1,A1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,0.0059478860832404,0.0077661749722549,PASS,1.143271530047059,41.298828125,915.30859375,SCREEN
SAPR_RESIDUAL_DISABLED,9f2670ed13fd0cbc19f900b51d06041ecc9ff53fadd7bf0addfe145d21257949,0.2333989895286407,0.387098305311328,0.3831801882962093,0.3754166663242295,0.4970624778327748,0.5020876014497138,A1,A1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED+REFINE_T0.90_S1,10,3484,3484,-0.0055421634255472,-0.0057651349655585,PASS,1.143271530047059,41.298828125,915.30859375,SCREEN
RETAINED_TEACHER,fbf21dccbcc67855181353238b59953ff541b726bf30071dc89554854273d1a9,0.1607414481055021,0.2909157780169758,0.2902764283261132,0.4628878767302947,0.6797173099658796,0.3200961126889805,tonsil_s1,tonsil_s1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED,4,4326,4326,0.0,0.0,PASS,1.1151725109666586,46.55224609375,918.50390625,SCREEN
SAPR_FULL,d5bc772d343b158fdcf3535a243894d322dfedaf8a7bf97a55677059688fa184,0.1698688006720617,0.2843101633283153,0.2836814904764802,0.4588560032858664,0.6980776252195646,0.3020171988689563,tonsil_s1,tonsil_s1,S11_STABILITY_TRUST_STRONG,STABILITY_TRUST,69d2253d45f67bc747c10e897344351c5adc8588dcce18b3e5431c814b353f67,0,0,GMM_TIED,4,4326,4326,0.0091273525665596,-0.0066056146886604,PASS,1.1151725109666586,46.55224609375,918.50390625,SCREEN
