dataset,lane,phase,embedding_id,head,training_seed,endpoint_seed,k,total_observations,evaluated_observations,partition_sha256,wall_seconds,status,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,embedding_rank,teacher_mean_pairwise_ari
P22,P22,COARSE,F00_R02__ID,KMEANS,NOT_APPLICABLE,0,9,9196,9196,94f1060ffadaf0598d1c61cdf0a4c6456a16b58ddd1e8a455ec7bc91ac92e6ca,2.625065000000177,PASS,0.4247724736792881,0.5703484179385434,0.5696147290947745,0.5087211323819595,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.50_S1,NOT_APPLICABLE,0,9,9196,9196,3816e1ecf86dfe3c4b0c3f75e458091ebb99e9f6675b89c39d82c924fb68463c,2.64199259999441,PASS,0.4478056475906229,0.6006229021928515,0.5999386019911014,0.5291113843594066,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.50_S2,NOT_APPLICABLE,0,9,9196,9196,1cd55b3571ce3324f4687fe23004c165b02c98f018a0b329ba24e0d10e5b7a04,2.659396299990476,PASS,0.45014921946346453,0.6084206403613895,0.6077491299397798,0.5312208204205037,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.50_S3,NOT_APPLICABLE,0,9,9196,9196,b3a5e55084fc71265d9296e6915e2f30244ac3f36a3cd7aad87341c96858dcd8,2.678555199992843,PASS,0.4462859321975447,0.6073889042394222,0.6067154274309448,0.5279243118768195,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.65_S1,NOT_APPLICABLE,0,9,9196,9196,26e0dda5b6d4d7ad19ee62e03be71fc5deca07b458b538373642238cba323c5d,2.6950882999954047,PASS,0.44695972733941014,0.5957619621688532,0.5950692499871105,0.528478745810278,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.65_S2,NOT_APPLICABLE,0,9,9196,9196,3eb35f6d4d79705cd1124102f972cb486217cdaab86a0a16210705012367c8d0,2.712537799990969,PASS,0.44944468985893526,0.5993572816507834,0.5986702805119191,0.5307384081624017,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.65_S3,NOT_APPLICABLE,0,9,9196,9196,2d8e98c4d96f602d884e99422db3fdcbc5482daaa451c4b73a60067e4454cec9,2.7268602999974973,PASS,0.44945965052270914,0.5997264124705671,0.5990400245731997,0.5307579003655762,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.80_S1,NOT_APPLICABLE,0,9,9196,9196,b4d623c9eae0afab0cdc3cb5f0186f67cfb404e4d35c5e10feea4580c5f320db,2.7396794999949634,PASS,0.43835976214824923,0.5844414764544072,0.5837301660813684,0.5208863515228437,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.80_S2,NOT_APPLICABLE,0,9,9196,9196,975846c67306af8f9e4b554bea56588fcd79616b1d0a2d856f2c7b85356c8576,2.7529418999911286,PASS,0.44081880491759595,0.5871148475651679,0.5864077246800445,0.5231048045102794,,,,
P22,P22,COARSE,F00_R02__ID,KMEANS+REFINE_T0.80_S3,NOT_APPLICABLE,0,9,9196,9196,20f6cb89f44167acaf24f16ad53c64c5b8435656d78aca4919562c689f3c7166,2.768450199990184,PASS,0.4410659215113941,0.5874077778587745,0.5867011134587624,0.5233293509528951,,,,
P22,P22,COARSE,F00_R02__PCA16,KMEANS,NOT_APPLICABLE,0,9,9196,9196,e85191e7c5008904567835ffe5eafda24bffe5ceddddbe8a6ac2257a29c1a7eb,0.06175300000177231,PASS,0.424065676485895,0.5695552232380597,0.568820027880349,0.5081446014851295,,,,
P22,P22,COARSE,F00_R02__PCA16,KMEANS+REFINE_T0.50_S1,NOT_APPLICABLE,0,9,9196,9196,320c47e67edcb3c7dec1f08631485c0921de610e8ec9b217994a81e7bc822493,0.07783359999302775,PASS,0.45516704944590525,0.6057063004561103,0.6050287432903828,0.5360544533174929,,,,
P22,P22,COARSE,F00_R02__PCA16,KMEANS+REFINE_T0.50_S2,NOT_APPLICABLE,0,9,9196,9196,c604484d12eed809de98bc80b3c9d13fbfe9508f8e8b84db7bd858f4329bffec,0.09159399999771267,PASS,0.46258099518946827,0.6169640782737434,0.6163041216131787,0.542921015814313,,,,
P22,P22,COARSE,F00_R02__PCA16,KMEANS+REFINE_T0.50_S3,NOT_APPLICABLE,0,9,9196,9196,2d28e2ede7934b3e436fa2ad6600c739b9470dc5f1f2baad0efb461d7e563b5a,0.10598530000424944,PASS,0.4646713308201879,0.6224263265836221,0.6217742525744808,0.5451937855217773,,,,
P22,P22,COARSE,F00_R02__PCA16,KMEANS+REFINE_T0.65_S1,NOT_APPLICABLE,0,9,9196,9196,aa9774e8f3558fd569ab789dda709fa6cde4538e1e012c60a8d250c09f4d1a58,0.12047339999116957,PASS,0.4463766166617003,0.5954219521691708,0.5947285458202056,0.5279952408864839,,,,
