export,dataset,lane,candidate_id,training_seed,endpoint_seed,head,mode,k,total_observations,evaluated_observations,partition_sha256,absolute_ari,absolute_nmi,ami,fmi,morans_i,gearys_c,delta_ari_vs_retained,delta_nmi_vs_retained,status
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s2_seed1.npz,tonsil_s2,tonsil_s2,S22_CROSS_VIEW_BALANCED,1,1,GMM_TIED+REFINE_T0.80_S5,SAPR_FULL,4,4519,4518,c57d1dc927097e8ad440ba30f4ae8fb7736d2da4997c2e61c1870921afc7c4ab,0.16115548106281932,0.19250777872674155,0.19183645117445106,0.44889252924105383,0.5999729028216707,0.39906198410901916,-0.051850162546515144,-0.06209071200785968,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s2_seed1.npz,tonsil_s2,tonsil_s2,S22_CROSS_VIEW_BALANCED,1,1,GMM_TIED+REFINE_T0.80_S5,SAPR_RESIDUAL_DISABLED,4,4519,4518,158d11ae7301480f94f14a5288e7d96e5669bd7b023dcaf9d629e8b210769273,0.1650648461972819,0.26710725214954506,0.26645868951179935,0.4803231101411022,0.7004126291232815,0.2975163798649135,-0.047940797412052566,0.012508761414943836,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s2_seed2.npz,tonsil_s2,tonsil_s2,S22_CROSS_VIEW_BALANCED,2,1,GMM_TIED+REFINE_T0.80_S5,RETAINED_TEACHER,4,4519,4518,bd0eab4b91938b2046e140cbbb5fa89284cb9c50378ab2350ead354e25a76aeb,0.21300564360933447,0.2545984907346012,0.2539431928016543,0.5001198091734315,0.6756306766258559,0.31966999515312405,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s2_seed2.npz,tonsil_s2,tonsil_s2,S22_CROSS_VIEW_BALANCED,2,1,GMM_TIED+REFINE_T0.80_S5,SAPR_FULL,4,4519,4518,1dc0e2c85b4eacbaf9196cc2d20b011d215620bf131a0bed73e0e7997f025168,0.13242557112580436,0.1727745156605592,0.17205944847011143,0.447993243690492,0.6028088294162687,0.3947476298262768,-0.08058007248353011,-0.08182397507404202,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s2_seed2.npz,tonsil_s2,tonsil_s2,S22_CROSS_VIEW_BALANCED,2,1,GMM_TIED+REFINE_T0.80_S5,SAPR_RESIDUAL_DISABLED,4,4519,4518,3bc636d5c44c430d900f583d51440acc56dca627d748e86e34b530f7a4dbf584,0.23493513207979705,0.2522804581449747,0.251648673926745,0.506246493746972,0.6375203060936028,0.36122149043991286,0.021929488470462583,-0.0023180325896265397,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed0.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,0,0,KMEANS+REFINE_T0.80_S3,RETAINED_TEACHER,4,4521,4460,8e046b2667cbfb8aa2bc93b4e751024bc393677f752215a9f36ce76660f0810f,0.1181334304842995,0.212855324057226,0.2121312363789494,0.46833096245823347,0.7073735613552935,0.2971996434531818,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed0.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,0,0,KMEANS+REFINE_T0.80_S3,SAPR_FULL,4,4521,4460,ee4d4fb1cd196ddbe416a9ad1fcd667f192f2f10101746066b0938fecf325f82,0.05264340921392537,0.08790363845140725,0.0870531289020561,0.42911599472938333,0.6488280993332118,0.3594840108911742,-0.06549002127037412,-0.12495168560581874,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed0.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,0,0,KMEANS+REFINE_T0.80_S3,SAPR_RESIDUAL_DISABLED,4,4521,4460,313ffa5bf5cd726400082399f3f254201d02975f1e24531bac2eee7549d8071d,0.09967159857676086,0.14484402915051642,0.14412518985525039,0.4073957837192845,0.6256168295996346,0.3761970981379648,-0.01846183190753864,-0.06801129490670957,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed1.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,1,0,KMEANS+REFINE_T0.80_S3,RETAINED_TEACHER,4,4521,4460,8e046b2667cbfb8aa2bc93b4e751024bc393677f752215a9f36ce76660f0810f,0.1181334304842995,0.212855324057226,0.2121312363789494,0.46833096245823347,0.7073735613552935,0.2971996434531818,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed1.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,1,0,KMEANS+REFINE_T0.80_S3,SAPR_FULL,4,4521,4460,c395f2cd3e95993be637d4b6dfcc99ea1c58db60967545ce4714762e071acc9f,0.04468197901963339,0.07347434543382199,0.0726126655057679,0.42320055814471147,0.6104863641817275,0.3979614764450898,-0.07345145146466611,-0.13938097862340398,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed1.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,1,0,KMEANS+REFINE_T0.80_S3,SAPR_RESIDUAL_DISABLED,4,4521,4460,34e2e679704a93dff40fae26ca3037344f8ae54d417a528049dbda340d4862ae,0.1662344430633291,0.16319855563177244,0.16248368448506853,0.46193976602212705,0.6629534354144753,0.34217657762231707,0.0481010125790296,-0.04965676842545355,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed2.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,2,0,KMEANS+REFINE_T0.80_S3,RETAINED_TEACHER,4,4521,4460,8e046b2667cbfb8aa2bc93b4e751024bc393677f752215a9f36ce76660f0810f,0.1181334304842995,0.212855324057226,0.2121312363789494,0.46833096245823347,0.7073735613552935,0.2971996434531818,0.0,0.0,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed2.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,2,0,KMEANS+REFINE_T0.80_S3,SAPR_FULL,4,4521,4460,02adbd4be82e694a9dc136fd2bbd97f0d99d506e3464065299684a03acdfcc89,0.048623558471402595,0.09171812147701763,0.09086557608767826,0.43067144814366853,0.6430133042075723,0.36463309355214935,-0.0695098720128969,-0.12113720258020835,PASS
CONFIRM_S22_CROSS_VIEW_BALANCED_tonsil_s3_seed2.npz,tonsil_s3,tonsil_s3,S22_CROSS_VIEW_BALANCED,2,0,KMEANS+REFINE_T0.80_S3,SAPR_RESIDUAL_DISABLED,4,4521,4460,6b9d278e09295496dca47ed44eec9f7e55eb504b0ea5b6c0d9b258dc40526d70,0.1318884973890734,0.13970410698276264,0.13896925748418662,0.4384768126687051,0.6521808746515209,0.3523838613776717,0.013755066904773905,-0.07315121707446334,PASS
FINAL_S10_STABILITY_TRUST_A1_seed1.npz,A1,A1,S10_STABILITY_TRUST,1,0,GMM_TIED+REFINE_T0.90_S1,RETAINED_TEACHER,10,3484,3484,a69fa50a19237c276714f41eb1cca530ec0eecb425406a23113d1db59b2e2b13,0.25782914756718833,0.4140557787969627,0.41024789351203395,0.40073589352147043,0.5370720448976315,0.4656225601710234,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_A1_seed1.npz,A1,A1,S10_STABILITY_TRUST,1,0,GMM_TIED+REFINE_T0.90_S1,SAPR_FULL,10,3484,3484,4faa6e98b5b23a7ea83a00e856e1d5d02d4373ac97f61cb859466cd33c9aeb4f,0.2555907913949112,0.401820478403163,0.3979827501234613,0.39527796323209013,0.4940617337378126,0.5093590728586918,-0.002238356172277134,-0.01223530039379972,PASS
FINAL_S10_STABILITY_TRUST_A1_seed1.npz,A1,A1,S10_STABILITY_TRUST,1,0,GMM_TIED+REFINE_T0.90_S1,SAPR_RESIDUAL_DISABLED,10,3484,3484,4fac649174ec1709f6761f012bc3935d1df47d8dd8568a3e0c1aeb8c6cc636d0,0.2287387904131895,0.3896170153641099,0.3857367175784686,0.37051475014449725,0.5062500358100117,0.49454959473904864,-0.029090357153998825,-0.024438763432852784,PASS
FINAL_S10_STABILITY_TRUST_A1_seed2.npz,A1,A1,S10_STABILITY_TRUST,2,0,GMM_TIED+REFINE_T0.90_S1,RETAINED_TEACHER,10,3484,3484,a69fa50a19237c276714f41eb1cca530ec0eecb425406a23113d1db59b2e2b13,0.25782914756718833,0.4140557787969627,0.41024789351203395,0.40073589352147043,0.5370720448976315,0.4656225601710234,0.0,0.0,PASS
FINAL_S10_STABILITY_TRUST_A1_seed2.npz,A1,A1,S10_STABILITY_TRUST,2,0,GMM_TIED+REFINE_T0.90_S1,SAPR_FULL,10,3484,3484,15dbb05c65f2c66df2cbaa37bf7c7148d93709ed7ddd528f93277f7b7771e59e,0.24920067226459205,0.3961055631404031,0.3922930055107139,0.3865467551781827,0.46350506700038097,0.5349383031690575,-0.008628475302596278,-0.017950215656559576,PASS
