step,fraction_of_training,state_sha256,state_file_saved
0,0.0,5433a390e72bc7bf9cc8e07c3d33f178a13bc7e6ac6235caef81251a9d5caf94,False
1,0.000625,da9ad04cadef06eceb6b191dbb0bd1c872a30ecbad1fdf45f82fe5e119125470,False
5,0.003125,d7d8dceb805d2430d2c660df726e6a338738aa2e06867635005bac207b374009,False
10,0.00625,8e7f40479d7c5e1a0f132b4610473991766ffedefaee5af31f386e5bbbd89e57,False
20,0.0125,7386b17dacf5b95463d19bc1ad604fb1d1d5ef0cde76464321ec0c09c9a47626,False
40,0.025,5ed767f8884704424aa82b7a894f9f4253a5e22971e419fa48bd76fba88f7b9f,False
80,0.05,56dd44fb68fa70a7ad2853986c33beeab1a42e531f8e15e581638009b711e74b,False
320,0.2,ae314d963446b07f52d33ee73ef4d9f06aff6559293da6b3d0595c6209f38185,False
800,0.5,4dec7b1cb687e4cac13a7bc21b13a35d12abe685563068cc8feb71a96f6f8065,False
1600,1.0,af0e99a3903af7a391b8d4014264645c37d1e7ac20a68e101953a249bbaa0f6c,True
