step,fraction_of_training,diagnostic_parameter_state_unchanged,diagnostic_grad_fields_unchanged,diagnostic_rng_state_unchanged,diagnostic_optimizer_state_unchanged,rna_recon_raw_rms_gradient,rna_recon_weighted_gradient_influence,rna_recon_weighted_gradient_share,mod2_recon_raw_rms_gradient,mod2_recon_weighted_gradient_influence,mod2_recon_weighted_gradient_share,corr1_raw_rms_gradient,corr1_weighted_gradient_influence,corr1_weighted_gradient_share,corr2_raw_rms_gradient,corr2_weighted_gradient_influence,corr2_weighted_gradient_share
0,0.0,True,True,True,True,7.344319343491451e-06,1.1016479015237175e-05,0.007782941665794337,0.0002123452481865336,0.001061726240932668,0.7500902408830264,0.0001473618250226471,0.00022104273753397065,0.15616266590213662,0.00012167922005182371,0.00012167922005182371,0.08596415154904265
1,0.000625,True,True,True,True,6.877376320085899e-06,1.0316064480128848e-05,0.007582620283300692,0.00020341756160473847,0.0010170878080236923,0.7475903875817926,0.00014305499599392876,0.00021458249399089314,0.15772464145709494,0.0001185017094871539,0.0001185017094871539,0.08710235067781161
5,0.003125,True,True,True,True,5.091125182195583e-06,7.636687773293375e-06,0.00656419143744171,0.00016890212642896264,0.0008445106321448132,0.7259075694753437,0.0001365170720099268,0.0002047756080148902,0.1760169241734722,0.00010646297360153464,0.00010646297360153464,0.09151131491374243
10,0.00625,True,True,True,True,4.340208974044438e-06,6.510313461066657e-06,0.006227528666001203,0.00014692440750559762,0.0007346220375279881,0.702712676546331,0.00014084585790092864,0.00021126878685139296,0.20209202432670345,9.30076928903203e-05,9.30076928903203e-05,0.08896777046096455
20,0.0125,True,True,True,True,4.281799455060124e-06,6.422699182590186e-06,0.00684766992088501,0.0001265350908800134,0.0006326754544000669,0.6745376913371827,0.00015171533912511527,0.0002275730086876729,0.2426308320059639,7.126820349864671e-05,7.126820349864671e-05,0.07598380673596841
40,0.025,True,True,True,True,4.752991483421309e-06,7.129487225131963e-06,0.008745378895488317,0.00010464936497550703,0.0005232468248775352,0.6418402326726336,0.0001604555931268798,0.0002406833896903197,0.29523405684387805,4.416938208467313e-05,4.416938208467313e-05,0.05418033158800006
80,0.05,True,True,True,True,4.86034135330524e-06,7.29051202995786e-06,0.01053105650492291,8.497634694934162e-05,0.0004248817347467081,0.6137365301834793,0.00015729966273388585,0.00023594949410082877,0.3408261922445748,2.416511814275597e-05,2.416511814275597e-05,0.034906221067023166
320,0.2,True,True,True,True,5.198807100674332e-06,7.798210651011498e-06,0.019427408280022297,4.14427870730299e-05,0.0002072139353651495,0.5162247987141447,0.00011163720964176794,0.0001674558144626519,0.41717678862748175,1.893456005351149e-05,1.893456005351149e-05,0.04717100437835123
800,0.5,True,True,True,True,4.232097184261513e-06,6.348145776392269e-06,0.03046694734942858,1.966220501925953e-05,9.831102509629765e-05,0.4718286143673725,5.997647067620218e-05,8.996470601430328e-05,0.4317717421735572,1.3737850449346948e-05,1.3737850449346948e-05,0.06593269610964174
1600,1.0,True,True,True,True,3.572206528832419e-06,5.358309793248628e-06,0.034330921302667065,1.4971587891886381e-05,7.485793945943191e-05,0.47961803770652683,4.597833678559037e-05,6.896750517838555e-05,0.4418777719242211,6.894486115084261e-06,6.894486115084261e-06,0.0441732690665849
