fraction_of_training,state_file_saved,state_sha256,step
0.0,False,923869d99b630c8cb39ff6aeff4ac6f215938e04cf84fa567fcab15c02f5e27d,0
0.005,False,f2fdd95a04141af45289b0d9e496453949416a87de0f5d83826dd71db119d6a0,1
0.025,False,3fde474e3a877fc6c4e2ce06bd20e9fe590e979460f3599b44a9232cb5d99837,5
0.05,False,c206165f7cf197eb62ebe21e2117e153ac89b17c569ac7a910c17e323c1231dc,10
0.1,False,a334836adc86e4618934c019e11bc11198e303faf2414d1c2f8dd162c8cabc62,20
0.2,False,b1b6c0102750a761707939e0b385b5805ede11526d7b9777d9c15282d7067b9b,40
0.4,False,9979c625bd3f5834ab02445e8e10423b497bc3288853f5fab78c6f67fefaf804,80
0.5,False,53e4eea45cb37f1b129d968d144a761964ce335ba9c17604d9b1c7883aec8f25,100
1.0,False,ee9c0cd66247a63143b7eafc2a508948cb231982b28868ef5ebe07a1c906216a,200
