ari,boundary_disagreement,candidate_id,effective_end_to_end_runtime_seconds,gpu_peak_allocated_mib,manifest_sha256,nmi,q,seed,spatial_cluster_geary_mean,spatial_cluster_moran_mean,spatial_neighbor_agreement
0.350295463134889,0.18666461275950327,B00_C00_FULL_IGE,40.440523566678166,1511.49072265625,d279f58020c7109d8c773207051f4d385053761b396159ebc9bbe39732d0fc7d,0.5364763657757007,0.44338591445529485,0,0.21525689721147506,0.7918702454658626,0.8208460200086994
0.37375926575587815,0.19210351692103517,B00_C00_FULL_IGE,41.276434345170856,1511.49072265625,2a73943b1938ad7c50cceb9309d209391d8c3e2816e106715cda39fff6763d28,0.5449363700224794,0.4593478178891788,1,0.2152949157948309,0.790457099812791,0.8156331557198782
0.44045514416282044,0.1743767181723386,B00_C00_FULL_IGE,41.591870073229074,1511.49072265625,1163f2b6775ad5b7c301f8c5131a52b4cc2158bf01a77881800f38f9af8cbc5c,0.5643861642313074,0.5024206541970639,2,0.21705263120807156,0.7905512696059989,0.8334262179208352
0.38223214758839263,0.19883401270262585,B00_C00_FULL_IGE,41.094448858872056,1511.49072265625,a98d4454e6417f9166b96ee0353574d7636f00c0a2ff7a408370c45f5b941b63,0.5545254612192911,0.4683788044038419,3,0.22199386218665154,0.7839965066603223,0.8089794475859069
0.42924486244338084,0.17085742724428857,B00_C00_FULL_IGE,41.911255087703466,1511.49072265625,e57edf580d3dc7ba3893b8b61b36e23096ee8e1f3f4987acc7c8f178fa52d4fd,0.5652429837454548,0.4972439230944178,4,0.21046785408977156,0.7974606775190562,0.8366749130056547
0.34123532723809874,0.20132240022750972,B00_C00_FULL_IGE,43.02196672745049,1510.7958984375,2dd1642cdb41c07dc0453018b54f510d6c88e405ae70c2f0d0d8cd1cd5157fb6,0.52419046694844,0.4327128970932693,5,0.22717700524632045,0.7799935488870958,0.8067298281861679
0.37663264703609983,0.18972177457578918,B00_C00_FULL_IGE,42.763941910117865,1519.4248046875,ee4d9f481e1829eee74d739bd3340e86f2a05be48d84b2c22399ef646ec75225,0.5253063318749494,0.4509694894555246,6,0.2252028530081991,0.7828647097547171,0.8184672683775555
0.31637336220231255,0.1799222675135084,B00_C00_FULL_IGE,42.758292839862406,1517.10107421875,474e5191a456fa8e26d1dc9841c527a3aa086ce7505059d198e882d69132d119,0.5258540523030194,0.42111370725266595,7,0.22329557530424615,0.7852337907548863,0.8274725424097433
0.31632527144845435,0.15970708123992797,B00_C00_FULL_IGE,42.50198421161622,1519.4248046875,ba549fcb66d7c264f70c8e220e15790971cdfcfc248f5f7caf299bbcf5d0b266,0.5290391419221767,0.42268220668531553,8,0.21896911695067556,0.7898905390766612,0.8475492061765986
0.39942288577539486,0.1970565930419945,B00_C00_FULL_IGE,42.78961859922856,1517.10107421875,c0d85dd1db6f39236debdf0ec4a7ced88fc83f15efa74cdf2530c2b66f00451e,0.5417143005272754,0.47056859315133515,9,0.2305548579306216,0.7775255946408879,0.8113581992170509
0.40152760335835197,0.19948573324485733,B01_C04_SHRINK25,42.597642881795764,1632.60888671875,f26580900991cdce5b89fd9591d56503492edc14b11c1fa1c423d12d481fa5a0,0.5375945232582662,0.46956106330830905,0,0.24404914924754795,0.7644793189015792,0.8078240539364941
0.4386071312232316,0.17508768603659114,B01_C04_SHRINK25,42.24754921719432,1631.056640625,ed6bc9092bea49a67a21c2ed23898c9d2418d4afe3adb9264536678607703c84,0.569666212590529,0.5041366719068803,1,0.23287249837595989,0.7738730108544956,0.8319377990430622
0.34503574766077383,0.17483884728410276,B01_C04_SHRINK25,42.49942160304636,1632.75048828125,f9e6c411a2686b34a8ff40967f15d2cd68f9d4c3ff45cd9356afd704815cac82,0.5152622421322681,0.430148994896521,2,0.261232289864838,0.7500236984782402,0.8315843845150065
0.38887145975187876,0.17150914778652004,B01_C04_SHRINK25,40.77871936839074,1631.056640625,fb975a1831c09f7fc44b8b5d87846d2fba41d137834d4d68c632c2619d4664ed,0.5548388551186998,0.4718551574352893,3,0.23158027296648204,0.777672699144109,0.8348058938668986
0.41998865722116613,0.18288463361456062,B01_C04_SHRINK25,42.373231961391866,1632.75048828125,ce1520e9f210228e4c9c718a5d169dc9d5d3b72b5c75ab374a3a84c33a6d1df1,0.5515499993206688,0.48576932827091746,4,0.23642435764132172,0.7711343507958329,0.8242238473249239
0.3980845552777838,0.19901175466868898,B01_C04_SHRINK25,42.035001834854484,1630.900390625,9782c04fafaf7e8a7b09646e02acdc5dba1d7994f231bae7bec7b0c6700d9220,0.5352535994123521,0.4666690773450679,5,0.24407591328921333,0.7639147182236545,0.8085240865593737
