fraction_of_training,state_file_saved,state_sha256,step
0.0,False,bb57e92b5764579114a1c6ddd18da72ae18bcf09aad986f0b44fcd2101f65279,0
0.000625,False,dc6bd7462e62ddf1bb2a6cefc27ff86793895e39517b451b8ff6f819d5f49b4b,1
0.003125,False,b2d688496a99f2471a9df1c82bb57ce3a4657bb017d80a648ec766b6c0f41c06,5
0.00625,False,64973907dd77541de2fe22fb8a8516d4b3f87c74fe839a45ec664e4369fcc4e5,10
0.0125,False,7dae7fc4889e2f3d34ee1f833b86171f5931f1caa582a6bcd8e7c630a77b884d,20
0.025,False,44fa9bd7ce5fcc67d3d2653184bf7edbae905cb15e5424cb4c22fd344ebe338b,40
0.05,False,52e1d19e0dd1160e8d582ae7db3a831b2c648d0dedabe65337b18a5322780f1b,80
0.2,False,ab528446793094e5a397a9cb2a4ace1daa6d4f51cf92f8a41a9afe298d7271a7,320
0.5,False,6cb152609744ca1945356dff68cd1582a1a6ebd13b8e628cc128b356ea9c2b1d,800
1.0,False,2cd7a88ea480725e2929ba4f09dd6359b287dc004f65d9b61e096e7a85859b90,1600
