lane,candidate_id,config_id,arm,endpoint_seed,ari,nmi,ami,fmi,neighbor_agreement,moran_macro_ovr,geary_macro_ovr,min_cluster_size,cluster_sizes,min_internal_spatial_edges,internal_spatial_edges,partition_sha256,evaluator_label_reads,operator_nnz,candidate_wall_seconds,producer_total_wall_seconds,producer_peak_rss_mib,gpu_seconds
P22_K9,S02_MESOSCALE__RNA_ONLY_DIFFUSION__E0,S02_MESOSCALE,RNA_ONLY_DIFFUSION,0,0.22217930081884116,0.34085327286641703,0.3396940515500365,0.34294439845308455,0.5179128842763586,0.41559388682293147,0.584795650331658,314,"[988,1288,1876,464,2141,361,398,314,1366]",241,"[1061,828,2103,439,3019,241,453,260,1226]",5b81b4ab0d7bf2c05369264cb74d82574094c932abccbfdb6eacf4280c30ea6b,1,145944,0.6090657711029053,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__ATAC_ONLY_DIFFUSION__E0,S02_MESOSCALE,ATAC_ONLY_DIFFUSION,0,0.016593402727195554,0.11794664762656441,0.11607230093669185,0.27619335429538916,0.6078854749847785,0.2675436791230194,0.7337608726053637,109,"[5990,654,472,381,279,247,331,733,109]",39,"[9517,156,249,39,91,248,397,524,56]",86dab1899a1f6057bf2c157e22fd932bb9d3516d72918c0a72b46e8eb6e1ca96,1,94934,0.5945789813995361,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__SPATIAL_ONLY_DIFFUSION__E0,S02_MESOSCALE,SPATIAL_ONLY_DIFFUSION,0,0.2928127184199524,0.473251162350893,0.4723705980508145,0.389843325373518,0.9730734471427086,0.9698777707739725,0.030112158022789666,779,"[1169,941,1216,824,1039,779,1102,1011,1115]",1536,"[2324,1875,2346,1631,2069,1536,2163,1990,2152]",75d3c3250c48ec1b11c8891cd3b267728fb5a2f8987b5730cb60c1f37cc8053c,1,73662,0.9645106792449951,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__CONCATENATED_FEATURE_KNN__E0,S02_MESOSCALE,CONCATENATED_FEATURE_KNN,0,0.2032913482339316,0.3316337424638897,0.330404023416966,0.34182343831409484,0.554005373663744,0.47906090239182286,0.5217924801983901,133,"[495,2003,2639,453,1906,377,1010,180,133]",112,"[632,1635,3470,544,2821,451,387,244,112]",60146097bab665de658a1e16c6d9e6b851455ceb043720be3ed2b76c150650b6,1,113080,0.5061657428741455,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__SIMPLE_OPERATOR_AVERAGE__E0,S02_MESOSCALE,SIMPLE_OPERATOR_AVERAGE,0,0.4121390355280121,0.5406944736702012,0.5399095751252985,0.4978606020562297,0.8038959592509541,0.7646022272944536,0.23555487291945396,543,"[1347,543,1146,934,674,2086,549,1230,687]",793,"[2209,793,1473,1434,1013,3821,977,2078,1141]",d45b9439ecff4c668f5cdf66bda449ceb2cb2ff41d07c4cea8b645cef89d741e,1,236150,0.6150245666503906,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__CLASSICAL_ALTERNATING_RA__E0,S02_MESOSCALE,CLASSICAL_ALTERNATING_RA,0,0.24842271074754926,0.3477827209502389,0.34665355969889106,0.3604705046674178,0.5342025847895403,0.45974425167090527,0.5402199676292392,331,"[666,1843,1893,1322,846,1269,331,578,448]",324,"[731,1421,2743,1468,869,1361,370,642,324]",031cb38de5ac34cd5d3a113cecf643bf6a5ada32913fdd9a4552ff80567459a7,1,263089,1.4198720455169678,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__SPATIALLY_ANCHORED_ALTERNATING__E0,S02_MESOSCALE,SPATIALLY_ANCHORED_ALTERNATING,0,0.25264138624402355,0.3336345947929876,0.33247622627309054,0.36572438798977835,0.5416134886809385,0.4368590119810007,0.5629802509136592,335,"[1574,335,1872,921,706,731,1988,664,405]",292,"[1699,319,2130,923,676,797,2739,480,292]",33ef50ad7aedf72d4a3466f6b41de132e1c3728022c79a460bb0d5895e111d47,1,294293,2.0960793495178223,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__CSAD_FULL__E0,S02_MESOSCALE,CSAD_FULL,0,0.2656041589360461,0.34591077176806384,0.3447996489983107,0.37035951710180315,0.5191893680800554,0.4456733738649572,0.5543841554370423,663,"[697,686,1649,1838,969,1013,1001,663,680]",510,"[510,756,1249,2649,970,1088,989,777,644]",6fab05d26f422edddd0aca9f04cf15ff5061f3979a9522fe1aa45fbed76f589c,1,278750,2.2271316051483154,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__CSAD_CONFLICT_DISABLED__E0,S02_MESOSCALE,CSAD_CONFLICT_DISABLED,0,0.27774123159677866,0.3609604042477492,0.3598478984413348,0.3872420840541663,0.5813715995612816,0.4769791010866801,0.5226793746824577,335,"[649,335,2022,652,936,829,1742,1677,354]",246,"[742,246,3031,462,926,950,2118,1923,390]",c886438a0cc42a42a6bfa4770487eb1bc64cac73e4fd60a128eb420578a334c2,1,278468,2.0356295108795166,37.572197675704956,1116.43359375,0.0
P22_K9,S02_MESOSCALE__CSAD_MODALITY_EDGE_PERMUTED__E0,S02_MESOSCALE,CSAD_MODALITY_EDGE_PERMUTED,0,-4.073706266564091e-05,0.0019640198138750325,0.0002957000523659298,0.1321229766482361,0.1175618220602368,0.004513661460555576,0.995449563685215,778,"[1217,1052,778,967,970,1072,1145,1160,835]",134,"[345,238,134,212,224,271,305,308,145]",7a18701bba848ea93c565be69672462111ffbacf5abe2b4660ef3578cf6d1c5b,1,294414,3.479567766189575,37.572197675704956,1116.43359375,0.0
MISAR_K7,S01_LOCAL__RNA_ONLY_DIFFUSION__E0,S01_LOCAL,RNA_ONLY_DIFFUSION,0,0.12074544694936598,0.2688201278251427,0.26455894086318965,0.3223031375171446,0.5832758651797116,0.5046250396770527,0.49615025047472583,51,"[363,660,127,91,93,564,51]",66,"[392,1011,141,111,116,512,66]",656fa689ce608ca0dc94e8ba6d6653eaab918dfd7a44c563dcc14ad28cd26062,1,17753,0.11937928199768066,5.6781792640686035,144.97265625,0.0
MISAR_K7,S01_LOCAL__ATAC_ONLY_DIFFUSION__E0,S01_LOCAL,ATAC_ONLY_DIFFUSION,0,0.022154932006333772,0.19497945913873502,0.18959594932078044,0.3325142208412165,0.7679462268481858,0.6060299926626899,0.3948456065411635,57,"[59,1287,152,105,57,216,73]",76,"[82,2304,189,160,99,187,76]",aa86588b08ad0983c522d29f4cf33b6383e269f73a1a4a95707d64d4a4288fa3,1,16873,0.10480618476867676,5.6781792640686035,144.97265625,0.0
