lane,candidate_id,arm,operator_nnz,operator_sha256,finite,nonnegative,symmetry_max_abs,reliability_min_median_max,reliability_unique_count,dense_n_by_n_count
MISAR_K7,S01_LOCAL__ATAC_ONLY_DIFFUSION__E0,ATAC_ONLY_DIFFUSION,16873,1ec7940f5b4eaa2164b7bc1f5a814fe6c7e3781e95183c78468c6b48b6b5c982,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__SPATIAL_ONLY_DIFFUSION__E0,SPATIAL_ONLY_DIFFUSION,10019,28f9190c64a32dea42194b6ac9c000dc97e8585a65d711cae222429877864ec7,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__CONCATENATED_FEATURE_KNN__E0,CONCATENATED_FEATURE_KNN,15619,2348b55c2f8f65334489a2e7897c54771f8425e7541808d7c5633f2d14730044,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__SIMPLE_OPERATOR_AVERAGE__E0,SIMPLE_OPERATOR_AVERAGE,32107,e3d63f49fc0058ae690cdc8fb1b531068590f9193ec3f9a5dff4b8954ad36a6d,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__CLASSICAL_ALTERNATING_RA__E0,CLASSICAL_ALTERNATING_RA,36518,9729c866f9c1b99d699e309a2d3763707dd7c77f2f835325556c1a120e2c8287,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__SPATIALLY_ANCHORED_ALTERNATING__E0,SPATIALLY_ANCHORED_ALTERNATING,39364,c18ce1d1b108d3eb3f3adff3b93922d22b8d2112595a6600bd3db3d5d8acfd1c,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__CSAD_FULL__E0,CSAD_FULL,38467,61128d0f72432fc6c5c599c5c3bc6e2aa4f1de4b2dd3537651378b77c6f50088,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__CSAD_CONFLICT_DISABLED__E0,CSAD_CONFLICT_DISABLED,38366,f2d75c1895692de1b9e0d814865c6a0b4ba33e400d1f2dea97a5ab1e9833db14,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S01_LOCAL__CSAD_MODALITY_EDGE_PERMUTED__E0,CSAD_MODALITY_EDGE_PERMUTED,39797,32be212f3837d217639f36376aa23bed14ae95b4f2a6359d90fc900ae3201e71,True,True,0.0,"[0.017350207538001157,0.05331329552056639,0.582451150158013]",1949,0
MISAR_K7,S02_MESOSCALE__RNA_ONLY_DIFFUSION__E0,RNA_ONLY_DIFFUSION,30115,cc4d0d6db1357f66597d1179b3d975c543fa5f218e91293cbda80ee26f7d4d79,True,True,0.0,"[0.010349775955132073,0.049126339352828036,0.6066924410463918]",1949,0
