lane,n,k,view1_shape,view2_shape,retained_shape,ordered_ids_sha256,carrier_sha256,core_source_sha256,operator_nnz,operator_nonnegative,operator_finite,operator_symmetry_max_abs,partition_sha256,wall_seconds,peak_rss_mib,fresh_replay
P22_K9,9196,9,"[9196, 30]","[9196, 50]","[9196, 64]",72dc4517ce5074bb481e8d9eeae82f3d720a06ca06ae0d2ca142124579564e35,cb806fe6cc9f89910e88c2884f92bfb399c3104943d327964e78b94718303766,addcdf944beda0a225497b3d9da0b82d3ec62ca26fec88bd78f3b00c7871a152,185794,True,True,0.0,e257a57cb05ff969c18c142ed6cc794447b414a7cdbe8c083626b0a8bd80ee5c,7.102609157562256,1090.69921875,PASS
MISAR_K7,1949,7,"[1949, 30]","[1949, 50]","[1949, 64]",fe7c7c8e42bf7e7d41c3f6a45ae955fe9cd8419e857d2542b86562442fd6564f,f5fdc3a6005b3129b1d6e810774226c3117880245d7ed3b6df0b9f9f69141af4,addcdf944beda0a225497b3d9da0b82d3ec62ca26fec88bd78f3b00c7871a152,38467,True,True,0.0,603d24fcd0ae1293f71dc1df9c9ed1f06718f4e28e72822eaba1652a085ac44f,0.6672625541687012,140.58984375,PASS
HUMAN_HIPPOCAMPUS_K7,2500,7,"[2500, 64]","[2500, 64]","[2500, 64]",8180a8ea37747d084ad35a628cdf49763ac326393dc52aa08751b40284eb58d8,7f800a383d5c322ec2e8de8333ae0fcf2ef98daa8a4562d2859de4b51494bf0a,addcdf944beda0a225497b3d9da0b82d3ec62ca26fec88bd78f3b00c7871a152,50124,True,True,0.0,fe120255fe32e789138dfec635e8fce0ffc48feb9b6622042770ba46fbca8673,1.0313386917114258,169.8671875,PASS
PLACENTA_K10,1662,10,"[1662, 30]","[1662, 30]","[1662, 30]",6d5d82278d89e1e62f9e4bf579cf490a271cbb9e36dd096782352ce0a13c8343,08eaa461858eb3de987fc69803a5a124df834cf978a05a2f7d2b087a80b67dd5,addcdf944beda0a225497b3d9da0b82d3ec62ca26fec88bd78f3b00c7871a152,33914,True,True,0.0,6ba1445dbbf866b1043d78ed7063d400513bbec6a17d726f45589886e70ba552,0.6482594013214111,126.26171875,PASS
